2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";9;2;4;1;4;2;2;2;5;3;-;2;36
"110002 ARIQUEMES";26;18;25;25;27;21;11;17;12;16;20;15;233
"110004 CACOAL";30;40;40;39;40;21;25;14;22;16;6;5;298
"110005 CEREJEIRAS";-;1;1;2;2;1;-;1;-;-;4;2;14
"110006 COLORADO DO OESTE";1;1;5;1;1;1;-;-;5;6;5;1;27
"110007 CORUMBIARA";2;-;-;1;-;-;-;-;-;-;-;1;4
"110008 COSTA MARQUES";1;2;4;-;3;3;3;4;-;-;-;-;20
"110009 ESPIGAO D'OESTE";8;2;11;5;7;1;3;5;1;5;3;-;51
"110010 GUAJARA-MIRIM";5;12;5;8;4;7;4;6;8;14;4;6;83
"110011 JARU";10;11;17;17;15;13;16;7;12;2;3;5;128
"110012 JI-PARANA";28;28;22;27;29;39;21;23;23;16;25;11;292
"110013 MACHADINHO D'OESTE";7;4;9;4;3;8;4;1;1;4;4;3;52
"110014 NOVA BRASILANDIA D'OESTE";1;2;2;3;8;1;1;3;1;2;2;-;26
"110015 OURO PRETO DO OESTE";3;7;4;4;5;1;4;1;2;-;2;2;35
"110018 PIMENTA BUENO";1;2;1;-;1;2;2;1;1;-;1;-;12
"110020 PORTO VELHO";134;133;183;166;197;139;84;101;98;103;57;64;1459
"110025 PRESIDENTE MEDICI";-;3;2;3;5;7;2;1;2;-;3;1;29
"110026 RIO CRESPO";2;3;3;1;-;-;-;-;1;3;-;-;13
"110028 ROLIM DE MOURA";3;10;13;11;9;10;17;9;4;7;3;3;99
"110029 SANTA LUZIA D'OESTE";-;-;1;-;1;2;-;-;-;-;1;-;5
"110030 VILHENA";22;41;51;24;36;14;20;18;14;22;15;16;293
"110032 SAO MIGUEL DO GUAPORE";2;2;1;-;2;-;1;1;1;1;-;-;11
"110033 NOVA MAMORE";7;5;5;8;14;6;5;7;4;3;1;5;70
"110034 ALVORADA D'OESTE";-;1;2;2;1;3;-;-;-;-;-;-;9
"110037 ALTO ALEGRE DOS PARECIS";-;-;1;-;3;-;-;1;-;1;1;-;7
"110040 ALTO PARAISO";-;-;-;1;-;2;-;-;-;3;-;-;6
"110045 BURITIS";17;12;23;12;13;17;11;13;10;15;5;10;158
"110050 NOVO HORIZONTE DO OESTE";1;-;-;-;-;-;-;-;-;-;-;1;2
"110060 CACAULANDIA";1;-;-;-;-;-;-;-;-;-;1;-;2
"110070 CAMPO NOVO DE RONDONIA";-;-;2;9;-;1;2;-;-;-;-;-;14
"110080 CANDEIAS DO JAMARI";2;1;3;2;5;5;3;1;4;1;-;2;29
"110090 CASTANHEIRAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"110092 CHUPINGUAIA";-;2;-;1;-;-;-;-;-;2;-;1;6
"110094 CUJUBIM";4;3;9;4;3;4;1;1;1;-;4;-;34
"110100 GOVERNADOR JORGE TEIXEIRA";1;-;4;-;1;1;2;-;1;-;1;-;11
"110110 ITAPUA DO OESTE";1;1;-;2;1;2;-;-;-;-;-;-;7
"110120 MINISTRO ANDREAZZA";-;-;-;1;1;-;-;-;2;1;1;1;7
"110140 MONTE NEGRO";-;1;6;1;2;-;-;3;1;3;2;-;19
"110145 PARECIS";1;1;-;2;-;-;-;-;-;-;1;-;5
"110146 PIMENTEIRAS DO OESTE";1;-;-;-;1;-;-;-;-;-;-;-;2
"110147 PRIMAVERA DE RONDONIA";-;-;-;1;1;-;-;-;-;1;-;-;3
"110148 SAO FELIPE D'OESTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";7;6;13;8;7;7;3;3;3;5;2;3;67
"110150 SERINGUEIRAS";1;1;-;1;-;3;-;-;-;-;1;-;7
"110155 TEIXEIROPOLIS";-;-;1;1;1;-;-;-;1;2;-;-;6
"110160 THEOBROMA";1;-;-;1;1;-;-;-;-;-;-;-;3
"110170 URUPA";-;-;-;3;-;-;2;-;-;-;-;1;6
"110175 VALE DO ANARI";-;-;1;-;-;1;1;1;-;-;1;-;5
"110180 VALE DO PARAISO";-;1;-;1;-;-;-;-;1;1;-;-;4
"120001 ACRELANDIA";3;-;2;3;2;-;4;1;2;3;-;-;20
"120005 ASSIS BRASIL";3;2;3;4;-;3;-;-;-;1;-;-;16
"120010 BRASILEIA";21;13;23;19;12;13;10;7;5;10;10;5;148
"120013 BUJARI";7;4;5;6;7;3;2;2;2;4;3;3;48
"120017 CAPIXABA";-;-;-;-;1;-;1;-;-;1;1;-;4
"120020 CRUZEIRO DO SUL";17;13;27;11;18;14;5;8;5;6;16;7;147
"120025 EPITACIOLANDIA";5;4;10;2;2;4;5;6;-;3;4;3;48
"120030 FEIJO";-;-;1;-;-;2;1;1;-;-;-;-;5
"120032 JORDAO";1;1;2;1;-;1;2;-;-;-;2;-;10
"120033 MANCIO LIMA";3;3;3;2;6;8;2;5;7;3;11;2;55
"120034 MANOEL URBANO";1;1;-;1;1;-;2;1;1;1;-;2;11
"120035 MARECHAL THAUMATURGO";3;-;3;2;-;2;-;-;-;-;-;1;11
"120038 PLACIDO DE CASTRO";2;1;5;1;3;3;4;3;1;1;1;-;25
"120039 PORTO WALTER";3;4;3;-;2;1;-;-;1;2;2;2;20
"120040 RIO BRANCO";100;147;179;132;118;57;66;80;47;109;94;64;1193
"120042 RODRIGUES ALVES";-;-;6;3;2;1;1;-;2;-;-;-;15
"120043 SANTA ROSA DO PURUS";-;4;5;-;10;-;-;-;-;3;25;1;48
"120045 SENADOR GUIOMARD";9;1;4;-;6;5;1;-;3;1;5;2;37
"120050 SENA MADUREIRA";3;4;6;7;6;5;7;8;4;3;7;8;68
