2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"110001 ALTA FLORESTA D'OESTE";7;1;1;1;3;1;-;14
"110002 ARIQUEMES";20;15;18;15;17;11;-;96
"110004 CACOAL";14;14;12;19;16;-;-;75
"110005 CEREJEIRAS";-;1;1;1;1;1;-;5
"110006 COLORADO DO OESTE";-;1;1;1;1;-;-;4
"110008 COSTA MARQUES";1;-;-;-;-;1;-;2
"110009 ESPIGAO D'OESTE";6;1;3;3;2;-;-;15
"110010 GUAJARA-MIRIM";3;6;1;6;1;3;-;20
"110011 JARU";6;8;9;6;10;4;4;47
"110012 JI-PARANA";13;8;9;7;12;6;2;57
"110013 MACHADINHO D'OESTE";5;3;7;4;3;6;1;29
"110014 NOVA BRASILANDIA D'OESTE";1;1;1;3;4;1;1;12
"110015 OURO PRETO DO OESTE";1;3;2;1;3;1;-;11
"110018 PIMENTA BUENO";1;1;-;-;-;1;-;3
"110020 PORTO VELHO";84;85;133;115;85;66;3;571
"110025 PRESIDENTE MEDICI";-;3;2;-;4;6;-;15
"110026 RIO CRESPO";-;2;-;-;-;-;-;2
"110028 ROLIM DE MOURA";1;4;7;1;-;-;3;16
"110029 SANTA LUZIA D'OESTE";-;-;1;-;1;2;-;4
"110030 VILHENA";11;19;15;8;18;3;-;74
"110032 SAO MIGUEL DO GUAPORE";2;2;1;-;2;-;1;8
"110033 NOVA MAMORE";3;3;3;2;5;4;-;20
"110034 ALVORADA D'OESTE";-;-;2;-;-;-;-;2
"110037 ALTO ALEGRE DOS PARECIS";-;-;1;-;-;-;-;1
"110040 ALTO PARAISO";-;-;-;-;-;1;-;1
"110045 BURITIS";10;7;15;5;3;6;-;46
"110070 CAMPO NOVO DE RONDONIA";-;-;1;3;-;-;1;5
"110080 CANDEIAS DO JAMARI";1;-;3;2;4;3;2;15
"110092 CHUPINGUAIA";-;1;-;1;-;-;-;2
"110094 CUJUBIM";4;2;4;2;1;2;-;15
