2009
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/ltabr.def
American Tegumentary Leishmaniasis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";22;16;23;21;22;21;18;20;39;49;30;19;300
"110037 Alto Alegre dos Parecis";19;14;16;13;12;14;19;21;29;39;35;17;248
"110040 Alto Paraíso";7;6;9;8;12;14;21;13;5;8;14;3;120
"110034 Alvorada D'Oeste";10;6;4;7;7;2;8;4;12;16;13;6;95
"110002 Ariquemes";42;32;56;62;39;75;49;61;54;50;50;35;605
"110045 Buritis";31;25;35;26;26;12;16;21;36;43;43;35;349
"110003 Cabixi";13;8;7;3;4;1;5;9;6;5;9;4;74
"110060 Cacaulândia";7;2;8;6;8;5;4;8;10;8;6;7;79
"110004 Cacoal";38;32;46;43;44;39;59;59;64;65;64;49;602
"110070 Campo Novo de Rondônia";20;21;15;13;16;19;18;13;18;22;34;17;226
"110080 Candeias do Jamari";3;7;13;10;12;15;15;16;11;7;10;9;128
"110090 Castanheiras";5;4;9;7;3;7;7;8;10;6;1;9;76
"110005 Cerejeiras";8;9;12;5;13;9;5;12;15;10;7;4;109
"110092 Chupinguaia";13;7;20;19;25;25;46;77;41;32;26;11;342
"110006 Colorado do Oeste";13;9;10;9;6;6;10;21;21;20;16;19;160
"110007 Corumbiara";17;14;12;7;12;8;4;11;21;18;12;10;146
"110008 Costa Marques";23;17;17;20;44;38;37;56;35;29;27;21;364
"110094 Cujubim";39;27;48;46;40;36;39;43;24;40;33;45;460
"110009 Espigão D'Oeste";40;42;25;47;44;37;65;99;96;110;80;41;726
"110100 Governador Jorge Teixeira";16;8;11;7;8;12;9;12;13;14;13;11;134
"110010 Guajará-Mirim";14;18;17;17;28;24;33;35;21;35;20;12;274
"110110 Itapuã do Oeste";1;3;3;3;1;4;8;4;4;2;2;2;37
"110011 Jaru";24;16;24;15;19;14;23;25;18;30;18;21;247
"110012 Ji-Paraná";43;37;36;49;44;48;38;45;72;54;45;28;539
"110013 Machadinho D'Oeste";47;45;40;47;49;40;54;44;42;57;44;44;553
"110120 Ministro Andreazza";7;6;5;2;4;4;4;4;5;9;8;7;65
"110130 Mirante da Serra";13;5;7;-;8;4;12;20;17;10;13;3;112
"110140 Monte Negro";16;28;10;14;15;16;12;12;20;21;22;12;198
"110014 Nova Brasilândia D'Oeste";21;11;18;7;11;6;6;7;7;23;21;22;160
"110033 Nova Mamoré";26;24;24;40;40;32;37;43;31;36;29;24;386
"110143 Nova União";10;2;2;2;-;1;5;3;1;4;-;1;31
"110050 Novo Horizonte do Oeste";12;3;10;5;5;4;8;4;7;12;20;11;101
"110015 Ouro Preto do Oeste";8;10;7;5;6;7;12;7;9;5;8;12;96
"110145 Parecis";7;10;8;16;10;9;10;19;30;27;31;10;187
"110018 Pimenta Bueno";23;23;34;39;50;54;76;75;83;45;50;30;582
"110146 Pimenteiras do Oeste";-;3;-;3;2;2;2;4;2;-;2;1;21
"110020 Porto Velho";81;92;134;123;208;164;167;178;143;173;122;91;1676
"110025 Presidente Médici";6;7;13;4;4;8;4;6;10;8;16;8;94
"110147 Primavera de Rondônia";3;3;2;6;6;5;4;3;6;8;1;2;49
"110026 Rio Crespo";4;4;4;5;8;9;7;3;6;8;3;4;65
"110028 Rolim de Moura";41;41;54;56;50;43;28;35;29;57;33;37;504
"110029 Santa Luzia D'Oeste";10;6;9;5;6;5;6;6;11;11;10;7;92
"110148 São Felipe D'Oeste";7;6;1;6;1;6;3;6;8;6;9;3;62
"110149 São Francisco do Guaporé";18;18;21;26;38;26;39;34;60;31;32;17;360
"110032 São Miguel do Guaporé";22;19;11;19;7;6;16;25;29;35;30;17;236
"110150 Seringueiras";6;5;8;11;3;8;6;7;13;15;10;4;96
"110155 Teixeirópolis";2;-;2;1;-;1;-;-;1;1;1;2;11
"110160 Theobroma";3;2;12;1;10;9;6;8;10;10;3;4;78
"110170 Urupá";2;6;1;-;2;1;6;5;11;2;5;4;45
"110175 Vale do Anari";8;4;11;4;14;11;11;10;8;5;9;8;103
"110180 Vale do Paraíso";2;5;3;2;9;8;3;6;7;7;8;2;62
"110030 Vilhena";61;58;81;120;124;142;244;276;175;115;76;49;1521
"110000 Município ignorado - RO";1;-;-;1;1;-;-;-;-;-;1;-;4
"120001 Acrelândia";27;21;31;18;18;23;22;15;17;10;26;18;246
"120005 Assis Brasil";99;87;84;67;71;61;72;77;71;96;78;47;910
"120010 Brasiléia";105;85;105;91;86;74;85;97;83;101;81;60;1053
"120013 Bujari";29;29;30;24;28;29;18;28;25;28;37;15;320
"120017 Capixaba";44;35;37;34;43;56;39;50;48;45;35;19;485
"120020 Cruzeiro do Sul";51;49;53;54;70;60;52;50;39;61;53;62;654
"120025 Epitaciolândia";34;41;61;71;83;71;69;74;46;54;46;38;688
"120030 Feijó";66;71;75;59;83;67;68;47;59;49;58;68;770
"120032 Jordão";24;15;19;9;19;19;11;16;8;16;10;14;180
"120033 Mâncio Lima";46;39;62;41;40;34;35;45;29;43;42;21;477
"120034 Manoel Urbano";43;26;40;35;33;22;18;22;27;38;34;33;371
"120035 Marechal Thaumaturgo";37;34;54;80;61;48;52;42;40;44;32;31;555
"120038 Plácido de Castro";25;19;50;49;61;51;47;47;34;37;31;28;479
"120080 Porto Acre";24;23;24;19;14;15;12;23;32;18;21;12;237
"120039 Porto Walter";9;17;23;16;15;13;6;8;13;11;20;10;161
"120040 Rio Branco";231;218;240;265;253;220;210;265;269;320;270;200;2961
"120042 Rodrigues Alves";12;13;13;15;15;24;9;6;6;10;9;5;137
"120043 Santa Rosa do Purus";18;18;20;20;25;17;22;23;11;22;25;16;237
"120050 Sena Madureira";136;143;140;136;159;138;113;116;128;157;150;123;1639
"120045 Senador Guiomard";15;14;17;20;10;14;14;16;9;23;17;13;182
"120060 Tarauacá";27;25;33;33;45;26;31;38;28;26;19;26;357
"120070 Xapuri";111;131;150;122;101;154;137;147;165;151;110;73;1552
"120000 Município ignorado - AC";-;-;-;-;-;-;-;-;-;1;-;-;1
"130002 Alvarães";3;2;3;3;7;7;3;3;-;6;-;1;38
"130006 Amaturá";2;1;2;4;1;-;-;3;2;1;-;-;16
"130008 Anamã";1;2;2;2;-;-;2;1;1;5;2;1;19
"130010 Anori";-;3;4;-;1;3;-;1;1;-;1;2;16
"130014 Apuí";22;15;33;49;38;28;20;31;15;14;22;11;298
"130020 Atalaia do Norte";16;12;15;13;12;14;18;17;11;8;7;9;152
"130030 Autazes";19;16;19;13;12;14;16;15;7;13;17;8;169
"130040 Barcelos";15;13;29;28;32;32;28;34;16;29;23;12;291
"130050 Barreirinha";10;4;3;8;7;16;23;15;13;13;14;14;140
"130060 Benjamin Constant";-;2;4;3;5;6;5;5;4;1;7;4;46
"130063 Beruri";1;-;1;2;1;2;1;1;1;-;-;1;11
"130068 Boa Vista do Ramos";2;2;1;4;2;7;1;4;3;1;4;2;33
"130070 Boca do Acre";51;43;58;70;96;99;93;90;60;45;51;54;810
"130080 Borba";4;7;7;9;15;22;21;21;21;11;5;4;147
"130083 Caapiranga";9;8;11;5;3;9;6;2;5;1;2;2;63
"130090 Canutama";6;8;8;9;10;10;9;7;14;8;2;4;95
"130100 Carauari";21;17;41;24;17;18;10;13;11;7;10;18;207
"130110 Careiro";9;9;6;4;5;5;6;4;6;3;5;1;63
