2013
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/leptobr.def
Leptospirosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;-;2;4;1;-;-;1;-;-;-;-;9
"110037 Alto Alegre dos Parecis";-;1;-;-;1;-;-;-;-;-;-;-;2
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;1;1
"110034 Alvorada D'Oeste";-;-;1;1;-;-;-;-;-;-;-;-;2
"110002 Ariquemes";2;3;4;2;3;1;2;-;3;1;1;1;23
"110045 Buritis";1;-;1;-;-;-;-;1;1;1;-;-;5
"110004 Cacoal";3;1;5;13;-;-;-;1;-;-;-;-;23
"110070 Campo Novo de Rondônia";-;-;-;1;2;-;-;-;2;1;-;-;6
"110080 Candeias do Jamari";-;-;2;3;2;3;-;1;-;1;3;1;16
"110090 Castanheiras";-;1;1;-;-;-;-;-;-;-;-;-;2
"110005 Cerejeiras";1;2;3;-;-;-;-;-;-;-;-;-;6
"110092 Chupinguaia";1;-;-;-;-;-;-;-;-;-;-;-;1
"110006 Colorado do Oeste";-;2;-;-;-;-;-;-;-;-;-;1;3
"110008 Costa Marques";-;1;-;-;-;-;-;-;-;-;-;-;1
"110094 Cujubim";1;-;1;-;-;-;-;-;-;-;-;-;2
"110009 Espigão D'Oeste";1;1;3;1;1;1;1;2;-;-;-;1;12
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;1;1;-;2
"110010 Guajará-Mirim";-;-;-;1;1;-;-;-;-;-;-;-;2
"110110 Itapuã do Oeste";-;-;-;-;3;1;-;-;-;-;-;-;4
"110011 Jaru";-;2;2;2;1;2;1;-;-;-;-;-;10
"110012 Ji-Paraná";1;1;2;3;1;1;1;1;2;1;-;-;14
"110013 Machadinho D'Oeste";6;9;6;7;6;3;7;3;6;6;5;6;70
"110130 Mirante da Serra";-;1;-;-;-;-;-;-;-;-;-;-;1
"110140 Monte Negro";-;1;-;2;3;-;-;-;1;1;-;-;8
"110014 Nova Brasilândia D'Oeste";-;-;1;-;-;-;-;-;-;1;-;-;2
"110143 Nova União";-;-;1;-;1;-;-;-;-;-;-;-;2
"110050 Novo Horizonte do Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";5;9;12;12;14;14;6;7;5;6;4;3;97
"110018 Pimenta Bueno";1;1;-;-;-;-;1;-;1;-;-;-;4
"110020 Porto Velho";15;13;26;16;35;70;9;4;4;9;6;7;214
"110025 Presidente Médici";-;-;1;1;1;-;-;-;-;-;1;-;4
"110147 Primavera de Rondônia";-;-;-;-;1;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";-;2;5;-;1;-;-;-;-;-;-;1;9
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-;-;-;-;1;-;1
"110032 São Miguel do Guaporé";-;-;-;1;-;-;-;-;-;-;-;-;1
"110155 Teixeirópolis";-;-;1;-;-;-;1;-;-;-;1;-;3
