2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;1;-;-;-;-;-;-;-;1;-;2
"110002 ARIQUEMES";-;-;-;-;-;1;-;-;-;1;-;1;3
"110004 CACOAL";1;-;1;1;-;1;-;-;-;1;-;-;5
"110005 CEREJEIRAS";-;-;-;1;1;-;-;-;-;-;-;-;2
"110007 CORUMBIARA";-;-;-;-;-;1;-;-;-;-;-;-;1
"110008 COSTA MARQUES";-;-;-;-;1;-;-;-;-;-;-;-;1
"110009 ESPIGAO D'OESTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"110010 GUAJARA-MIRIM";-;-;-;2;-;-;-;-;1;-;-;-;3
"110011 JARU";-;-;-;-;-;-;-;-;1;1;-;-;2
"110012 JI-PARANA";-;1;1;-;-;-;-;-;-;4;-;-;6
"110013 MACHADINHO D'OESTE";-;2;-;-;-;-;-;2;-;-;-;-;4
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;-;-;-;-;-;1;-;-;1
"110015 OURO PRETO DO OESTE";-;-;-;-;-;-;-;-;-;-;1;2;3
"110018 PIMENTA BUENO";1;-;-;-;-;-;-;-;-;-;-;-;1
"110020 PORTO VELHO";3;6;4;4;3;3;5;1;2;5;3;2;41
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;-;-;-;-;-;1;1
"110026 RIO CRESPO";1;-;-;-;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";-;1;-;2;1;5;-;-;-;-;-;-;9
"110030 VILHENA";2;-;1;-;1;-;-;1;-;1;2;-;8
"110033 NOVA MAMORE";-;-;-;-;-;-;-;1;-;-;-;-;1
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;-;1;-;-;-;-;-;1
"110045 BURITIS";-;-;-;-;-;-;-;-;-;-;-;1;1
"110080 CANDEIAS DO JAMARI";-;-;-;-;1;-;-;-;-;1;-;-;2
"110092 CHUPINGUAIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"110094 CUJUBIM";1;-;-;-;-;-;-;-;-;-;-;-;1
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;-;-;-;-;1;-;1
"110160 THEOBROMA";-;-;-;-;-;-;1;-;-;-;-;-;1
