2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Total"
"110010 GUAJARA-MIRIM";-;-;-;1;-;1
"110020 PORTO VELHO";-;4;2;3;-;9
"110028 ROLIM DE MOURA";-;-;-;1;-;1
"110030 VILHENA";1;-;1;-;-;2
"110094 CUJUBIM";1;-;-;-;-;1
"120005 ASSIS BRASIL";-;-;-;1;-;1
"120025 EPITACIOLANDIA";-;1;-;-;-;1
"120030 FEIJO";-;-;1;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;-;-;1;1
"120040 RIO BRANCO";-;-;3;-;-;3
"120060 TARAUACA";-;1;-;-;-;1
"130080 BORBA";-;1;-;-;-;1
"130150 ENVIRA";-;-;-;1;-;1
"130170 HUMAITA";-;-;1;-;-;1
"130260 MANAUS";10;7;7;8;-;32
"130353 PRESIDENTE FIGUEIREDO";1;-;-;-;-;1
"130360 SANTA ISABEL DO RIO NEGRO";-;-;1;-;-;1
"130380 SAO GABRIEL DA CACHOEIRA";1;-;-;-;-;1
"140010 BOA VISTA";-;-;1;1;1;3
"140023 CAROEBE";-;-;1;-;-;1
"140045 PACARAIMA";-;-;1;-;-;1
"140047 RORAINOPOLIS";1;-;1;-;-;2
"140070 UIRAMUTA";1;-;-;-;-;1
"150010 ABAETETUBA";-;1;-;-;-;1
"150020 ACARA";1;-;1;-;-;2
"150030 AFUA";1;-;-;-;-;1
"150060 ALTAMIRA";-;-;-;1;-;1
"150080 ANANINDEUA";-;1;3;3;1;8
"150120 BAIAO";-;-;-;-;1;1
"150130 BARCARENA";-;2;1;2;-;5
"150140 BELEM";16;6;9;16;-;47
"150150 BENEVIDES";-;-;-;-;1;1
"150200 CACHOEIRA DO ARARI";-;1;-;-;-;1
"150220 CAPANEMA";1;-;-;-;-;1
"150240 CASTANHAL";1;3;-;1;-;5
"150340 INHANGAPI";1;-;-;-;-;1
"150405 MAE DO RIO";-;-;1;1;-;2
"150420 MARABA";-;-;1;1;-;2
"150430 MARACANA";-;1;-;-;-;1
"150442 MARITUBA";-;1;-;-;-;1
"150450 MELGACO";-;-;-;1;-;1
"150490 MUANA";-;-;-;1;-;1
"150530 ORIXIMINA";-;1;-;-;-;1
"150543 OURILANDIA DO NORTE";-;1;-;-;-;1
"150550 PARAGOMINAS";-;-;1;1;-;2
"150555 PAU D'ARCO";-;1;-;-;-;1
"150560 PEIXE-BOI";1;-;-;-;-;1
"150620 SALINOPOLIS";1;-;1;-;-;2
"150640 SANTA CRUZ DO ARARI";1;-;-;-;-;1
"150680 SANTAREM";-;-;1;-;-;1
"150745 SAO GERALDO DO ARAGUAIA";1;-;-;-;-;1
"150760 SAO MIGUEL DO GUAMA";-;-;-;1;-;1
"150770 SAO SEBASTIAO DA BOA VISTA";1;-;1;-;-;2
"150800 TOME-ACU";-;1;-;-;-;1
"150810 TUCURUI";-;1;-;-;-;1
"150812 ULIANOPOLIS";-;-;-;1;-;1
"170390 CASEARA";-;-;-;-;1;1
"170950 GURUPI";-;1;-;-;-;1
"171610 PARAISO DO TOCANTINS";-;-;-;1;-;1
"171820 PORTO NACIONAL";1;-;-;-;-;1
"172020 SAO MIGUEL DO TOCANTINS";-;-;-;-;1;1
"172100 PALMAS";2;1;-;2;-;5
"210005 ACAILANDIA";1;-;-;-;-;1
"210070 ANAJATUBA";-;-;1;-;-;1
"210083 APICUM-ACU";-;1;-;-;-;1
"210170 BARREIRINHAS";1;1;-;2;-;4
"210200 BOM JARDIM";-;-;-;-;1;1
"210232 BURITICUPU";-;-;-;-;1;1
"210300 CAXIAS";1;-;-;-;-;1
"210355 CONCEICAO DO LAGO-ACU";-;-;1;-;-;1
"210530 IMPERATRIZ";1;-;1;1;-;3
"210680 MIRINZAL";-;-;-;1;-;1
"210750 PACO DO LUMIAR";-;-;-;1;-;1
"210805 PAULINO NEVES";-;1;-;-;-;1
"210820 PEDREIRAS";-;-;1;-;-;1
"210840 PERI MIRIM";-;1;-;-;-;1
"210845 PERITORO";-;-;-;1;-;1
"210850 PINDARE-MIRIM";-;-;-;-;1;1
"210905 PORTO RICO DO MARANHAO";1;-;-;-;-;1
"211120 SAO JOSE DE RIBAMAR";1;-;-;2;-;3
"211130 SAO LUIS";5;6;10;5;-;26
"211153 SAO PEDRO DA AGUA BRANCA";1;-;-;-;-;1
"211220 TIMON";2;-;-;-;-;2
"211250 TUTOIA";1;-;-;-;-;1
"220020 AGUA BRANCA";1;-;2;1;-;4
"220025 ALAGOINHA DO PIAUI";-;-;1;-;-;1
"220040 ALTOS";1;-;-;-;-;1
"220050 AMARANTE";-;1;-;-;-;1
"220220 CAMPO MAIOR";1;-;-;-;-;1
"220260 CASTELO DO PIAUI";-;-;1;-;-;1
"220290 CORRENTE";1;-;-;1;-;2
"220310 CRISTINO CASTRO";-;1;-;-;-;1
"220375 FARTURA DO PIAUI";-;1;-;-;-;1
"220510 ITAUEIRA";-;-;1;-;-;1
"220527 JATOBA DO PIAUI";1;-;-;-;-;1
"220550 JOSE DE FREITAS";-;1;-;2;-;3
"220600 MARCOS PARENTE";-;-;-;1;-;1
"220620 MIGUEL ALVES";1;-;-;-;-;1
"220640 MONSENHOR GIL";-;1;1;-;-;2
"220669 MURICI DOS PORTELAS";-;-;-;1;-;1
"220840 PIRIPIRI";-;1;-;-;-;1
"220850 PORTO";1;-;-;-;-;1
"221050 SAO PEDRO DO PIAUI";-;2;-;2;-;4
"221065 SIGEFREDO PACHECO";-;-;1;-;-;1
"221093 SUSSUAPARA";-;-;-;-;1;1
"221100 TERESINA";6;4;8;6;-;24
"221110 UNIAO";-;-;-;1;-;1
"230075 AMONTADA";-;1;-;-;-;1
"230190 BARBALHA";-;1;-;-;-;1
"230195 BARREIRA";-;-;1;-;-;1
"230220 BEBERIBE";-;-;1;-;-;1
"230240 BOA VIAGEM";1;-;-;-;-;1
"230340 CARNAUBAL";-;-;1;-;-;1
"230365 CATUNDA";-;1;-;-;-;1
"230370 CAUCAIA";3;-;1;-;-;4
"230420 CRATO";-;-;1;-;-;1
"230440 FORTALEZA";14;21;18;7;-;60
"230445 FORTIM";-;1;-;-;-;1
"230523 HORIZONTE";-;-;1;-;-;1
"230590 IPUEIRAS";-;-;1;-;-;1
"230625 ITAITINGA";2;1;-;-;-;3
"230690 JAGUARIBE";-;-;1;-;-;1
"230700 JAGUARUANA";1;-;-;-;-;1
"230760 LIMOEIRO DO NORTE";-;-;-;1;-;1
"230765 MARACANAU";1;2;-;2;-;5
"230770 MARANGUAPE";1;-;-;1;-;2
"230810 MAURITI";-;1;-;-;-;1
"230830 MILAGRES";-;-;-;1;-;1
"230850 MOMBACA";1;-;-;-;-;1
"230870 MORADA NOVA";-;1;-;-;-;1
"230920 NOVA OLINDA";-;-;-;1;-;1
"230960 PACAJUS";1;-;1;-;-;2
"230970 PACATUBA";2;-;2;1;-;5
"230980 PACOTI";1;-;-;-;-;1
"231020 PARACURU";-;-;2;-;-;2
"231140 QUIXERAMOBIM";-;1;1;-;-;2
"231230 SAO BENEDITO";1;-;-;-;-;1
"231250 SAO JOAO DO JAGUARIBE";-;-;1;-;-;1
"231290 SOBRAL";-;1;-;-;-;1
"231340 TIANGUA";1;-;-;-;-;1
"231350 TRAIRI";-;-;1;-;-;1
"240020 ACU";-;-;1;-;-;1
"240150 BARCELONA";-;-;2;-;-;2
"240200 CAICO";-;-;1;-;-;1
"240260 CEARA-MIRIM";-;-;-;-;1;1
"240310 CURRAIS NOVOS";-;1;-;-;-;1
"240325 PARNAMIRIM";1;2;1;1;-;5
"240380 FLORANIA";-;-;-;1;-;1
"240450 GUAMARE";-;-;1;-;-;1
"240670 LAJES";1;-;1;-;-;2
"240710 MACAIBA";-;-;-;2;-;2
"240800 MOSSORO";-;-;3;1;1;5
"240810 NATAL";2;9;5;3;1;20
"240820 NISIA FLORESTA";-;-;1;-;1;2
"241010 POCO BRANCO";-;-;1;-;-;1
"241040 PUREZA";1;-;-;-;-;1
"241200 SAO GONCALO DO AMARANTE";-;-;-;-;1;1
"241220 SAO JOSE DE MIPIBU";1;-;-;-;-;1
"241250 SAO MIGUEL";-;-;-;1;-;1
"241255 SAO MIGUEL DO GOSTOSO";-;-;1;-;-;1
"241420 TIBAU DO SUL";-;-;-;1;-;1
"250090 ARARA";-;1;-;-;-;1
"250270 BORBOREMA";-;-;-;1;-;1
"250400 CAMPINA GRANDE";-;1;2;2;-;5
"250680 INGA";-;-;1;-;-;1
"250750 JOAO PESSOA";1;-;1;-;4;6
"250830 LAGOA SECA";-;-;1;-;-;1
"251230 PRINCESA ISABEL";-;-;1;-;-;1
"251280 RIACHO DOS CAVALOS";-;-;1;-;-;1
"251315 SANTA CECILIA";-;-;-;1;-;1
"251390 SAO BENTO";1;-;-;-;-;1
"251560 SERRA DA RAIZ";1;-;-;-;-;1
"260005 ABREU E LIMA";1;-;3;-;-;4
"260040 AGUA PRETA";1;-;1;-;-;2
"260050 AGUAS BELAS";-;-;-;-;1;1
"260140 BARREIROS";-;-;-;1;-;1
"260170 BELO JARDIM";1;-;-;-;-;1
"260190 BEZERROS";-;-;-;2;-;2
"260200 BODOCO";1;-;-;-;-;1
"260210 BOM CONSELHO";1;-;-;-;-;1
"260220 BOM JARDIM";-;1;-;-;-;1
"260260 BREJO DA MADRE DE DEUS";1;-;-;1;-;2
"260270 BUENOS AIRES";1;-;-;-;-;1
"260280 BUIQUE";2;-;-;-;1;3
"260290 CABO DE SANTO AGOSTINHO";1;2;1;5;-;9
"260320 CAETES";-;-;-;-;1;1
"260345 CAMARAGIBE";-;2;3;2;1;8
"260350 CAMOCIM DE SAO FELIX";-;-;-;1;-;1
"260392 CARNAUBEIRA DA PENHA";1;-;-;-;-;1
"260400 CARPINA";1;1;1;-;-;3
"260410 CARUARU";5;1;2;-;-;8
"260420 CATENDE";-;1;-;-;-;1
"260450 CHA GRANDE";-;-;1;-;-;1
"260480 CORTES";-;-;1;-;-;1
"260490 CUMARU";1;-;-;1;-;2
"260590 GAMELEIRA";-;-;2;-;-;2
"260600 GARANHUNS";-;-;-;1;-;1
"260610 GLORIA DO GOITA";-;-;-;-;1;1
"260640 GRAVATA";-;2;1;-;-;3
"260680 IGARASSU";-;1;-;-;3;4
