2015
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;3;-;-;-;-;1;-;-;-;4
"110001 ALTA FLORESTA D'OESTE";-;3;-;4;1;4;5;-;5;3;3;1;1;30
"110002 ARIQUEMES";-;37;19;31;27;24;23;27;20;22;22;20;21;293
"110003 CABIXI";-;-;2;-;-;-;1;-;-;-;2;-;1;6
"110004 CACOAL";-;15;19;14;19;21;17;18;11;21;15;15;15;200
"110005 CEREJEIRAS";-;-;2;1;2;4;4;2;-;1;1;4;3;24
"110006 COLORADO DO OESTE";-;1;2;4;2;3;2;1;1;-;-;4;3;23
"110007 CORUMBIARA";-;-;-;1;-;1;1;1;1;1;-;-;3;9
"110008 COSTA MARQUES";-;1;3;4;3;3;-;-;1;2;4;8;1;30
"110009 ESPIGAO D'OESTE";-;4;4;6;6;6;6;5;4;5;3;3;3;55
"110010 GUAJARA-MIRIM";-;10;9;11;10;6;12;7;8;4;8;8;5;98
"110011 JARU";-;9;7;10;8;12;3;5;4;10;8;6;5;87
"110012 JI-PARANA";-;14;17;19;16;30;32;20;20;23;17;14;17;239
"110013 MACHADINHO D'OESTE";-;9;6;16;6;7;7;6;6;5;8;2;5;83
"110014 NOVA BRASILANDIA D'OESTE";-;2;1;2;2;3;1;3;-;1;1;-;1;17
"110015 OURO PRETO DO OESTE";-;6;10;6;1;2;1;5;4;1;3;3;6;48
"110018 PIMENTA BUENO";-;9;7;3;6;7;4;1;5;3;5;8;3;61
"110020 PORTO VELHO";-;109;131;156;99;131;100;99;106;103;122;114;119;1389
"110025 PRESIDENTE MEDICI";-;6;2;1;2;2;4;3;1;1;2;2;2;28
"110026 RIO CRESPO";-;1;1;-;2;-;1;-;1;-;-;1;-;7
"110028 ROLIM DE MOURA";-;16;8;12;11;9;22;9;19;8;11;15;9;149
"110029 SANTA LUZIA D'OESTE";-;-;-;-;2;-;-;-;1;1;1;2;-;7
"110030 VILHENA";-;39;23;29;37;25;22;25;17;31;26;21;31;326
"110032 SAO MIGUEL DO GUAPORE";-;5;5;3;4;2;2;1;1;2;2;2;1;30
"110033 NOVA MAMORE";-;5;3;4;5;4;6;1;3;2;5;3;4;45
"110034 ALVORADA D'OESTE";-;1;2;1;-;2;1;-;-;1;-;2;-;10
"110037 ALTO ALEGRE DOS PARECIS";-;-;2;-;-;2;-;-;-;-;-;-;-;4
"110040 ALTO PARAISO";-;1;4;5;-;1;1;-;1;1;1;2;2;19
"110045 BURITIS";-;10;8;10;6;5;2;4;11;8;9;7;6;86
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;1;-;-;-;-;-;1;-;2
"110060 CACAULANDIA";-;-;-;-;-;1;-;-;-;2;1;2;-;6
"110070 CAMPO NOVO DE RONDONIA";-;4;2;-;-;1;1;-;-;2;1;-;-;11
"110080 CANDEIAS DO JAMARI";-;1;11;9;6;10;17;14;5;10;3;7;3;96
"110090 CASTANHEIRAS";-;-;-;-;1;-;-;1;1;-;-;1;-;4
"110092 CHUPINGUAIA";-;4;4;4;4;3;1;3;2;1;3;3;3;35
"110094 CUJUBIM";-;1;3;5;1;5;5;4;5;2;3;5;2;41
"110100 GOVERNADOR JORGE TEIXEIRA";-;1;-;1;-;2;-;-;1;-;-;-;-;5
"110110 ITAPUA DO OESTE";-;-;-;2;1;1;-;-;-;1;1;1;-;7
"110120 MINISTRO ANDREAZZA";-;1;-;-;1;-;-;2;-;-;-;-;-;4
"110130 MIRANTE DA SERRA";-;-;1;-;1;2;-;3;2;1;-;-;-;10
"110140 MONTE NEGRO";-;3;2;1;1;3;1;3;3;-;3;-;-;20
"110143 NOVA UNIAO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110145 PARECIS";-;1;-;-;-;-;-;-;2;1;-;1;1;6
"110146 PIMENTEIRAS DO OESTE";-;-;1;-;-;1;-;-;-;-;-;-;-;2
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"110148 SAO FELIPE D'OESTE";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"110149 SAO FRANCISCO DO GUAPORE";-;6;5;5;5;4;5;6;6;4;1;4;2;53
"110150 SERINGUEIRAS";-;1;1;4;2;3;2;3;2;2;2;-;2;24
"110155 TEIXEIROPOLIS";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110160 THEOBROMA";-;2;1;-;-;-;-;-;2;-;-;1;-;6
"110170 URUPA";-;-;1;1;2;3;-;-;1;-;1;1;1;11
"110175 VALE DO ANARI";-;-;2;-;2;1;1;2;-;1;1;-;1;11
"110180 VALE DO PARAISO";-;-;-;-;-;-;-;1;1;1;-;1;1;5
"120001 ACRELANDIA";-;4;4;5;2;4;1;4;1;4;5;4;2;40
"120005 ASSIS BRASIL";-;7;1;6;4;-;3;4;5;4;4;3;3;44
"120010 BRASILEIA";-;8;9;24;9;12;14;13;13;11;12;8;12;145
"120013 BUJARI";-;7;9;4;6;3;3;3;11;8;9;2;9;74
"120017 CAPIXABA";-;8;7;12;5;7;6;7;6;4;4;4;3;73
"120020 CRUZEIRO DO SUL";-;26;29;26;26;19;25;12;21;18;24;29;29;284
"120025 EPITACIOLANDIA";-;7;7;5;6;5;5;3;5;3;7;12;4;69
"120030 FEIJO";-;18;10;18;10;9;15;9;6;13;5;10;14;137
"120032 JORDAO";-;1;-;4;2;-;2;2;1;2;1;1;-;16
"120033 MANCIO LIMA";-;-;5;6;3;2;3;5;4;-;4;2;3;37
"120034 MANOEL URBANO";-;1;4;5;1;5;2;1;4;1;2;2;2;30
"120035 MARECHAL THAUMATURGO";-;1;1;3;3;-;-;1;2;1;1;1;3;17
"120038 PLACIDO DE CASTRO";-;7;10;6;6;3;4;3;3;4;4;10;5;65
"120039 PORTO WALTER";-;3;-;4;2;-;-;-;-;-;3;3;1;16
"120040 RIO BRANCO";-;198;211;256;201;223;239;175;179;180;175;155;201;2393
"120042 RODRIGUES ALVES";-;3;1;6;2;-;1;3;3;2;2;-;2;25
"120043 SANTA ROSA DO PURUS";-;4;9;4;4;3;4;5;1;3;-;3;2;42
"120045 SENADOR GUIOMARD";-;12;12;17;9;6;17;22;7;6;6;8;16;138
"120050 SENA MADUREIRA";-;11;12;9;7;7;13;13;10;7;14;14;15;132
"120060 TARAUACA";-;32;29;28;31;36;29;26;35;35;21;26;21;349
"120070 XAPURI";-;8;9;10;5;11;5;7;5;11;12;8;9;100
"120080 PORTO ACRE";-;7;9;14;5;18;13;18;11;5;10;11;10;131
"130002 ALVARAES";-;2;2;1;5;-;6;1;2;2;3;-;5;29
"130006 AMATURA";-;-;1;-;-;-;1;1;-;1;-;1;1;6
"130008 ANAMA";-;-;2;1;3;-;1;2;1;4;1;3;2;20
"130010 ANORI";-;1;5;6;3;4;3;4;3;1;3;2;5;40
"130014 APUI";-;-;2;-;3;1;3;1;1;1;2;1;-;15
"130020 ATALAIA DO NORTE";-;-;1;-;1;3;-;-;-;-;1;-;1;7
"130030 AUTAZES";-;8;4;6;12;7;9;2;5;4;8;2;2;69
"130040 BARCELOS";-;-;2;2;2;3;-;-;-;1;-;1;2;13
"130050 BARREIRINHA";-;3;3;-;4;2;3;8;6;2;4;1;1;37
"130060 BENJAMIN CONSTANT";-;5;5;4;11;7;7;7;4;2;6;8;4;70
"130063 BERURI";-;3;1;2;1;4;5;5;-;-;-;3;-;24
"130068 BOA VISTA DO RAMOS";-;-;-;3;5;1;1;1;-;-;3;4;1;19
"130070 BOCA DO ACRE";-;8;4;8;2;7;3;2;4;6;6;4;2;56
"130080 BORBA";-;7;7;7;3;10;5;8;12;6;8;2;7;82
"130083 CAAPIRANGA";-;2;1;3;-;-;2;-;1;1;-;1;-;11
"130090 CANUTAMA";-;1;2;1;2;-;1;1;5;2;1;4;-;20
"130100 CARAUARI";-;8;5;8;9;9;10;4;8;9;6;8;5;89
"130110 CAREIRO";-;7;5;14;1;5;8;7;6;2;7;7;8;77
"130115 CAREIRO DA VARZEA";-;1;4;3;2;-;1;1;1;-;3;1;1;18
"130120 COARI";-;22;14;20;17;15;24;19;13;15;16;20;12;207
"130130 CODAJAS";-;5;2;3;5;1;3;4;3;1;3;1;1;32
"130140 EIRUNEPE";-;8;11;8;8;6;8;10;8;12;4;4;7;94
"130150 ENVIRA";-;7;10;7;8;3;7;8;9;6;6;5;9;85
