2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;1;-;-;-;-;-;-;-;-;1
"110001 ALTA FLORESTA D'OESTE";2;-;-;-;-;-;-;-;-;-;-;1;3
"110002 ARIQUEMES";10;4;8;4;6;6;-;-;-;-;2;1;41
"110004 CACOAL";1;3;2;2;4;-;-;-;1;-;-;1;14
"110005 CEREJEIRAS";-;1;1;-;1;2;-;-;-;-;-;-;5
"110006 COLORADO DO OESTE";-;1;1;-;-;-;-;-;-;-;-;-;2
"110007 CORUMBIARA";-;-;-;-;-;1;-;-;-;-;-;-;1
"110008 COSTA MARQUES";-;2;2;1;2;-;-;-;-;-;-;-;7
"110009 ESPIGAO D'OESTE";-;-;3;-;2;1;-;-;1;-;-;-;7
"110010 GUAJARA-MIRIM";1;1;-;2;1;-;-;-;-;-;-;-;5
"110011 JARU";4;1;3;1;4;-;-;-;-;-;-;-;13
"110012 JI-PARANA";5;4;1;4;8;1;1;-;-;-;-;1;25
"110013 MACHADINHO D'OESTE";3;-;3;3;1;2;-;-;-;1;-;-;13
"110014 NOVA BRASILANDIA D'OESTE";2;1;1;1;-;-;-;-;-;-;-;-;5
"110015 OURO PRETO DO OESTE";-;6;1;1;1;-;-;-;-;-;-;-;9
"110018 PIMENTA BUENO";-;1;-;-;-;-;-;-;-;-;-;-;1
"110020 PORTO VELHO";22;20;27;14;20;13;2;2;2;11;8;8;149
"110025 PRESIDENTE MEDICI";-;-;-;1;-;2;-;-;-;-;-;-;3
"110026 RIO CRESPO";-;1;-;1;-;1;-;-;-;-;-;-;3
"110028 ROLIM DE MOURA";3;-;4;1;2;5;-;-;-;-;1;2;18
"110030 VILHENA";9;4;5;1;1;1;-;-;-;-;-;-;21
"110032 SAO MIGUEL DO GUAPORE";3;2;2;1;1;-;-;-;-;-;-;-;9
"110033 NOVA MAMORE";4;2;-;3;1;1;-;-;-;-;-;-;11
"110040 ALTO PARAISO";-;2;-;-;1;-;-;-;-;-;-;-;3
"110045 BURITIS";6;1;3;-;-;-;-;-;-;-;-;-;10
"110070 CAMPO NOVO DE RONDONIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"110080 CANDEIAS DO JAMARI";-;2;1;2;4;3;1;-;1;1;1;1;17
"110092 CHUPINGUAIA";2;1;1;-;-;-;-;-;-;-;-;-;4
"110094 CUJUBIM";1;-;-;-;1;-;-;-;-;-;-;1;3
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;1;-;-;-;-;-;-;-;1
"110110 ITAPUA DO OESTE";-;-;1;-;-;-;-;-;-;-;-;-;1
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"110140 MONTE NEGRO";1;-;-;-;2;1;-;-;-;-;-;-;4
"110146 PIMENTEIRAS DO OESTE";-;1;-;-;1;-;-;-;-;-;-;-;2
"110149 SAO FRANCISCO DO GUAPORE";-;1;1;-;-;-;-;-;-;-;-;-;2
"110150 SERINGUEIRAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"110160 THEOBROMA";1;-;-;-;-;-;-;-;-;-;-;-;1
"110170 URUPA";-;-;-;1;-;-;-;-;-;-;-;-;1
"120001 ACRELANDIA";-;1;-;-;1;-;-;-;-;-;-;-;2
"120010 BRASILEIA";1;2;4;2;2;1;-;1;-;-;-;-;13
"120013 BUJARI";2;3;1;3;-;-;-;-;-;-;-;-;9
"120017 CAPIXABA";-;1;1;-;-;-;-;-;-;-;-;-;2
"120020 CRUZEIRO DO SUL";4;6;7;7;1;6;-;-;-;-;-;2;33
"120025 EPITACIOLANDIA";-;2;-;-;-;-;-;-;-;-;-;-;2
"120030 FEIJO";1;2;4;2;-;3;-;-;-;-;-;-;12
"120032 JORDAO";-;-;1;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;1;-;1;1;-;-;-;-;-;-;-;3
"120035 MARECHAL THAUMATURGO";-;-;-;-;-;-;-;-;-;-;-;1;1
"120038 PLACIDO DE CASTRO";1;1;3;1;-;2;-;-;-;-;1;-;9
"120039 PORTO WALTER";1;-;1;1;-;-;-;-;-;-;-;-;3
"120040 RIO BRANCO";15;27;28;24;21;19;-;-;1;1;1;4;141
"120042 RODRIGUES ALVES";-;-;1;-;-;-;-;-;-;-;-;-;1
"120043 SANTA ROSA DO PURUS";1;1;-;1;-;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";1;-;3;-;-;2;-;-;-;-;-;-;6
"120050 SENA MADUREIRA";1;-;1;1;3;-;-;-;-;-;-;1;7
"120060 TARAUACA";-;1;7;4;4;3;-;-;-;-;-;-;19
"120070 XAPURI";-;3;1;1;1;-;-;-;-;-;-;-;6
"120080 PORTO ACRE";2;-;2;1;-;-;-;-;-;-;-;-;5
"130002 ALVARAES";-;-;-;1;-;1;-;-;-;-;-;-;2
"130010 ANORI";-;-;-;-;1;-;-;-;-;-;-;-;1
"130014 APUI";-;1;-;2;-;-;-;-;-;-;-;-;3
"130030 AUTAZES";2;1;2;5;2;1;-;-;-;-;-;-;13
"130040 BARCELOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"130050 BARREIRINHA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130060 BENJAMIN CONSTANT";1;-;1;1;-;-;-;-;-;-;-;-;3
"130063 BERURI";1;-;-;-;1;-;-;-;-;-;-;-;2
"130068 BOA VISTA DO RAMOS";-;-;2;-;1;-;-;-;-;-;-;-;3
"130070 BOCA DO ACRE";2;4;3;-;2;-;-;-;1;-;-;-;12
"130080 BORBA";-;-;1;-;2;-;-;-;-;-;-;-;3
"130083 CAAPIRANGA";-;-;1;-;-;-;-;-;-;-;-;-;1
"130100 CARAUARI";-;2;2;2;1;1;-;-;-;-;-;-;8
"130110 CAREIRO";-;-;2;-;1;-;-;-;-;-;-;-;3
"130120 COARI";1;2;3;2;1;-;-;-;-;-;-;-;9
"130130 CODAJAS";-;-;2;-;-;-;-;-;-;-;-;-;2
"130140 EIRUNEPE";-;1;-;-;3;1;-;-;-;-;-;-;5
"130150 ENVIRA";3;-;5;-;-;2;-;-;-;-;-;-;10
"130165 GUAJARA";-;-;3;-;-;-;-;-;-;-;-;-;3
"130170 HUMAITA";3;1;1;2;3;3;-;-;-;1;1;-;15
"130180 IPIXUNA";-;-;1;1;-;-;-;-;-;-;-;-;2
"130185 IRANDUBA";2;4;1;2;-;1;-;-;-;-;-;1;11
"130190 ITACOATIARA";2;2;5;1;2;3;-;-;-;-;-;2;17
"130195 ITAMARATI";-;-;-;-;-;-;-;-;-;-;-;1;1
"130200 ITAPIRANGA";1;1;-;1;-;-;-;-;-;1;-;-;4
"130210 JAPURA";-;-;1;-;1;-;-;-;-;-;-;-;2
"130220 JURUA";1;-;-;-;-;-;-;-;-;-;-;-;1
"130230 JUTAI";-;-;1;-;-;-;-;-;-;-;-;-;1
"130240 LABREA";1;2;4;-;-;1;-;-;-;-;-;-;8
"130250 MANACAPURU";3;1;1;5;4;6;-;1;-;-;-;1;22
"130255 MANAQUIRI";1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 MANAUS";133;98;161;107;125;106;1;-;-;-;3;13;747
"130270 MANICORE";3;1;4;1;2;1;-;-;-;-;-;1;13
"130280 MARAA";1;-;-;-;-;-;-;-;-;-;-;-;1
"130290 MAUES";-;1;-;-;-;1;-;-;-;-;-;-;2
"130300 NHAMUNDA";-;1;2;1;1;1;-;-;-;-;-;-;6
"130310 NOVA OLINDA DO NORTE";-;-;1;-;-;-;-;-;-;-;-;-;1
"130330 NOVO ARIPUANA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130340 PARINTINS";1;3;9;4;5;-;-;-;1;-;1;-;24
"130350 PAUINI";2;1;-;-;-;-;-;-;-;-;-;1;4
"130353 PRESIDENTE FIGUEIREDO";2;1;1;-;-;1;-;-;-;-;-;-;5
"130356 RIO PRETO DA EVA";1;1;2;1;1;-;-;-;-;-;-;-;6
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;2;-;1;-;-;-;-;-;-;3
"130370 SANTO ANTONIO DO ICA";-;-;-;-;1;-;-;-;-;-;-;-;1
"130380 SAO GABRIEL DA CACHOEIRA";-;-;1;-;1;-;-;-;-;-;-;-;2
"130406 TABATINGA";1;-;-;-;1;1;-;-;-;-;-;-;3
"130410 TAPAUA";-;-;-;-;1;-;-;-;-;-;-;-;1
"130420 TEFE";3;3;2;1;8;2;-;-;1;1;2;-;23
"130430 URUCARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"130440 URUCURITUBA";1;-;1;-;-;-;-;-;-;-;-;-;2
"140002 AMAJARI";2;-;-;-;-;-;-;-;-;-;-;-;2
"140005 ALTO ALEGRE";-;1;-;-;-;-;-;-;-;-;-;-;1
"140010 BOA VISTA";34;24;41;25;22;9;4;4;7;3;11;7;191
"140015 BONFIM";2;-;-;-;-;1;-;-;-;-;-;-;3
"140017 CANTA";1;-;2;-;-;-;-;-;-;-;1;-;4
"140020 CARACARAI";4;1;3;1;3;-;-;-;1;1;1;1;16
"140023 CAROEBE";-;1;-;-;-;-;-;-;-;-;-;-;1
"140028 IRACEMA";1;-;-;-;-;-;-;-;-;-;-;-;1
"140030 MUCAJAI";1;-;-;1;1;1;-;-;-;-;-;-;4
"140040 NORMANDIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"140045 PACARAIMA";7;3;4;6;4;7;-;-;-;-;1;2;34
"140047 RORAINOPOLIS";4;1;4;2;2;4;-;-;-;-;-;1;18
"140050 SAO JOAO DA BALIZA";-;1;-;-;-;-;-;-;-;-;-;-;1
"140060 SAO LUIZ";-;2;-;-;-;-;-;-;-;-;-;-;2
"150010 ABAETETUBA";3;3;4;3;2;3;-;-;-;-;-;-;18
"150013 ABEL FIGUEIREDO";-;-;1;-;-;-;-;-;-;-;-;-;1
"150020 ACARA";4;4;1;6;2;-;-;-;-;-;-;-;17
"150030 AFUA";-;2;2;-;-;2;-;-;-;1;-;-;7
"150034 AGUA AZUL DO NORTE";-;2;2;-;-;-;-;-;-;-;-;-;4
