2012
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/leishvbr.def
Visceral Leishmaniasis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110011 JARU";-;-;-;-;-;-;1;-;-;-;-;-;1
"110012 JI-PARANA";1;-;-;-;-;-;-;-;-;-;-;-;1
"110020 PORTO VELHO";-;-;1;1;-;-;1;-;-;-;-;1;4
"110030 VILHENA";-;1;-;-;-;-;-;-;-;-;-;-;1
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;-;1;-;-;-;1
"110160 THEOBROMA";-;-;-;-;1;-;-;-;-;-;-;-;1
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"130185 IRANDUBA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130230 JUTAI";-;-;-;-;1;-;-;-;1;-;-;-;2
"130260 MANAUS";-;-;-;-;-;-;1;1;-;-;-;2;4
"130310 NOVA OLINDA DO NORTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"140002 AMAJARI";-;-;-;-;-;3;1;-;2;1;-;1;8
"140005 ALTO ALEGRE";-;-;-;-;-;-;-;1;-;-;1;-;2
"140010 BOA VISTA";3;2;2;3;1;2;2;1;3;3;2;3;27
"140015 BONFIM";1;1;-;1;-;-;-;1;2;-;-;-;6
"140017 CANTA";1;-;-;-;-;2;-;-;-;-;-;-;3
"140020 CARACARAI";-;-;-;-;-;-;-;1;-;-;-;-;1
"140028 IRACEMA";1;1;-;-;-;-;-;-;-;-;-;-;2
"140030 MUCAJAI";-;-;-;-;-;-;-;1;-;-;-;-;1
"140040 NORMANDIA";1;3;2;-;2;4;2;1;3;4;1;4;27
"140045 PACARAIMA";3;2;-;5;1;4;2;5;6;4;5;2;39
"140047 RORAINOPOLIS";-;-;-;-;-;-;-;1;-;1;-;1;3
"140070 UIRAMUTA";6;6;10;5;8;10;9;10;17;11;10;9;111
"150010 ABAETETUBA";6;4;6;6;9;11;10;3;7;5;6;12;85
"150013 ABEL FIGUEIREDO";-;1;-;-;-;-;-;-;-;1;-;-;2
"150020 ACARA";9;8;6;5;9;7;13;11;10;7;7;8;100
"150034 AGUA AZUL DO NORTE";1;-;-;-;1;-;-;-;-;1;-;-;3
