2012
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;-;3;3;2;-;-;-;-;-;1;-;-;9
"110001 ALTA FLORESTA D'OESTE";-;80;53;22;10;5;1;12;18;8;9;28;13;259
"110002 ARIQUEMES";-;4;2;9;4;6;3;1;-;2;-;3;10;44
"110003 CABIXI";-;8;19;10;16;14;4;3;8;1;1;3;7;94
"110004 CACOAL";-;47;103;115;72;42;25;15;11;3;6;18;13;470
"110005 CEREJEIRAS";-;126;314;328;36;10;6;7;1;2;1;9;14;854
"110006 COLORADO DO OESTE";-;41;28;52;37;20;10;8;4;3;2;4;16;225
"110007 CORUMBIARA";-;14;31;46;26;1;4;2;1;-;-;1;12;138
"110008 COSTA MARQUES";-;16;39;49;20;4;3;1;1;-;3;59;57;252
"110009 ESPIGAO D'OESTE";-;49;257;233;45;17;8;6;10;20;35;65;37;782
"110010 GUAJARA-MIRIM";-;131;89;59;19;23;26;16;17;28;36;84;122;650
"110011 JARU";-;104;94;40;42;33;23;14;5;11;12;19;10;407
"110012 JI-PARANA";-;166;41;10;19;22;6;1;2;1;11;66;84;429
"110013 MACHADINHO D'OESTE";-;14;9;14;6;2;10;10;3;4;8;14;22;116
"110014 NOVA BRASILANDIA D'OESTE";-;20;33;26;13;5;2;1;1;-;-;2;-;103
"110015 OURO PRETO DO OESTE";-;9;12;19;9;10;5;3;3;-;2;1;2;75
"110018 PIMENTA BUENO";-;33;11;-;1;1;-;3;1;3;1;4;10;68
"110020 PORTO VELHO";-;402;185;128;50;20;12;9;11;9;9;49;70;954
"110025 PRESIDENTE MEDICI";-;7;87;75;62;16;3;5;3;2;1;7;8;276
"110026 RIO CRESPO";-;-;-;2;-;-;1;-;-;-;1;-;1;5
"110028 ROLIM DE MOURA";-;157;87;57;20;12;5;6;19;2;14;28;79;486
"110029 SANTA LUZIA D'OESTE";-;8;3;2;-;-;-;-;1;-;1;-;1;16
"110030 VILHENA";-;347;410;337;218;212;219;122;74;23;76;73;104;2215
"110032 SAO MIGUEL DO GUAPORE";-;107;46;8;-;2;1;1;-;-;-;-;7;172
"110033 NOVA MAMORE";-;6;6;2;17;36;4;-;1;6;2;9;10;99
"110034 ALVORADA D'OESTE";-;247;154;84;29;7;3;13;2;3;4;11;47;604
"110037 ALTO ALEGRE DOS PARECIS";-;29;82;32;22;8;1;1;1;-;1;11;9;197
"110040 ALTO PARAISO";-;-;6;7;9;13;14;10;6;2;5;17;13;102
"110045 BURITIS";-;12;13;17;21;8;17;15;7;7;6;10;9;142
"110050 NOVO HORIZONTE DO OESTE";-;34;21;14;13;15;-;2;1;1;3;1;5;110
"110060 CACAULANDIA";-;-;-;-;2;-;-;-;1;-;-;-;1;4
"110070 CAMPO NOVO DE RONDONIA";-;8;16;14;13;14;3;-;-;-;-;1;8;77
"110080 CANDEIAS DO JAMARI";-;18;20;6;1;1;2;2;-;-;-;1;2;53
"110090 CASTANHEIRAS";-;2;4;1;-;-;1;2;-;-;-;-;-;10
"110092 CHUPINGUAIA";-;29;23;10;5;7;7;13;8;5;14;8;4;133
"110094 CUJUBIM";-;-;2;-;-;-;-;-;-;-;-;2;1;5
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;5;11;6;1;3;-;1;11;6;3;-;47
"110110 ITAPUA DO OESTE";-;5;9;3;1;1;7;1;3;-;1;2;3;36
"110120 MINISTRO ANDREAZZA";-;40;41;20;9;7;-;-;-;-;-;-;7;124
"110130 MIRANTE DA SERRA";-;29;64;63;12;26;2;1;-;-;-;4;19;220
"110140 MONTE NEGRO";-;1;4;2;-;1;1;4;-;-;-;3;1;17
"110143 NOVA UNIAO";-;3;20;12;4;-;1;1;-;-;-;1;11;53
"110145 PARECIS";-;10;21;25;6;2;-;-;-;-;-;2;2;68
"110146 PIMENTEIRAS DO OESTE";-;35;28;16;11;3;-;1;-;-;-;3;1;98
"110147 PRIMAVERA DE RONDONIA";-;7;1;-;-;-;-;-;-;1;-;2;-;11
"110148 SAO FELIPE D'OESTE";-;82;24;12;7;9;20;18;23;11;17;35;69;327
"110149 SAO FRANCISCO DO GUAPORE";-;109;119;47;11;7;2;2;1;1;-;5;12;316
"110150 SERINGUEIRAS";-;10;24;51;6;-;-;-;-;-;-;1;-;92
"110155 TEIXEIROPOLIS";-;17;14;1;-;-;-;-;-;2;3;2;8;47
"110160 THEOBROMA";-;5;3;1;2;1;-;-;-;-;-;2;1;15
"110170 URUPA";-;52;20;4;4;1;-;-;-;-;1;4;5;91
"110175 VALE DO ANARI";-;22;14;2;1;-;-;-;-;-;12;7;5;63
"110180 VALE DO PARAISO";-;-;3;2;-;1;-;-;1;-;-;1;2;10
"120001 ACRELANDIA";-;81;162;147;58;16;9;5;-;-;1;1;2;482
"120005 ASSIS BRASIL";-;54;31;25;6;5;-;1;-;2;-;14;27;165
"120010 BRASILEIA";-;38;21;16;5;-;-;-;-;5;28;63;78;254
"120013 BUJARI";-;6;6;1;2;3;1;-;1;1;-;2;3;26
"120017 CAPIXABA";-;15;10;5;6;5;3;1;3;2;4;20;14;88
"120020 CRUZEIRO DO SUL";-;14;9;3;2;1;2;2;2;1;1;1;9;47
"120025 EPITACIOLANDIA";-;46;30;21;4;3;-;5;5;9;23;46;30;222
"120030 FEIJO";-;4;1;2;2;2;-;1;-;-;2;-;1;15
"120032 JORDAO";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"120033 MANCIO LIMA";-;1;1;-;-;-;-;-;-;-;-;-;1;3
"120034 MANOEL URBANO";-;-;1;3;-;-;-;-;-;-;-;-;-;4
"120035 MARECHAL THAUMATURGO";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;100;44;22;1;3;1;4;1;1;4;49;116;346
"120039 PORTO WALTER";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"120040 RIO BRANCO";-;835;652;360;188;124;78;72;41;38;81;171;417;3057
"120042 RODRIGUES ALVES";-;-;1;-;-;-;1;-;-;-;-;2;-;4
"120043 SANTA ROSA DO PURUS";-;1;1;-;-;-;-;-;-;-;-;1;-;3
"120045 SENADOR GUIOMARD";-;13;11;1;2;-;1;1;-;-;-;-;11;40
"120050 SENA MADUREIRA";-;8;4;19;5;1;7;6;2;6;11;26;4;99
"120060 TARAUACA";-;5;3;3;1;1;2;-;-;-;-;1;1;17
"120070 XAPURI";-;13;10;12;5;16;27;19;2;3;-;3;19;129
