2016
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110001 ALTA FLORESTA D'OESTE";-;75;95;168;140;108;102;26;36;13;19;29;12;13;20;13;12;7;16;27;29;18;26;11;31;30;17;27;30;20;35;29;15;12;11;12;5;13;18;10;12;14;10;16;16;18;26;31;35;54;47;55;55;-;1719
"110002 ARIQUEMES";-;51;61;54;47;57;51;69;75;123;81;78;101;73;86;91;68;53;57;36;39;32;31;31;15;32;31;29;30;22;10;14;32;11;10;10;11;10;8;5;6;10;3;10;8;6;15;18;21;20;16;23;22;-;1903
"110003 CABIXI";-;9;16;28;8;13;10;4;10;17;9;11;11;5;3;2;2;2;7;3;2;2;5;6;2;2;2;5;1;1;1;-;1;-;-;-;3;1;1;5;5;1;4;4;2;5;6;8;5;4;5;5;5;-;269
"110004 CACOAL";-;143;142;148;169;183;173;235;197;184;196;177;114;139;112;103;79;50;58;47;28;36;16;24;12;25;23;5;8;10;9;8;2;5;1;2;3;5;6;7;3;5;8;2;6;8;10;10;15;27;39;43;37;-;3097
"110005 CEREJEIRAS";-;22;71;66;62;69;57;64;96;84;70;49;36;29;18;19;12;6;9;19;9;5;3;1;6;-;1;-;3;-;5;3;2;4;1;-;1;1;-;1;-;1;3;1;-;2;3;1;1;7;5;6;16;-;950
"110006 COLORADO DO OESTE";-;13;4;4;12;7;15;7;7;27;16;16;16;5;11;4;7;3;6;8;6;-;-;-;1;2;2;-;-;-;1;3;-;1;-;2;-;-;1;1;-;-;1;1;1;1;-;1;2;3;2;3;3;-;226
"110007 CORUMBIARA";-;1;7;7;10;22;15;12;15;11;6;9;4;5;2;3;4;4;2;2;-;2;1;2;2;2;-;4;2;-;-;-;2;-;1;-;-;-;-;-;-;3;-;1;-;-;-;1;2;1;-;1;1;-;169
"110008 COSTA MARQUES";-;5;4;8;8;16;12;14;16;14;8;5;1;4;6;9;3;4;1;6;-;1;4;1;3;2;2;2;1;1;-;3;-;-;2;2;1;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;208
"110009 ESPIGAO D'OESTE";-;84;79;125;50;57;51;59;82;43;29;38;57;67;62;86;65;62;61;57;34;32;25;30;17;35;17;13;17;10;13;7;5;10;3;1;2;3;2;5;-;2;9;4;5;4;2;3;3;1;1;7;30;1;1567
"110010 GUAJARA-MIRIM";-;26;33;47;42;45;40;53;34;48;47;38;21;27;20;23;22;10;23;18;13;7;6;5;9;6;9;8;3;5;1;-;1;2;1;-;4;1;3;3;-;2;1;1;3;1;4;11;8;12;9;17;19;-;792
"110011 JARU";-;155;161;95;69;99;63;67;46;48;54;50;34;53;27;27;15;17;10;15;13;24;27;24;15;8;16;9;11;12;10;6;9;2;3;1;4;6;13;13;17;32;23;39;54;57;104;103;153;108;158;186;123;3;2491
"110012 JI-PARANA";-;143;149;155;140;144;196;211;168;195;134;77;50;50;50;47;46;23;33;27;32;10;11;16;12;15;18;12;11;10;9;15;4;15;12;12;6;4;11;4;7;5;7;4;5;3;4;27;26;50;42;62;82;-;2601
"110013 MACHADINHO D'OESTE";-;49;37;24;40;50;51;28;14;38;21;20;11;21;32;14;35;35;29;22;6;8;21;5;6;1;4;5;3;3;6;2;11;3;1;1;4;-;3;2;1;3;3;4;11;13;29;47;91;70;69;38;49;-;1094
"110014 NOVA BRASILANDIA D'OESTE";-;18;47;63;46;53;56;48;56;58;68;72;75;68;77;65;70;59;51;55;37;28;47;26;21;12;17;11;15;11;8;9;6;9;13;6;10;8;5;6;6;7;11;3;4;6;6;10;7;13;7;9;12;-;1511
"110015 OURO PRETO DO OESTE";-;10;11;17;17;17;8;17;10;19;19;14;11;18;15;5;4;2;3;4;6;8;3;2;7;2;1;1;-;4;4;4;2;1;-;-;-;-;5;1;1;-;3;2;3;2;4;2;5;3;6;6;4;-;313
"110018 PIMENTA BUENO";-;70;91;111;109;110;150;118;115;115;112;80;79;69;54;65;56;33;29;24;24;12;16;8;2;11;4;8;7;7;4;7;7;7;7;1;11;3;8;4;5;3;6;10;10;8;4;15;10;19;39;30;45;-;1952
"110020 PORTO VELHO";-;165;178;195;178;223;251;250;209;233;216;230;221;220;193;194;159;148;136;114;112;97;67;77;51;57;54;67;71;61;44;30;35;26;19;18;11;18;19;17;13;16;32;33;26;35;38;54;51;47;72;68;66;-;5215
"110025 PRESIDENTE MEDICI";-;19;27;55;40;67;72;43;41;66;49;26;32;26;25;53;22;14;11;13;17;5;7;4;-;6;2;3;4;12;4;1;6;2;1;3;3;3;2;2;2;1;-;2;1;9;2;3;2;14;6;6;3;-;839
"110026 RIO CRESPO";-;6;11;5;1;3;-;5;15;6;6;4;6;11;10;6;7;6;10;3;1;3;3;-;1;3;1;1;1;-;1;2;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3;-;-;-;147
"110028 ROLIM DE MOURA";-;71;46;135;98;58;62;74;95;41;87;80;57;53;38;43;37;30;36;33;33;30;23;15;19;22;18;12;10;11;21;16;12;13;7;8;7;10;11;5;10;6;6;2;6;12;6;11;8;17;24;19;24;-;1628
"110029 SANTA LUZIA D'OESTE";-;26;23;20;20;13;8;10;8;9;13;10;7;1;1;2;2;4;-;6;6;3;-;4;2;1;-;3;-;-;-;1;2;-;-;1;-;1;4;1;7;-;1;1;3;6;3;16;14;4;16;19;18;-;320
"110030 VILHENA";-;154;174;158;180;133;211;163;164;156;232;163;149;196;139;164;129;83;124;105;88;78;68;58;60;62;37;48;33;33;31;34;33;35;27;16;27;20;11;35;21;18;68;28;54;40;43;112;98;105;155;103;112;1;4769
"110032 SAO MIGUEL DO GUAPORE";-;12;23;45;10;8;9;9;9;11;12;6;4;4;-;9;3;4;4;8;19;14;3;6;4;2;1;-;1;1;-;-;1;-;-;-;-;-;-;-;1;1;1;2;-;-;2;3;2;13;10;2;5;-;284
"110033 NOVA MAMORE";-;13;24;26;41;48;43;26;25;40;45;45;32;29;43;19;26;24;34;19;18;12;9;11;6;8;7;6;10;2;2;4;2;1;3;-;-;1;-;-;4;3;5;3;3;3;5;7;12;11;12;12;22;-;806
"110034 ALVORADA D'OESTE";-;53;41;38;19;24;28;16;13;10;6;8;14;11;5;4;6;3;4;2;2;2;1;1;-;-;1;3;-;-;3;-;1;-;2;1;1;-;1;-;-;-;-;-;4;2;4;8;33;33;30;33;51;-;522
"110037 ALTO ALEGRE DOS PARECIS";-;15;21;11;27;6;8;10;6;6;11;11;4;5;6;3;3;7;2;5;-;1;3;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;3;1;6;10;21;23;13;6;3;7;21;7;11;8;4;-;318
"110040 ALTO PARAISO";-;7;14;6;13;12;6;5;4;12;13;16;5;11;2;5;2;3;13;7;1;5;4;7;4;3;-;1;1;2;3;-;1;1;-;1;1;-;-;-;-;4;3;2;1;8;6;7;2;4;4;7;1;-;240
"110045 BURITIS";-;67;60;80;98;92;83;78;45;69;33;33;36;32;31;21;34;18;28;14;22;14;20;17;15;19;11;21;9;12;13;5;7;4;4;7;11;7;9;9;6;10;7;6;9;8;20;16;20;26;34;34;38;6;1428
"110050 NOVO HORIZONTE DO OESTE";-;2;5;2;5;9;7;21;18;17;7;3;3;2;2;-;2;3;3;3;-;1;2;1;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;3;-;1;3;3;2;-;-;1;-;-;2;-;138
"110060 CACAULANDIA";-;22;16;28;26;37;35;28;29;20;25;15;8;7;6;6;5;8;20;11;5;8;7;2;2;1;1;2;2;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;1;1;2;5;3;9;5;10;-;424
"110070 CAMPO NOVO DE RONDONIA";-;18;14;17;25;5;16;10;6;5;8;15;13;5;6;7;10;3;2;7;4;-;1;-;6;5;-;1;3;-;3;1;1;1;2;2;-;-;-;1;2;1;1;1;2;2;5;4;8;15;25;19;10;-;318
"110080 CANDEIAS DO JAMARI";-;22;11;14;18;10;14;21;12;19;6;10;7;7;8;15;7;6;15;6;5;5;7;4;16;6;2;3;5;2;1;5;5;3;-;1;6;2;2;-;2;2;1;-;2;1;6;2;10;4;9;1;10;-;358
