2007
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;120;78;60;38;15;11;29;36;51;83;188;124;833
"110002 ARIQUEMES";-;176;255;473;92;25;18;11;9;8;14;26;76;1183
"110003 CABIXI";-;47;54;46;25;19;5;2;8;2;1;8;17;234
"110004 CACOAL";-;1080;622;462;237;286;219;178;111;81;167;391;811;4645
"110005 CEREJEIRAS";-;253;467;522;152;41;22;16;5;11;2;23;76;1590
"110006 COLORADO DO OESTE";-;173;83;171;122;60;41;21;23;17;32;129;305;1177
"110007 CORUMBIARA";-;19;40;66;27;-;4;2;1;-;-;1;10;170
"110008 COSTA MARQUES";-;129;323;130;57;29;5;1;2;2;3;59;75;815
"110009 ESPIGAO D'OESTE";-;382;507;405;144;88;31;18;17;26;58;136;405;2217
"110010 GUAJARA-MIRIM";-;929;597;707;594;229;95;36;46;35;101;435;545;4349
"110011 JARU";-;549;270;186;151;70;38;35;24;48;321;1324;955;3971
"110012 JI-PARANA";-;504;209;262;186;55;30;5;54;66;114;336;471;2292
"110013 MACHADINHO D'OESTE";-;157;256;203;57;43;50;33;28;37;100;417;234;1615
"110014 NOVA BRASILANDIA D'OESTE";-;374;298;247;146;47;16;14;7;4;11;17;162;1343
"110015 OURO PRETO DO OESTE";-;241;157;228;68;42;19;20;14;10;17;126;303;1245
"110018 PIMENTA BUENO";-;679;514;468;205;51;26;18;52;88;207;320;590;3218
"110020 PORTO VELHO";-;4697;2613;652;238;121;76;63;41;75;139;665;2032;11412
"110025 PRESIDENTE MEDICI";-;109;209;173;162;46;6;6;6;6;14;42;48;827
"110026 RIO CRESPO";-;10;3;16;10;1;4;1;1;1;2;1;2;52
"110028 ROLIM DE MOURA";-;981;451;322;109;28;12;17;23;8;46;350;748;3095
"110029 SANTA LUZIA D'OESTE";-;33;15;28;13;4;2;1;-;4;8;26;128;262
"110030 VILHENA";-;977;1010;1069;660;502;323;166;99;51;141;283;392;5673
"110032 SAO MIGUEL DO GUAPORE";-;303;302;164;144;78;11;4;3;4;16;28;100;1157
"110033 NOVA MAMORE";-;98;49;42;36;54;23;8;7;9;23;25;41;415
"110034 ALVORADA D'OESTE";-;386;300;195;55;37;19;21;4;9;20;40;115;1201
"110037 ALTO ALEGRE DOS PARECIS";-;102;126;77;68;20;9;4;11;8;14;57;50;546
"110040 ALTO PARAISO";-;10;22;51;44;33;14;12;12;15;12;34;20;279
"110045 BURITIS";-;424;201;159;64;26;22;23;9;12;31;278;348;1597
"110050 NOVO HORIZONTE DO OESTE";-;238;115;87;31;17;3;9;36;9;12;59;147;763
"110060 CACAULANDIA";-;3;2;20;1;-;1;-;1;-;-;2;4;34
"110070 CAMPO NOVO DE RONDONIA";-;28;46;31;29;16;3;-;-;-;-;5;8;166
"110080 CANDEIAS DO JAMARI";-;82;40;16;12;12;4;4;3;1;3;4;31;212
"110090 CASTANHEIRAS";-;3;3;7;3;-;-;2;-;-;-;-;-;18
"110092 CHUPINGUAIA";-;46;64;50;48;17;18;23;20;20;44;28;10;388
"110094 CUJUBIM";-;56;13;11;4;1;-;-;1;4;1;2;6;99
"110100 GOVERNADOR JORGE TEIXEIRA";-;30;19;19;12;1;1;1;3;12;19;80;83;280
"110110 ITAPUA DO OESTE";-;79;55;31;22;20;30;16;13;7;5;8;31;317
"110120 MINISTRO ANDREAZZA";-;80;57;22;8;8;-;-;-;4;-;25;100;304
"110130 MIRANTE DA SERRA";-;108;113;165;94;29;3;6;12;10;62;218;50;870
"110140 MONTE NEGRO";-;126;65;20;11;8;4;14;6;1;2;38;59;354
"110143 NOVA UNIAO";-;33;34;20;16;6;3;1;2;1;67;122;169;474
"110145 PARECIS";-;22;23;33;10;2;-;-;-;-;2;4;8;104
"110146 PIMENTEIRAS DO OESTE";-;34;27;15;11;3;-;-;-;-;-;3;3;96
"110147 PRIMAVERA DE RONDONIA";-;48;19;9;2;3;1;-;-;-;2;7;8;99
"110148 SAO FELIPE D'OESTE";-;140;90;25;12;10;27;26;36;17;32;47;91;553
"110149 SAO FRANCISCO DO GUAPORE";-;278;274;135;43;29;12;7;3;6;5;35;50;877
"110150 SERINGUEIRAS";-;130;115;110;54;1;1;1;-;-;-;3;7;422
"110155 TEIXEIROPOLIS";-;90;108;61;11;1;2;-;5;2;3;2;42;327
"110160 THEOBROMA";-;22;14;5;1;2;5;-;1;-;2;25;30;107
"110170 URUPA";-;320;102;119;41;2;-;-;-;1;1;14;71;671
"110175 VALE DO ANARI";-;35;23;27;5;-;3;-;7;7;37;73;39;256
"110180 VALE DO PARAISO";-;10;13;16;18;9;8;3;1;2;-;5;8;93
"120001 ACRELANDIA";-;142;325;197;73;20;9;5;1;3;20;52;78;925
"120005 ASSIS BRASIL";-;113;71;118;51;29;23;6;2;11;9;38;36;507
"120010 BRASILEIA";-;391;350;298;198;97;88;44;54;48;122;343;530;2563
"120013 BUJARI";-;3;1;-;-;1;-;-;-;1;-;-;1;7
"120017 CAPIXABA";-;108;89;78;66;27;6;2;3;2;4;19;41;445
"120020 CRUZEIRO DO SUL";-;54;60;28;9;5;5;2;2;7;3;5;21;201
"120025 EPITACIOLANDIA";-;48;68;51;25;24;6;5;2;8;12;47;78;374
"120030 FEIJO";-;2;7;68;17;-;1;1;-;-;2;-;2;100
"120032 JORDAO";-;-;-;1;-;-;-;-;-;-;-;1;2;4
"120033 MANCIO LIMA";-;3;1;1;-;-;-;-;-;-;-;-;1;6
"120035 MARECHAL THAUMATURGO";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;101;50;23;4;3;-;6;1;1;3;54;118;364
"120040 RIO BRANCO";-;15832;18962;14231;5753;2660;1328;1097;653;840;1365;4039;8336;75096
"120042 RODRIGUES ALVES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"120043 SANTA ROSA DO PURUS";-;3;2;2;-;1;-;-;-;-;-;-;-;8
"120045 SENADOR GUIOMARD";-;177;42;39;9;5;2;2;1;-;2;10;24;313
"120050 SENA MADUREIRA";-;100;55;86;49;25;12;9;6;8;39;70;63;522
"120060 TARAUACA";-;5;3;4;2;2;-;1;-;-;1;-;-;18
"120070 XAPURI";-;135;98;53;13;26;33;21;2;4;8;8;63;464
"120080 PORTO ACRE";-;17;27;54;4;5;-;-;1;-;-;8;1;117
"130002 ALVARAES";-;17;9;-;-;-;-;3;-;-;-;1;-;30
"130006 AMATURA";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"130008 ANAMA";-;4;9;4;1;1;-;-;-;-;-;-;-;19
"130010 ANORI";-;6;5;8;1;1;-;1;2;-;2;2;-;28
"130014 APUI";-;-;6;7;2;4;2;-;1;1;-;1;-;24
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;1;2
"130030 AUTAZES";-;8;9;5;-;1;-;1;-;-;-;-;-;24
"130040 BARCELOS";-;111;52;64;22;29;24;45;43;76;122;141;54;783
"130050 BARREIRINHA";-;-;4;-;1;1;-;-;-;-;-;-;-;6
"130060 BENJAMIN CONSTANT";-;5;2;2;1;-;1;-;1;-;-;3;5;20
"130070 BOCA DO ACRE";-;154;112;81;15;7;6;4;1;3;-;4;20;407
"130080 BORBA";-;42;78;64;26;23;20;13;27;29;24;15;28;389
"130083 CAAPIRANGA";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"130090 CANUTAMA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130100 CARAUARI";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130110 CAREIRO";-;100;143;84;49;61;16;7;-;1;3;6;24;494
"130115 CAREIRO DA VARZEA";-;-;-;1;-;-;-;2;-;-;-;1;-;4
"130120 COARI";-;262;457;319;183;117;73;292;150;58;110;189;407;2617
"130130 CODAJAS";-;85;203;96;10;19;27;45;32;3;2;16;26;564
"130140 EIRUNEPE";-;2;2;1;2;-;1;-;-;-;-;-;1;9
"130150 ENVIRA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130160 FONTE BOA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130165 GUAJARA";-;1;1;1;-;1;-;-;-;-;-;-;-;4
"130170 HUMAITA";-;544;266;184;67;45;26;34;43;46;76;160;191;1682
"130180 IPIXUNA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130185 IRANDUBA";-;-;3;3;3;-;1;1;-;-;-;-;3;14
"130190 ITACOATIARA";-;209;369;512;321;59;14;1;2;3;28;9;27;1554
"130195 ITAMARATI";-;-;-;2;-;-;-;-;-;1;-;-;-;3
"130210 JAPURA";-;13;5;1;2;-;3;-;-;1;1;-;-;26
"130220 JURUA";-;3;1;-;1;1;-;-;-;-;-;-;-;6
"130230 JUTAI";-;2;11;5;-;-;-;-;-;-;-;-;-;18
"130240 LABREA";-;342;248;122;36;31;8;2;-;3;7;40;122;961
"130250 MANACAPURU";-;664;604;349;59;42;27;3;8;-;-;7;56;1819
"130255 MANAQUIRI";-;7;20;8;7;2;-;-;-;-;-;-;-;44
"130260 MANAUS";-;11976;25467;22792;9182;4152;2427;1706;1247;1033;981;1802;3015;85780
"130270 MANICORE";-;17;65;113;54;24;5;3;1;8;9;210;154;663
"130280 MARAA";-;15;9;5;2;1;-;1;-;-;-;1;2;36
"130290 MAUES";-;7;28;49;43;52;69;52;10;2;2;2;-;316
"130300 NHAMUNDA";-;3;1;-;-;-;-;-;-;-;-;-;-;4
"130310 NOVA OLINDA DO NORTE";-;26;138;80;52;21;19;53;33;6;2;3;1;434
"130320 NOVO AIRAO";-;22;53;28;21;2;1;7;1;-;4;7;26;172
"130330 NOVO ARIPUANA";-;60;144;178;112;43;47;37;22;5;24;20;13;705
"130340 PARINTINS";-;157;72;48;14;10;1;3;5;4;5;96;97;512
"130353 PRESIDENTE FIGUEIREDO";-;7;14;9;5;7;24;7;10;2;2;-;2;89
"130356 RIO PRETO DA EVA";-;6;7;11;8;1;-;3;-;1;-;-;1;38
"130370 SANTO ANTONIO DO ICA";-;20;2;3;10;-;-;-;1;-;-;-;-;36
"130380 SAO GABRIEL DA CACHOEIRA";-;315;162;164;116;109;313;166;178;110;96;115;120;1964
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"130400 SILVES";-;-;-;-;-;-;-;-;-;-;-;-;3;3
"130406 TABATINGA";-;185;37;25;33;84;40;16;29;32;115;182;195;973
"130410 TAPAUA";-;1;5;1;-;-;-;-;-;-;-;-;-;7
"130420 TEFE";-;1036;470;208;90;101;153;97;38;28;67;87;238;2613
"130426 UARINI";-;-;-;3;-;-;-;-;-;-;-;-;-;3
"130440 URUCURITUBA";-;-;4;3;-;1;-;-;-;-;-;-;-;8
"140002 AMAJARI";-;17;5;15;9;30;19;23;8;10;14;16;6;172
"140005 ALTO ALEGRE";-;19;10;7;18;39;58;73;25;17;7;8;6;287
"140010 BOA VISTA";-;1107;969;1094;1116;1736;2279;1953;1460;934;485;530;656;14319
"140015 BONFIM";-;19;26;21;34;54;74;42;35;25;33;32;15;410
"140017 CANTA";-;27;22;15;38;49;47;83;59;20;8;9;13;390
"140020 CARACARAI";-;50;230;198;111;146;84;14;16;16;19;25;18;927
"140023 CAROEBE";-;52;105;160;53;36;12;41;25;7;4;5;23;523
"140028 IRACEMA";-;14;13;24;33;146;186;125;47;21;8;21;29;667
"140030 MUCAJAI";-;11;29;37;55;79;50;48;22;20;10;18;24;403
"140040 NORMANDIA";-;-;2;9;3;4;1;5;6;6;5;2;1;44
"140045 PACARAIMA";-;25;42;49;73;82;27;22;32;17;24;20;25;438
"140047 RORAINOPOLIS";-;65;127;254;357;234;200;95;99;93;103;89;47;1763
"140050 SAO JOAO DA BALIZA";-;13;39;64;19;30;33;38;15;1;3;5;1;261
"140060 SAO LUIZ";-;1;29;94;178;68;3;2;1;2;-;-;-;378
"140070 UIRAMUTA";-;-;-;-;-;5;1;3;71;31;4;-;2;117
"150010 ABAETETUBA";-;179;177;126;113;63;42;39;104;114;78;93;120;1248
"150013 ABEL FIGUEIREDO";-;32;12;17;14;8;7;5;5;5;19;31;22;177
"150020 ACARA";-;34;48;64;38;21;5;3;5;-;11;15;16;260
"150034 AGUA AZUL DO NORTE";-;14;12;50;56;40;8;-;3;6;48;30;32;299
"150040 ALENQUER";-;10;21;16;20;5;1;2;1;1;2;-;4;83
"150050 ALMEIRIM";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150060 ALTAMIRA";-;668;831;1015;412;250;180;111;135;132;258;317;194;4503
"150070 ANAJAS";-;1;-;1;10;-;-;-;-;-;-;-;-;12
"150080 ANANINDEUA";-;315;350;444;305;186;115;107;116;129;144;252;202;2665
"150085 ANAPU";-;7;21;69;27;17;3;3;6;6;16;25;9;209
"150090 AUGUSTO CORREA";-;23;17;19;13;15;6;5;6;5;4;2;7;122
"150095 AURORA DO PARA";-;11;12;28;12;4;5;-;3;2;3;1;2;83
"150100 AVEIRO";-;3;2;-;1;1;3;1;-;-;-;-;-;11
"150110 BAGRE";-;1;2;-;-;3;2;2;50;3;-;1;1;65
"150120 BAIAO";-;3;6;14;7;4;2;1;2;1;-;1;1;42
"150125 BANNACH";-;45;26;12;39;23;1;2;3;3;31;2;8;195
"150130 BARCARENA";-;79;79;61;49;44;32;25;24;21;30;25;34;503
"150140 BELEM";-;1752;2334;2973;1801;957;693;546;656;630;711;870;803;14726
"150145 BELTERRA";-;56;64;93;58;90;31;28;31;5;6;15;22;499
"150150 BENEVIDES";-;100;88;114;83;66;36;29;45;53;33;55;31;733
"150157 BOM JESUS DO TOCANTINS";-;57;85;62;47;28;18;13;13;4;10;28;18;383
"150160 BONITO";-;-;-;-;-;-;-;-;-;1;2;-;-;3
"150170 BRAGANCA";-;62;84;80;95;60;48;72;79;57;65;55;37;794
"150172 BRASIL NOVO";-;56;63;44;99;55;14;5;-;3;4;15;19;377
"150175 BREJO GRANDE DO ARAGUAIA";-;25;26;24;9;9;5;2;2;-;8;9;3;122
"150178 BREU BRANCO";-;103;331;356;383;93;3;2;2;23;88;7;101;1492
"150180 BREVES";-;9;24;20;10;4;1;8;3;6;8;9;-;102
"150190 BUJARU";-;3;4;10;3;2;4;3;3;9;3;2;2;48
"150195 CACHOEIRA DO PIRIA";-;9;33;22;7;23;1;6;1;2;3;13;10;130
"150210 CAMETA";-;111;149;127;74;62;32;39;62;92;51;66;74;939
"150215 CANAA DOS CARAJAS";-;77;189;133;126;124;23;13;10;7;6;10;15;733
"150220 CAPANEMA";-;60;72;94;76;43;18;25;45;52;43;58;88;674
"150230 CAPITAO POCO";-;10;13;31;22;21;10;6;9;3;5;6;1;137
"150240 CASTANHAL";-;192;181;229;203;95;52;30;41;63;64;83;120;1353
"150260 COLARES";-;-;2;30;5;5;-;2;5;1;-;-;-;50
"150270 CONCEICAO DO ARAGUAIA";-;551;511;575;247;104;54;28;15;9;14;42;163;2313
"150275 CONCORDIA DO PARA";-;23;35;24;9;2;1;3;3;3;7;15;-;125
"150276 CUMARU DO NORTE";-;42;85;60;71;37;8;17;9;9;35;69;54;496
"150277 CURIONOPOLIS";-;30;59;89;71;29;27;10;3;1;-;4;10;333
"150280 CURRALINHO";-;1;1;1;-;-;-;-;-;-;-;-;-;3
"150290 CURUCA";-;6;9;9;6;19;11;13;48;7;2;2;4;136
"150293 DOM ELISEU";-;42;60;84;76;58;33;20;11;8;6;4;8;410
"150295 ELDORADO DOS CARAJAS";-;47;55;83;57;27;8;9;3;8;14;76;30;417
"150304 FLORESTA DO ARAGUAIA";-;131;61;49;16;11;1;1;-;1;1;13;43;328
"150307 GARRAFAO DO NORTE";-;2;-;3;2;1;2;2;1;-;1;3;2;19
"150309 GOIANESIA DO PARA";-;129;219;94;59;56;30;14;8;10;6;9;30;664
"150310 GURUPA";-;-;-;2;-;-;5;4;-;-;6;16;-;33
"150320 IGARAPE-ACU";-;13;31;40;27;17;9;12;5;14;14;9;8;199
"150330 IGARAPE-MIRI";-;24;15;19;8;6;1;-;3;2;4;11;6;99
"150340 INHANGAPI";-;34;38;15;10;5;4;1;3;5;3;7;5;130
"150345 IPIXUNA DO PARA";-;35;62;63;39;13;8;2;3;2;1;9;11;248
"150350 IRITUIA";-;40;40;48;19;6;25;22;16;13;11;21;16;277
"150360 ITAITUBA";-;416;437;515;281;200;121;82;94;75;123;256;191;2791
"150370 ITUPIRANGA";-;215;214;83;42;26;10;10;28;36;21;44;87;816
"150375 JACAREACANGA";-;2;-;-;1;3;-;-;-;1;-;-;-;7
"150380 JACUNDA";-;166;191;164;90;56;19;13;6;7;29;52;111;904
"150390 JURUTI";-;212;255;296;210;49;25;17;3;6;5;17;33;1128
"150400 LIMOEIRO DO AJURU";-;1;6;7;15;3;5;1;1;-;2;-;2;43
"150405 MAE DO RIO";-;10;13;28;30;15;6;10;14;5;6;5;15;157
