2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;42;42;54;47;27;35;30;84;84;72;56;7;1;12;10;5;7;15;26;25;18;23;7;18;13;6;6;12;10;4;8;7;9;7;10;4;10;15;8;8;9;6;13;11;13;14;25;30;40;30;38;7;-;1120
"110002 ARIQUEMES";-;46;55;50;46;46;48;65;71;119;72;76;95;63;78;89;67;51;55;32;33;29;31;25;15;26;30;25;26;19;10;13;30;9;8;8;11;7;8;3;5;8;1;8;6;5;10;11;16;15;11;24;12;-;1722
"110003 CABIXI";-;4;3;12;6;5;3;2;8;13;21;38;19;4;2;1;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;148
"110004 CACOAL";-;150;135;141;159;183;187;219;219;198;203;192;112;152;122;105;82;56;56;51;30;35;24;28;10;27;25;7;9;14;10;9;3;7;3;4;3;6;13;8;5;6;6;4;8;12;10;13;18;33;43;48;25;-;3228
"110005 CEREJEIRAS";-;9;14;24;21;22;12;9;11;22;34;20;22;12;13;12;8;4;6;14;6;4;2;1;5;-;-;-;3;-;2;1;-;3;1;-;-;1;-;1;-;1;-;-;-;1;-;-;-;3;-;1;2;-;327
"110006 COLORADO DO OESTE";-;1;2;-;2;1;6;3;7;26;10;8;13;5;8;2;5;3;3;5;2;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;118
"110007 CORUMBIARA";-;-;2;4;6;21;13;19;30;11;7;11;3;4;-;2;2;2;2;1;-;2;1;1;2;-;-;3;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;154
"110008 COSTA MARQUES";-;4;1;5;3;4;6;5;19;32;39;32;11;3;6;9;3;4;1;5;-;-;4;-;3;2;1;2;1;1;-;2;-;-;2;1;1;1;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;250
"110009 ESPIGAO D'OESTE";-;13;21;12;10;15;28;27;29;41;53;32;41;54;41;71;54;44;50;52;25;27;21;26;14;25;14;11;11;7;10;6;4;7;2;-;-;1;-;-;-;-;-;-;-;-;2;2;1;1;-;1;-;1;907
"110010 GUAJARA-MIRIM";-;19;24;33;23;21;19;32;9;19;7;16;6;4;2;2;5;2;6;3;1;3;3;2;2;1;4;3;1;1;-;-;1;-;1;-;2;1;3;1;-;-;1;1;1;-;-;4;1;4;5;8;11;-;318
