2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110001 ALTA FLORESTA D'OESTE";42;42;54;47;26;35;30;84;84;70;55;7;1;12;10;5;7;15;25;25;18;23;7;18;13;5;6;12;10;4;8;7;9;7;10;3;10;15;8;8;9;6;13;11;13;14;25;30;40;29;37;7;1111
"110002 ARIQUEMES";42;43;42;36;35;38;56;67;113;66;72;92;61;69;85;65;46;51;29;19;25;27;20;11;21;25;18;24;16;7;10;28;8;8;8;11;7;8;2;5;8;1;8;6;3;9;9;7;12;8;21;10;1518
"110003 CABIXI";3;2;10;6;4;2;2;8;12;20;38;19;4;2;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;136
"110004 CACOAL";140;132;137;146;179;175;207;212;191;193;175;104;148;111;96;74;48;52;41;28;29;18;22;7;22;22;4;7;11;7;5;3;6;3;4;3;6;13;7;5;5;5;4;7;9;6;11;6;17;17;15;4;2899
"110005 CEREJEIRAS";5;8;10;7;6;3;3;9;16;18;8;16;5;3;5;4;2;5;9;4;3;1;-;5;-;-;-;2;-;2;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3;-;1;1;168
"110006 COLORADO DO OESTE";-;-;-;-;1;-;2;7;24;6;3;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48
"110007 CORUMBIARA";-;1;2;4;17;11;18;29;7;6;5;2;3;-;2;2;1;1;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115
"110008 COSTA MARQUES";-;-;3;-;-;2;4;16;31;35;32;10;3;6;9;3;4;1;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;1;6;3;8;1;2;1;-;-;-;1;-;-;193
"110009 ESPIGAO D'OESTE";12;18;9;9;13;28;26;29;35;53;30;37;53;38;67;45;40;43;34;24;26;14;21;6;16;6;5;2;2;3;3;1;2;-;-;-;1;-;-;-;-;-;-;-;-;2;2;1;1;-;1;-;758
"110010 GUAJARA-MIRIM";16;24;32;21;15;10;11;7;11;3;13;2;3;1;2;2;1;4;2;1;-;1;1;-;1;4;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;1;-;1;3;8;10;216
"110011 JARU";148;141;80;59;65;36;47;32;39;41;41;24;31;13;14;13;8;6;10;9;12;15;15;12;5;13;5;7;9;8;5;8;2;3;1;4;5;12;12;16;32;24;38;50;52;103;102;145;98;152;179;91;2092
"110012 JI-PARANA";89;88;100;80;72;105;82;80;80;60;39;30;28;23;22;31;19;23;18;21;8;9;12;9;12;15;10;9;9;8;9;3;10;9;8;5;3;10;4;3;1;2;1;1;2;2;24;20;35;37;51;40;1471
"110013 MACHADINHO D'OESTE";12;6;3;10;19;73;63;91;122;65;25;7;18;27;12;35;31;24;16;3;5;12;5;2;-;1;3;2;1;-;1;9;-;-;-;1;-;1;-;-;-;1;2;3;-;1;1;5;-;2;1;-;721
"110014 NOVA BRASILANDIA D'OESTE";10;11;21;12;13;14;20;15;21;29;33;45;41;41;54;50;39;32;41;23;15;35;20;17;9;10;11;11;9;8;4;3;8;9;4;7;7;5;6;5;6;8;1;3;2;4;7;6;4;3;4;3;819
