2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"110001 ALTA FLORESTA D'OESTE";2;5;4;13;8;14;27;76;76;63;47;5;340
"110002 ARIQUEMES";7;14;11;8;-;-;-;-;-;-;-;-;40
"110003 CABIXI";-;-;-;-;-;-;-;2;-;9;27;8;46
"110004 CACOAL";2;5;4;7;13;17;4;24;19;12;6;-;113
"110005 CEREJEIRAS";-;-;-;-;-;1;1;1;1;1;-;-;5
"110007 CORUMBIARA";-;-;1;-;1;2;13;19;4;3;3;1;47
"110008 COSTA MARQUES";-;-;2;-;-;-;1;11;23;33;28;10;108
"110009 ESPIGAO D'OESTE";-;-;-;1;7;8;5;4;17;33;14;-;89
"110010 GUAJARA-MIRIM";1;3;-;1;-;1;1;-;3;-;3;-;13
"110011 JARU";1;3;8;6;12;12;11;5;7;9;2;2;78
"110012 JI-PARANA";-;1;1;1;3;4;8;23;15;4;2;-;62
"110013 MACHADINHO D'OESTE";-;1;1;3;15;58;59;87;108;56;15;-;403
"110014 NOVA BRASILANDIA D'OESTE";1;-;1;-;4;3;7;6;9;4;4;1;40
"110015 OURO PRETO DO OESTE";-;1;1;2;-;-;2;2;2;1;5;1;17
"110018 PIMENTA BUENO";4;5;-;5;11;2;10;5;10;4;-;-;56
"110020 PORTO VELHO";36;28;41;38;36;34;40;35;36;21;3;-;348
"110025 PRESIDENTE MEDICI";7;5;29;20;13;21;7;4;9;3;-;-;118
"110026 RIO CRESPO";4;9;4;12;3;-;-;-;-;-;-;-;32
"110028 ROLIM DE MOURA";3;1;5;3;4;26;17;144;147;163;21;38;572
"110029 SANTA LUZIA D'OESTE";-;1;-;-;-;2;2;25;26;12;12;-;80
"110030 VILHENA";1;2;7;7;9;7;10;15;21;11;-;-;90
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;-;16;22;7;-;-;-;45
"110033 NOVA MAMORE";1;-;3;3;6;6;10;5;3;7;5;2;51
"110034 ALVORADA D'OESTE";1;1;-;1;2;4;1;6;-;-;1;-;17
"110040 ALTO PARAISO";1;2;-;-;-;-;1;-;2;-;1;-;7
"110045 BURITIS";5;3;6;7;14;15;19;27;29;15;14;-;154
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;-;-;5;11;11;-;27
"110060 CACAULANDIA";-;-;4;4;1;3;5;4;5;6;5;-;37
"110070 CAMPO NOVO DE RONDONIA";-;-;-;2;2;3;5;8;7;5;2;-;34
"110080 CANDEIAS DO JAMARI";2;3;3;6;1;4;6;10;23;31;14;-;103
