2011
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/ltabr.def
American Tegumentary Leishmaniasis
"Município de residência";"Casos confirmados"
"110001 Alta Floresta D'Oeste";252
"110037 Alto Alegre dos Parecis";226
"110040 Alto Paraíso";109
"110034 Alvorada D'Oeste";82
"110002 Ariquemes";478
"110045 Buritis";256
"110003 Cabixi";63
"110060 Cacaulândia";67
"110004 Cacoal";522
"110070 Campo Novo de Rondônia";194
"110080 Candeias do Jamari";119
"110090 Castanheiras";70
"110005 Cerejeiras";96
"110092 Chupinguaia";279
"110006 Colorado do Oeste";128
"110007 Corumbiara";128
"110008 Costa Marques";267
"110094 Cujubim";381
"110009 Espigão D'Oeste";629
"110100 Governador Jorge Teixeira";115
"110010 Guajará-Mirim";241
"110110 Itapuã do Oeste";26
"110011 Jaru";205
"110012 Ji-Paraná";473
"110013 Machadinho D'Oeste";493
"110120 Ministro Andreazza";61
"110130 Mirante da Serra";86
"110140 Monte Negro";134
"110014 Nova Brasilândia D'Oeste";137
"110033 Nova Mamoré";348
"110143 Nova União";24
"110050 Novo Horizonte do Oeste";84
"110015 Ouro Preto do Oeste";84
"110145 Parecis";164
"110018 Pimenta Bueno";498
"110146 Pimenteiras do Oeste";15
"110020 Porto Velho";1492
"110025 Presidente Médici";85
"110147 Primavera de Rondônia";38
"110026 Rio Crespo";49
"110028 Rolim de Moura";454
"110029 Santa Luzia D'Oeste";75
"110148 São Felipe D'Oeste";52
"110149 São Francisco do Guaporé";320
"110032 São Miguel do Guaporé";212
"110150 Seringueiras";82
"110155 Teixeirópolis";10
"110160 Theobroma";66
"110170 Urupá";42
"110175 Vale do Anari";84
"110180 Vale do Paraíso";56
"110030 Vilhena";1241
"110000 Município ignorado - RO";4
"120001 Acrelândia";215
"120005 Assis Brasil";787
"120010 Brasiléia";880
"120013 Bujari";266
"120017 Capixaba";408
"120020 Cruzeiro do Sul";611
"120025 Epitaciolândia";609
"120030 Feijó";652
"120032 Jordão";156
"120033 Mâncio Lima";427
"120034 Manoel Urbano";325
"120035 Marechal Thaumaturgo";503
"120038 Plácido de Castro";383
"120080 Porto Acre";195
"120039 Porto Walter";148
"120040 Rio Branco";2457
"120042 Rodrigues Alves";126
"120043 Santa Rosa do Purus";223
"120050 Sena Madureira";1421
"120045 Senador Guiomard";157
"120060 Tarauacá";305
"120070 Xapuri";1281
"120000 Município ignorado - AC";1
"130002 Alvarães";33
"130006 Amaturá";16
"130008 Anamã";18
"130010 Anori";13
"130014 Apuí";245
"130020 Atalaia do Norte";145
"130030 Autazes";159
"130040 Barcelos";246
"130050 Barreirinha";136
"130060 Benjamin Constant";46
"130063 Beruri";8
"130068 Boa Vista do Ramos";33
"130070 Boca do Acre";734
"130080 Borba";138
"130083 Caapiranga";59
"130090 Canutama";79
"130100 Carauari";176
"130110 Careiro";50
"130115 Careiro da Várzea";12
"130120 Coari";210
"130130 Codajás";17
"130140 Eirunepé";314
"130150 Envira";344
"130160 Fonte Boa";25
"130165 Guajará";113
"130170 Humaitá";632
"130180 Ipixuna";158
"130185 Iranduba";61
"130190 Itacoatiara";1072
"130195 Itamarati";38
"130200 Itapiranga";70
"130210 Japurá";56
"130220 Juruá";14
"130230 Jutaí";7
"130240 Lábrea";485
"130250 Manacapuru";268
"130255 Manaquiri";7
"130260 Manaus";5991
"130270 Manicoré";340
"130280 Maraã";25
"130290 Maués";378
"130300 Nhamundá";180
"130310 Nova Olinda do Norte";107
"130320 Novo Airão";158
"130330 Novo Aripuanã";274
"130340 Parintins";132
"130350 Pauini";242
"130353 Presidente Figueiredo";2210
"130356 Rio Preto da Eva";2277
"130360 Santa Isabel do Rio Negro";159
"130370 Santo Antônio do Içá";21
"130380 São Gabriel da Cachoeira";279
"130390 São Paulo de Olivença";25
"130395 São Sebastião do Uatumã";45
"130400 Silves";128
"130406 Tabatinga";60
"130410 Tapauá";122
"130420 Tefé";266
"130423 Tonantins";30
"130426 Uarini";40
"130430 Urucará";39
"130440 Urucurituba";9
"130000 Município ignorado - AM";6
"140005 Alto Alegre";231
"140002 Amajari";134
"140010 Boa Vista";1314
"140015 Bonfim";37
"140017 Cantá";167
"140020 Caracaraí";197
"140023 Caroebe";595
"140028 Iracema";96
"140030 Mucajaí";162
"140040 Normandia";5
"140045 Pacaraima";310
"140047 Rorainópolis";650
"140050 São João da Baliza";199
"140060 São Luiz";111
"140070 Uiramutã";158
"140000 Município ignorado - RR";5
"150010 Abaetetuba";47
"150013 Abel Figueiredo";150
"150020 Acará";116
"150030 Afuá";56
"150034 Água Azul do Norte";105
"150040 Alenquer";712
"150050 Almeirim";808
"150060 Altamira";1173
"150070 Anajás";32
"150080 Ananindeua";44
"150085 Anapu";691
"150090 Augusto Corrêa";96
"150095 Aurora do Pará";81
"150100 Aveiro";114
"150110 Bagre";291
"150120 Baião";209
"150125 Bannach";46
"150130 Barcarena";40
"150140 Belém";102
"150145 Belterra";254
"150150 Benevides";24
"150157 Bom Jesus do Tocantins";95
"150160 Bonito";32
"150170 Bragança";304
"150172 Brasil Novo";571
"150175 Brejo Grande do Araguaia";35
"150178 Breu Branco";439
"150180 Breves";68
"150190 Bujaru";15
"150200 Cachoeira do Arari";14
"150195 Cachoeira do Piriá";407
"150210 Cametá";73
"150215 Canaã dos Carajás";142
"150220 Capanema";45
"150230 Capitão Poço";103
"150240 Castanhal";129
"150250 Chaves";6
"150260 Colares";37
"150270 Conceição do Araguaia";108
"150275 Concórdia do Pará";37
"150276 Cumaru do Norte";139
"150277 Curionópolis";204
"150280 Curralinho";93
"150285 Curuá";55
"150290 Curuçá";18
"150293 Dom Eliseu";506
"150295 Eldorado do Carajás";142
"150300 Faro";44
"150304 Floresta do Araguaia";42
"150307 Garrafão do Norte";186
"150309 Goianésia do Pará";998
"150310 Gurupá";46
"150320 Igarapé-Açu";48
"150330 Igarapé-Miri";298
"150340 Inhangapi";31
"150345 Ipixuna do Pará";442
"150350 Irituia";120
"150360 Itaituba";1321
"150370 Itupiranga";334
"150375 Jacareacanga";223
"150380 Jacundá";343
"150390 Juruti";346
"150400 Limoeiro do Ajuru";19
"150405 Mãe do Rio";84
"150410 Magalhães Barata";7
"150420 Marabá";957
"150430 Maracanã";7
"150440 Marapanim";14
"150442 Marituba";23
"150445 Medicilândia";1606
"150450 Melgaço";17
"150460 Mocajuba";68
"150470 Moju";430
"150475 Mojuí dos Campos";378
"150480 Monte Alegre";1317
"150490 Muaná";24
"150495 Nova Esperança do Piriá";324
"150497 Nova Ipixuna";52
"150500 Nova Timboteua";30
"150503 Novo Progresso";602
"150506 Novo Repartimento";994
"150510 Óbidos";624
"150520 Oeiras do Pará";302
"150530 Oriximiná";885
"150540 Ourém";25
"150543 Ourilândia do Norte";338
"150548 Pacajá";681
"150549 Palestina do Pará";23
"150550 Paragominas";1069
"150553 Parauapebas";1180
"150555 Pau D'Arco";35
"150560 Peixe-Boi";4
"150563 Piçarra";40
"150565 Placas";431
"150580 Portel";1446
"150590 Porto de Moz";184
"150600 Prainha";578
"150610 Primavera";28
"150611 Quatipuru";3
"150613 Redenção";259
"150616 Rio Maria";112
"150618 Rondon do Pará";594
"150619 Rurópolis";544
"150620 Salinópolis";31
"150630 Salvaterra";11
"150635 Santa Bárbara do Pará";3
"150650 Santa Izabel do Pará";21
"150655 Santa Luzia do Pará";91
"150658 Santa Maria das Barreiras";67
"150660 Santa Maria do Pará";69
"150670 Santana do Araguaia";135
"150680 Santarém";1446
"150690 Santarém Novo";8
"150700 Santo Antônio do Tauá";23
"150710 São Caetano de Odivelas";16
"150715 São Domingos do Araguaia";177
"150720 São Domingos do Capim";56
"150730 São Félix do Xingu";661
"150740 São Francisco do Pará";43
"150745 São Geraldo do Araguaia";182
"150746 São João da Ponta";7
"150747 São João de Pirabas";20
"150750 São João do Araguaia";140
"150760 São Miguel do Guamá";41
"150770 São Sebastião da Boa Vista";27
"150775 Sapucaia";11
"150780 Senador José Porfírio";350
"150790 Soure";5
"150795 Tailândia";1079
"150796 Terra Alta";25
"150797 Terra Santa";91
"150800 Tomé-Açu";1038
"150803 Tracuateua";59
"150805 Trairão";328
"150808 Tucumã";380
"150810 Tucuruí";483
"150812 Ulianópolis";665
"150815 Uruará";1564
"150820 Vigia";18
"150830 Viseu";342
"150835 Vitória do Xingu";266
"150840 Xinguara";127
"160010 Amapá";87
"160020 Calçoene";885
"160021 Cutias";9
"160023 Ferreira Gomes";68
"160025 Itaubal";6
"160027 Laranjal do Jari";1463
"160030 Macapá";537
"160040 Mazagão";416
"160050 Oiapoque";1399
"160015 Pedra Branca do Amapari";892
"160053 Porto Grande";903
"160055 Pracuúba";35
"160060 Santana";251
"160005 Serra do Navio";712
"160070 Tartarugalzinho";386
"160080 Vitória do Jari";188
"170025 Abreulândia";51
"170030 Aguiarnópolis";12
"170035 Aliança do Tocantins";5
"170040 Almas";34
"170070 Alvorada";12
"170100 Ananás";94
"170105 Angico";12
"170110 Aparecida do Rio Negro";41
"170130 Aragominas";8
"170190 Araguacema";115
"170200 Araguaçu";46
"170210 Araguaína";261
"170215 Araguanã";19
"170220 Araguatins";59
"170230 Arapoema";17
"170240 Arraias";12
"170255 Augustinópolis";21
"170270 Aurora do Tocantins";63
"170290 Axixá do Tocantins";31
"170300 Babaçulândia";14
"170305 Bandeirantes do Tocantins";5
"170307 Barra do Ouro";9
"170310 Barrolândia";17
"170320 Bernardo Sayão";10
"170330 Bom Jesus do Tocantins";21
"170360 Brasilândia do Tocantins";21
"170370 Brejinho de Nazaré";44
"170380 Buriti do Tocantins";14
"170382 Cachoeirinha";26
"170384 Campos Lindos";10
"170386 Cariri do Tocantins";1
"170388 Carmolândia";7
"170389 Carrasco Bonito";8
"170390 Caseara";43
"170410 Centenário";35
"170510 Chapada da Natividade";7
"170460 Chapada de Areia";8
"170550 Colinas do Tocantins";71
"171670 Colméia";24
"170555 Combinado";33
"170560 Conceição do Tocantins";3
"170600 Couto Magalhães";41
"170610 Cristalândia";54
"170625 Crixás do Tocantins";4
"170650 Darcinópolis";18
"170700 Dianópolis";105
"170710 Divinópolis do Tocantins";50
"170720 Dois Irmãos do Tocantins";77
"170730 Dueré";15
"170740 Esperantina";35
"170755 Fátima";18
"170765 Figueirópolis";9
"170770 Filadélfia";21
"170820 Formoso do Araguaia";33
"170825 Fortaleza do Tabocão";17
"170830 Goianorte";31
"170900 Goiatins";61
"170930 Guaraí";111
"170950 Gurupi";71
"170980 Ipueiras";11
"171050 Itacajá";67
"171070 Itaguatins";3
"171090 Itapiratins";13
"171110 Itaporã do Tocantins";21
"171150 Jaú do Tocantins";21
"171180 Juarina";5
"171190 Lagoa da Confusão";36
"171195 Lagoa do Tocantins";6
"171200 Lajeado";38
"171215 Lavandeira";37
"171240 Lizarda";5
"171245 Luzinópolis";25
"171250 Marianópolis do Tocantins";68
"171270 Mateiros";10
"171280 Maurilândia do Tocantins";23
"171320 Miracema do Tocantins";76
"171330 Miranorte";39
"171360 Monte do Carmo";144
"171370 Monte Santo do Tocantins";24
"171395 Muricilândia";11
"171420 Natividade";16
"171430 Nazaré";9
"171488 Nova Olinda";29
"171500 Nova Rosalândia";11
"171510 Novo Acordo";10
"171515 Novo Alegre";24
"171525 Novo Jardim";29
"171550 Oliveira de Fátima";8
"172100 Palmas";476
"171570 Palmeirante";8
"171380 Palmeiras do Tocantins";12
"171575 Palmeirópolis";48
"171610 Paraíso do Tocantins";106
"171620 Paranã";10
"171630 Pau D'Arco";14
"171650 Pedro Afonso";60
"171660 Peixe";13
"171665 Pequizeiro";6
"171700 Pindorama do Tocantins";51
"171720 Piraquê";23
"171750 Pium";68
"171780 Ponte Alta do Bom Jesus";12
"171790 Ponte Alta do Tocantins";186
"171800 Porto Alegre do Tocantins";16
"171820 Porto Nacional";192
"171830 Praia Norte";8
"171840 Presidente Kennedy";20
"171845 Pugmil";4
"171850 Recursolândia";72
"171855 Riachinho";37
"171865 Rio da Conceição";19
"171870 Rio dos Bois";16
"171875 Rio Sono";26
"171880 Sampaio";2
"171884 Sandolândia";48
