2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Em Branco/ign";"Total"
"110001 ALTA FLORESTA D'OESTE";14;14
"110002 ARIQUEMES";96;96
"110004 CACOAL";75;75
"110005 CEREJEIRAS";5;5
"110006 COLORADO DO OESTE";4;4
"110008 COSTA MARQUES";2;2
"110009 ESPIGAO D'OESTE";15;15
"110010 GUAJARA-MIRIM";20;20
"110011 JARU";47;47
"110012 JI-PARANA";57;57
"110013 MACHADINHO D'OESTE";29;29
"110014 NOVA BRASILANDIA D'OESTE";12;12
"110015 OURO PRETO DO OESTE";11;11
"110018 PIMENTA BUENO";3;3
"110020 PORTO VELHO";571;571
"110025 PRESIDENTE MEDICI";15;15
"110026 RIO CRESPO";2;2
"110028 ROLIM DE MOURA";16;16
"110029 SANTA LUZIA D'OESTE";4;4
"110030 VILHENA";74;74
"110032 SAO MIGUEL DO GUAPORE";8;8
"110033 NOVA MAMORE";20;20
"110034 ALVORADA D'OESTE";2;2
"110037 ALTO ALEGRE DOS PARECIS";1;1
"110040 ALTO PARAISO";1;1
"110045 BURITIS";46;46
"110070 CAMPO NOVO DE RONDONIA";5;5
"110080 CANDEIAS DO JAMARI";15;15
"110092 CHUPINGUAIA";2;2
"110094 CUJUBIM";15;15
"110100 GOVERNADOR JORGE TEIXEIRA";5;5
"110110 ITAPUA DO OESTE";4;4
"110140 MONTE NEGRO";8;8
"110145 PARECIS";2;2
"110146 PIMENTEIRAS DO OESTE";2;2
"110149 SAO FRANCISCO DO GUAPORE";16;16
"110155 TEIXEIROPOLIS";1;1
"110160 THEOBROMA";3;3
"110170 URUPA";2;2
"110175 VALE DO ANARI";1;1
"110180 VALE DO PARAISO";1;1
"120001 ACRELANDIA";5;5
"120005 ASSIS BRASIL";2;2
"120010 BRASILEIA";84;84
"120013 BUJARI";20;20
"120020 CRUZEIRO DO SUL";60;60
"120025 EPITACIOLANDIA";16;16
"120030 FEIJO";3;3
"120032 JORDAO";5;5
"120033 MANCIO LIMA";5;5
"120034 MANOEL URBANO";2;2
"120035 MARECHAL THAUMATURGO";7;7
"120038 PLACIDO DE CASTRO";16;16
"120039 PORTO WALTER";10;10
"120040 RIO BRANCO";497;497
"120042 RODRIGUES ALVES";5;5
"120043 SANTA ROSA DO PURUS";18;18
"120045 SENADOR GUIOMARD";10;10
"120050 SENA MADUREIRA";17;17
"120060 TARAUACA";49;49
"120070 XAPURI";14;14
"120080 PORTO ACRE";9;9
"130002 ALVARAES";3;3
"130006 AMATURA";6;6
"130008 ANAMA";1;1
"130010 ANORI";5;5
"130014 APUI";4;4
"130020 ATALAIA DO NORTE";3;3
"130030 AUTAZES";7;7
"130040 BARCELOS";2;2
"130050 BARREIRINHA";3;3
"130060 BENJAMIN CONSTANT";21;21
"130063 BERURI";11;11
"130070 BOCA DO ACRE";6;6
"130080 BORBA";14;14
"130083 CAAPIRANGA";2;2
"130090 CANUTAMA";5;5
"130100 CARAUARI";34;34
"130110 CAREIRO";16;16
"130115 CAREIRO DA VARZEA";1;1
"130120 COARI";59;59
"130140 EIRUNEPE";12;12
"130150 ENVIRA";54;54
"130160 FONTE BOA";3;3
"130165 GUAJARA";7;7
"130170 HUMAITA";12;12
"130180 IPIXUNA";7;7
"130185 IRANDUBA";17;17
"130190 ITACOATIARA";21;21
"130195 ITAMARATI";4;4
"130200 ITAPIRANGA";5;5
"130210 JAPURA";13;13
"130230 JUTAI";12;12
"130240 LABREA";13;13
"130250 MANACAPURU";44;44
"130255 MANAQUIRI";4;4
"130260 MANAUS";1590;1590
"130270 MANICORE";29;29
"130280 MARAA";11;11
"130290 MAUES";6;6
"130300 NHAMUNDA";4;4
"130310 NOVA OLINDA DO NORTE";7;7
"130320 NOVO AIRAO";11;11
"130330 NOVO ARIPUANA";2;2
"130340 PARINTINS";72;72
"130350 PAUINI";11;11
"130353 PRESIDENTE FIGUEIREDO";9;9
"130356 RIO PRETO DA EVA";22;22
"130360 SANTA ISABEL DO RIO NEGRO";4;4
"130370 SANTO ANTONIO DO ICA";3;3
"130380 SAO GABRIEL DA CACHOEIRA";11;11
"130390 SAO PAULO DE OLIVENCA";4;4
"130395 SAO SEBASTIAO DO UATUMA";2;2
"130400 SILVES";3;3
"130406 TABATINGA";14;14
"130410 TAPAUA";11;11
"130420 TEFE";17;17
"130423 TONANTINS";3;3
"130430 URUCARA";1;1
"130440 URUCURITUBA";9;9
"140002 AMAJARI";2;2
"140010 BOA VISTA";313;313
"140015 BONFIM";1;1
"140017 CANTA";5;5
"140020 CARACARAI";20;20
"140023 CAROEBE";3;3
"140028 IRACEMA";5;5
"140030 MUCAJAI";25;25
"140040 NORMANDIA";2;2
"140045 PACARAIMA";29;29
"140047 RORAINOPOLIS";17;17
"140050 SAO JOAO DA BALIZA";2;2
"140060 SAO LUIZ";7;7
"150010 ABAETETUBA";55;55
"150013 ABEL FIGUEIREDO";3;3
"150020 ACARA";9;9
"150030 AFUA";6;6
"150034 AGUA AZUL DO NORTE";5;5
"150040 ALENQUER";2;2
"150060 ALTAMIRA";62;62
"150070 ANAJAS";11;11
"150080 ANANINDEUA";127;127
"150085 ANAPU";3;3
"150090 AUGUSTO CORREA";4;4
"150095 AURORA DO PARA";10;10
"150100 AVEIRO";3;3
"150110 BAGRE";1;1
"150120 BAIAO";10;10
"150125 BANNACH";5;5
"150130 BARCARENA";32;32
"150140 BELEM";363;363
"150145 BELTERRA";2;2
"150150 BENEVIDES";37;37
"150170 BRAGANCA";55;55
"150172 BRASIL NOVO";11;11
"150178 BREU BRANCO";17;17
"150180 BREVES";7;7
"150190 BUJARU";9;9
"150195 CACHOEIRA DO PIRIA";6;6
"150210 CAMETA";34;34
"150215 CANAA DOS CARAJAS";11;11
"150220 CAPANEMA";59;59
"150230 CAPITAO POCO";21;21
"150240 CASTANHAL";107;107
"150250 CHAVES";5;5
"150260 COLARES";1;1
"150270 CONCEICAO DO ARAGUAIA";2;2
"150275 CONCORDIA DO PARA";3;3
"150276 CUMARU DO NORTE";3;3
"150277 CURIONOPOLIS";9;9
"150280 CURRALINHO";5;5
"150285 CURUA";4;4
"150290 CURUCA";1;1
"150293 DOM ELISEU";4;4
"150295 ELDORADO DOS CARAJAS";9;9
"150300 FARO";5;5
"150304 FLORESTA DO ARAGUAIA";1;1
"150307 GARRAFAO DO NORTE";8;8
"150309 GOIANESIA DO PARA";3;3
"150320 IGARAPE-ACU";1;1
"150330 IGARAPE-MIRI";15;15
"150345 IPIXUNA DO PARA";25;25
"150350 IRITUIA";6;6
"150360 ITAITUBA";57;57
"150370 ITUPIRANGA";10;10
"150375 JACAREACANGA";8;8
"150380 JACUNDA";22;22
"150390 JURUTI";31;31
"150400 LIMOEIRO DO AJURU";25;25
"150410 MAGALHAES BARATA";5;5
"150420 MARABA";237;237
"150430 MARACANA";2;2
"150440 MARAPANIM";3;3
"150442 MARITUBA";20;20
"150445 MEDICILANDIA";11;11
"150450 MELGACO";1;1
"150460 MOCAJUBA";5;5
"150470 MOJU";16;16
"150475 MOJUI DOS CAMPOS";2;2
"150480 MONTE ALEGRE";3;3
"150495 NOVA ESPERANCA DO PIRIA";2;2
"150497 NOVA IPIXUNA";1;1
"150500 NOVA TIMBOTEUA";1;1
"150503 NOVO PROGRESSO";5;5
"150506 NOVO REPARTIMENTO";33;33
"150510 OBIDOS";2;2
"150520 OEIRAS DO PARA";8;8
"150530 ORIXIMINA";1;1
"150540 OUREM";5;5
"150543 OURILANDIA DO NORTE";8;8
"150548 PACAJA";11;11
"150549 PALESTINA DO PARA";3;3
"150550 PARAGOMINAS";39;39
"150553 PARAUAPEBAS";140;140
"150560 PEIXE-BOI";1;1
"150570 PONTA DE PEDRAS";8;8
"150580 PORTEL";1;1
"150590 PORTO DE MOZ";4;4
"150600 PRAINHA";9;9
"150610 PRIMAVERA";3;3
"150611 QUATIPURU";7;7
"150613 REDENCAO";14;14
"150616 RIO MARIA";3;3
"150618 RONDON DO PARA";1;1
"150619 RUROPOLIS";14;14
"150620 SALINOPOLIS";41;41
"150630 SALVATERRA";8;8
"150635 SANTA BARBARA DO PARA";5;5
"150640 SANTA CRUZ DO ARARI";1;1
"150655 SANTA LUZIA DO PARA";7;7
"150660 SANTA MARIA DO PARA";1;1
"150670 SANTANA DO ARAGUAIA";53;53
"150680 SANTAREM";158;158
"150690 SANTAREM NOVO";1;1
"150715 SAO DOMINGOS DO ARAGUAIA";5;5
"150720 SAO DOMINGOS DO CAPIM";4;4
"150730 SAO FELIX DO XINGU";61;61
"150740 SAO FRANCISCO DO PARA";1;1
"150745 SAO GERALDO DO ARAGUAIA";8;8
"150746 SAO JOAO DA PONTA";1;1
"150747 SAO JOAO DE PIRABAS";16;16
"150750 SAO JOAO DO ARAGUAIA";4;4
"150760 SAO MIGUEL DO GUAMA";14;14
"150770 SAO SEBASTIAO DA BOA VISTA";11;11
"150790 SOURE";1;1
"150795 TAILANDIA";30;30
"150797 TERRA SANTA";18;18
"150800 TOME-ACU";15;15
"150803 TRACUATEUA";8;8
"150805 TRAIRAO";5;5
"150808 TUCUMA";14;14
"150810 TUCURUI";32;32
"150812 ULIANOPOLIS";2;2
"150815 URUARA";2;2
"150820 VIGIA";21;21
"150830 VISEU";5;5
"150835 VITORIA DO XINGU";8;8
"150840 XINGUARA";24;24
"160010 AMAPA";2;2
"160015 PEDRA BRANCA DO AMAPARI";5;5
"160020 CALCOENE";2;2
"160021 CUTIAS";2;2
"160023 FERREIRA GOMES";1;1
"160027 LARANJAL DO JARI";22;22
"160030 MACAPA";419;419
"160040 MAZAGAO";1;1
"160050 OIAPOQUE";10;10
"160053 PORTO GRANDE";3;3
"160060 SANTANA";40;40
"160070 TARTARUGALZINHO";16;16
"170030 AGUIARNOPOLIS";3;3
"170035 ALIANCA DO TOCANTINS";1;1
"170070 ALVORADA";1;1
"170100 ANANAS";7;7
"170105 ANGICO";2;2
"170130 ARAGOMINAS";3;3
"170200 ARAGUACU";1;1
"170210 ARAGUAINA";150;150
"170220 ARAGUATINS";11;11
"170230 ARAPOEMA";5;5
"170240 ARRAIAS";1;1
"170255 AUGUSTINOPOLIS";42;42
"170300 BABACULANDIA";3;3
"170310 BARROLANDIA";3;3
"170330 BOM JESUS DO TOCANTINS";4;4
"170380 BURITI DO TOCANTINS";3;3
"170386 CARIRI DO TOCANTINS";1;1
"170389 CARRASCO BONITO";8;8
"170390 CASEARA";1;1
"170410 CENTENARIO";1;1
"170510 CHAPADA DA NATIVIDADE";3;3
