2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/pfabr.def
Acute Flaccid Paralysis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110002 ARIQUEMES";-;-;-;-;1;-;-;1;-;-;-;-;2
"110004 CACOAL";1;-;-;-;-;1;-;1;-;1;-;-;4
"110010 GUAJARA-MIRIM";-;1;-;-;-;-;-;-;-;-;1;-;2
"110011 JARU";-;-;-;-;-;1;-;1;-;-;-;-;2
"110012 JI-PARANA";-;-;-;-;1;-;-;-;-;-;-;-;1
"110020 PORTO VELHO";1;-;-;-;-;1;1;1;-;-;-;-;4
"110028 ROLIM DE MOURA";-;-;-;-;-;-;-;-;-;-;1;-;1
"110030 VILHENA";-;-;-;-;-;1;-;1;-;-;-;-;2
"110045 BURITIS";-;-;-;-;-;-;-;-;1;-;-;-;1
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;-;-;1;-;-;-;1
"110130 MIRANTE DA SERRA";1;-;-;-;-;-;-;-;-;-;-;-;1
"120013 BUJARI";-;-;-;-;1;-;-;-;-;-;-;-;1
"120040 RIO BRANCO";-;-;1;-;-;-;-;-;-;-;-;-;1
"120080 PORTO ACRE";-;-;1;-;-;-;-;-;-;-;-;-;1
"130008 ANAMA";-;-;-;-;-;-;-;-;-;-;-;1;1
"130010 ANORI";-;-;-;-;-;-;-;1;-;-;-;-;1
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-;-;1;-;1
"130063 BERURI";-;-;-;-;-;-;-;-;2;-;-;-;2
"130080 BORBA";-;-;-;-;-;1;-;-;-;-;-;-;1
"130110 CAREIRO";-;-;-;-;-;1;-;-;-;-;-;-;1
"130120 COARI";-;-;1;-;1;-;-;-;-;-;-;-;2
"130160 FONTE BOA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130185 IRANDUBA";-;-;-;-;-;1;-;-;-;-;1;-;2
"130220 JURUA";-;-;-;-;-;-;-;-;-;2;-;-;2
"130250 MANACAPURU";-;1;-;-;-;-;-;-;-;-;-;-;1
"130255 MANAQUIRI";-;-;-;-;-;1;-;-;-;-;-;-;1
"130260 MANAUS";7;3;3;2;4;2;4;3;2;2;3;3;38
"130270 MANICORE";-;-;-;-;-;-;-;-;-;-;-;1;1
"130330 NOVO ARIPUANA";-;-;1;-;-;-;-;-;-;-;-;-;1
"130340 PARINTINS";-;-;-;-;-;1;-;1;-;-;-;-;2
"130370 SANTO ANTONIO DO ICA";-;-;1;-;-;-;-;-;-;-;-;-;1
"130380 SAO GABRIEL DA CACHOEIRA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130400 SILVES";-;-;-;-;-;1;-;-;-;-;-;-;1
"130420 TEFE";1;-;-;-;1;-;-;-;-;-;-;-;2
"130423 TONANTINS";-;-;-;1;-;-;-;-;-;-;-;-;1
"140010 BOA VISTA";-;-;1;-;-;-;-;-;1;-;-;1;3
"150040 ALENQUER";-;-;-;-;-;-;-;-;-;-;-;1;1
"150070 ANAJAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"150080 ANANINDEUA";-;-;-;-;-;1;-;-;-;-;1;-;2
"150130 BARCARENA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150140 BELEM";-;1;1;2;1;-;2;-;-;2;-;1;10
"150150 BENEVIDES";-;-;-;-;-;-;-;1;-;-;-;-;1
"150170 BRAGANCA";2;-;-;-;-;-;-;-;-;-;-;-;2
"150240 CASTANHAL";-;2;-;-;-;-;-;-;-;-;-;-;2
"150270 CONCEICAO DO ARAGUAIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"150360 ITAITUBA";1;-;-;-;-;-;-;-;-;-;-;-;1
"150442 MARITUBA";-;-;1;-;-;-;-;-;-;1;-;-;2
"150470 MOJU";-;-;-;-;1;-;-;-;-;-;-;-;1
"150600 PRAINHA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150619 RUROPOLIS";-;-;-;-;-;1;-;-;-;-;-;-;1
"150680 SANTAREM";-;-;-;1;-;-;-;2;-;-;-;-;3
"150800 TOME-ACU";1;-;-;-;-;-;-;-;-;-;-;-;1
"150810 TUCURUI";-;-;-;-;-;-;-;1;-;-;-;-;1
"150812 ULIANOPOLIS";-;-;-;-;1;-;-;-;-;-;-;-;1
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;-;-;-;1;-;-;-;-;-;1
"160030 MACAPA";-;-;-;-;1;-;-;-;-;-;-;-;1
