2008
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/varicelabr.def
Chickenpox
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";5;-;1;5;1;6;6;11;46;41;9;6;137
"110002 ARIQUEMES";-;1;-;1;3;-;-;2;1;1;3;1;13
"110003 CABIXI";-;-;-;-;-;-;3;1;1;3;1;-;9
"110004 CACOAL";1;1;-;-;1;2;-;3;2;3;1;1;15
"110005 CEREJEIRAS";-;-;-;-;1;-;1;1;-;-;-;-;3
"110006 COLORADO DO OESTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"110007 CORUMBIARA";1;-;-;-;-;-;1;-;-;-;1;-;3
"110008 COSTA MARQUES";-;-;-;-;1;-;1;-;-;-;-;-;2
"110009 ESPIGAO D'OESTE";1;-;-;-;-;-;1;-;4;4;-;1;11
"110010 GUAJARA-MIRIM";-;3;-;-;1;3;4;3;21;15;2;9;61
"110011 JARU";2;1;1;-;2;1;3;8;23;12;2;3;58
"110012 JI-PARANA";23;6;6;5;6;6;14;9;7;8;6;4;100
"110013 MACHADINHO D'OESTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"110014 NOVA BRASILANDIA D'OESTE";1;-;1;-;-;-;-;-;-;-;-;-;2
"110015 OURO PRETO DO OESTE";2;2;1;-;-;1;6;2;3;9;2;5;33
"110018 PIMENTA BUENO";-;-;2;-;-;1;4;3;1;2;-;-;13
"110020 PORTO VELHO";25;6;20;10;23;24;84;89;152;52;58;44;587
"110025 PRESIDENTE MEDICI";1;-;-;-;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";2;-;1;-;5;4;4;1;25;9;12;11;74
"110029 SANTA LUZIA D'OESTE";-;-;-;-;-;2;-;-;-;-;-;-;2
"110030 VILHENA";8;9;6;8;10;17;56;119;178;108;55;27;601
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;-;-;-;-;1;1;-;2
"110033 NOVA MAMORE";1;-;-;-;-;1;-;-;4;-;-;-;6
"110034 ALVORADA D'OESTE";1;-;-;-;-;-;1;1;42;12;1;1;59
"110037 ALTO ALEGRE DOS PARECIS";-;3;-;-;-;6;-;11;19;5;10;-;54
"110040 ALTO PARAISO";-;-;1;-;-;-;1;1;-;-;-;-;3
"110045 BURITIS";-;-;-;-;-;-;1;1;1;-;-;-;3
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;-;-;1;-;1;1;3
"110060 CACAULANDIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"110070 CAMPO NOVO DE RONDONIA";1;-;-;-;-;-;-;-;1;-;-;-;2
"110080 CANDEIAS DO JAMARI";-;1;2;4;-;2;4;5;6;-;2;3;29
"110090 CASTANHEIRAS";-;1;1;-;-;-;-;1;-;1;-;-;4
"110092 CHUPINGUAIA";-;-;-;-;-;-;1;1;1;1;-;-;4
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;2;-;-;1;1;-;4
"110110 ITAPUA DO OESTE";-;-;-;1;-;-;-;-;5;1;1;2;10
"110120 MINISTRO ANDREAZZA";-;1;-;-;-;-;-;-;-;1;-;-;2
"110130 MIRANTE DA SERRA";-;1;-;-;-;-;-;-;-;-;-;-;1
"110140 MONTE NEGRO";-;-;-;-;1;-;-;1;-;-;2;-;4
"110143 NOVA UNIAO";-;-;-;-;1;6;9;1;-;-;-;-;17
"110146 PIMENTEIRAS DO OESTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"110148 SAO FELIPE D'OESTE";-;1;-;-;-;-;-;-;-;-;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;-;-;-;2;-;-;-;2
"110150 SERINGUEIRAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"110160 THEOBROMA";-;-;-;-;-;-;-;-;1;-;-;-;1
"110170 URUPA";1;-;-;-;-;-;-;-;-;-;-;-;1
"110175 VALE DO ANARI";-;-;-;-;-;-;-;-;2;-;-;-;2
"110180 VALE DO PARAISO";1;-;-;2;2;1;-;1;1;2;3;-;13
"120001 ACRELANDIA";-;-;-;-;1;-;-;-;-;1;-;-;2
"120005 ASSIS BRASIL";-;-;-;-;1;-;-;-;-;-;-;-;1
"120010 BRASILEIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"120013 BUJARI";-;-;-;-;-;-;-;-;-;6;-;-;6
"120017 CAPIXABA";-;-;-;-;-;2;-;-;-;1;-;-;3
"120020 CRUZEIRO DO SUL";-;-;-;-;-;-;2;2;-;1;1;1;7
"120025 EPITACIOLANDIA";-;1;-;-;-;-;1;1;2;1;2;-;8
"120030 FEIJO";-;-;-;-;-;1;-;-;-;-;-;-;1
"120032 JORDAO";-;-;-;3;-;1;-;-;-;-;-;-;4
"120033 MANCIO LIMA";1;1;-;-;-;-;-;3;1;1;3;-;10
"120034 MANOEL URBANO";1;2;1;-;-;-;4;3;3;8;4;-;26
"120035 MARECHAL THAUMATURGO";1;-;-;-;-;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;-;3;-;-;1;-;-;-;-;2;1;7
"120039 PORTO WALTER";1;-;1;-;2;1;-;-;-;-;-;2;7
"120040 RIO BRANCO";5;2;2;2;2;4;2;2;1;4;2;1;29
"120042 RODRIGUES ALVES";3;2;-;9;8;1;2;6;4;5;4;2;46
"120043 SANTA ROSA DO PURUS";3;-;-;-;-;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";-;-;-;-;-;-;1;1;1;2;-;-;5
"120050 SENA MADUREIRA";-;-;-;-;-;-;-;-;8;1;5;6;20
"120060 TARAUACA";4;1;-;1;1;1;2;6;1;4;9;-;30
"120070 XAPURI";3;-;-;-;-;2;3;-;-;-;2;3;13
"120080 PORTO ACRE";1;-;1;1;-;1;-;6;1;4;1;2;18
"130002 ALVARAES";1;1;1;1;43;47;31;8;5;8;3;-;149
"130006 AMATURA";-;-;-;4;-;-;-;-;-;1;-;-;5
"130008 ANAMA";-;-;-;-;-;-;-;-;-;1;2;1;4
"130010 ANORI";-;2;1;2;2;1;-;-;-;1;-;-;9
"130014 APUI";1;-;-;-;-;-;-;1;-;-;-;-;2
"130020 ATALAIA DO NORTE";1;-;3;1;14;3;5;1;16;10;8;3;65
"130030 AUTAZES";1;-;2;1;-;4;4;24;7;28;10;7;88
"130040 BARCELOS";5;2;6;1;2;-;1;6;8;7;6;7;51
"130050 BARREIRINHA";1;-;1;2;10;9;13;11;2;1;1;-;51
"130060 BENJAMIN CONSTANT";5;11;1;14;19;11;12;24;13;11;15;16;152
"130063 BERURI";2;-;-;-;-;-;-;2;1;4;-;4;13
"130068 BOA VISTA DO RAMOS";-;-;-;-;-;-;3;13;4;5;-;-;25
"130080 BORBA";3;1;-;3;3;7;6;5;5;3;1;-;37
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;-;-;1;-;1
"130100 CARAUARI";-;-;-;-;-;-;1;-;1;1;-;-;3
"130110 CAREIRO";-;-;-;1;-;-;1;-;-;3;2;-;7
"130115 CAREIRO DA VARZEA";1;1;-;3;12;7;3;13;6;1;-;2;49
"130120 COARI";1;-;1;-;2;2;4;7;1;-;-;1;19
"130130 CODAJAS";-;-;-;-;-;-;-;1;-;1;1;-;3
"130140 EIRUNEPE";20;9;-;2;5;26;31;49;17;18;9;1;187
"130150 ENVIRA";1;-;-;1;1;1;1;-;-;1;-;1;7
"130160 FONTE BOA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130170 HUMAITA";27;12;16;31;53;56;47;52;70;50;72;28;514
"130180 IPIXUNA";-;-;-;-;-;-;-;-;-;-;1;-;1
"130185 IRANDUBA";17;10;10;19;18;41;42;65;86;48;38;21;415
"130190 ITACOATIARA";-;2;-;4;1;3;3;5;4;1;-;4;27
"130195 ITAMARATI";-;-;-;-;-;-;1;-;-;-;1;-;2
"130200 ITAPIRANGA";-;1;-;-;-;-;-;-;-;2;-;-;3
"130210 JAPURA";-;-;-;-;-;-;-;3;-;-;-;-;3
"130220 JURUA";-;-;-;1;-;-;-;-;1;-;-;-;2
"130230 JUTAI";1;-;-;-;-;-;-;4;-;3;5;1;14
"130240 LABREA";-;-;-;-;1;-;-;-;-;-;-;-;1
"130250 MANACAPURU";42;27;34;39;34;45;54;77;76;62;49;46;585
"130255 MANAQUIRI";25;12;20;34;48;171;73;83;41;27;22;22;578
"130260 MANAUS";1790;1326;1976;2600;3660;3835;3935;4376;4621;4795;4048;2420;39382
"130270 MANICORE";2;-;-;-;1;-;1;-;2;-;-;5;11
"130280 MARAA";-;1;-;2;6;8;23;5;2;6;6;2;61
"130290 MAUES";1;-;1;3;1;-;-;3;1;1;2;-;13
"130300 NHAMUNDA";-;-;4;5;2;-;1;-;-;-;1;-;13
"130310 NOVA OLINDA DO NORTE";-;-;2;-;3;-;1;2;7;17;1;2;35
"130320 NOVO AIRAO";-;1;-;-;-;1;15;14;31;12;2;-;76
"130330 NOVO ARIPUANA";13;2;4;3;3;5;18;9;5;7;4;5;78
"130340 PARINTINS";32;43;35;37;51;36;111;115;92;111;95;31;789
"130353 PRESIDENTE FIGUEIREDO";25;17;6;14;35;55;91;96;148;101;58;21;667
"130356 RIO PRETO DA EVA";7;11;7;4;8;13;10;39;30;19;44;22;214
"130360 SANTA ISABEL DO RIO NEGRO";-;-;1;-;5;8;2;1;-;-;-;-;17
"130370 SANTO ANTONIO DO ICA";-;-;-;-;1;-;-;-;-;-;-;-;1
"130380 SAO GABRIEL DA CACHOEIRA";8;5;2;9;17;5;2;1;1;21;18;5;94
"130390 SAO PAULO DE OLIVENCA";-;2;5;-;-;3;1;1;2;-;-;3;17
"130400 SILVES";1;2;4;12;17;9;4;2;4;4;5;-;64
"130406 TABATINGA";8;8;8;14;20;27;31;49;46;30;23;20;284
"130410 TAPAUA";-;-;-;3;-;3;2;5;2;-;-;-;15
"130420 TEFE";29;48;37;39;66;109;88;126;181;179;82;43;1027
"130423 TONANTINS";-;-;-;-;-;-;-;-;-;6;1;-;7
"130426 UARINI";-;-;2;1;2;36;5;1;-;-;-;-;47
"130430 URUCARA";7;7;14;20;13;40;23;11;6;8;7;2;158
"130440 URUCURITUBA";12;2;4;6;26;19;19;18;20;19;10;1;156
"140002 AMAJARI";11;5;14;27;12;12;6;4;8;5;6;5;115
"140005 ALTO ALEGRE";6;22;9;8;4;4;17;9;24;11;16;18;148
"140010 BOA VISTA";443;390;499;638;917;951;886;881;959;1036;1025;690;9315
"140015 BONFIM";16;3;12;3;8;39;86;75;40;38;16;17;353
"140017 CANTA";10;12;28;11;30;16;19;28;22;17;25;14;232
"140020 CARACARAI";12;16;15;13;14;18;14;18;25;20;23;11;199
"140023 CAROEBE";-;-;1;4;3;5;5;14;22;4;1;-;59
"140028 IRACEMA";4;2;3;11;3;28;20;8;12;11;10;2;114
"140030 MUCAJAI";7;14;13;4;13;8;8;26;15;14;15;13;150
"140040 NORMANDIA";1;4;4;9;30;17;34;13;8;9;4;2;135
"140045 PACARAIMA";6;6;9;12;41;36;19;8;5;32;12;12;198
"140047 RORAINOPOLIS";11;5;22;54;41;44;31;55;83;80;48;30;504
"140050 SAO JOAO DA BALIZA";-;-;-;1;1;-;1;-;3;-;-;-;6
"140060 SAO LUIZ";4;3;3;2;1;-;-;1;4;2;9;6;35
"140070 UIRAMUTA";9;1;20;5;6;34;7;13;8;3;6;3;115
"150010 ABAETETUBA";-;1;1;2;1;1;-;8;1;-;6;1;22
"150020 ACARA";-;-;-;2;-;1;-;-;-;-;1;1;5
"150030 AFUA";-;-;-;-;-;1;1;1;-;2;1;-;6
"150034 AGUA AZUL DO NORTE";1;1;1;2;-;-;-;-;-;1;-;-;6
"150040 ALENQUER";1;-;-;-;2;-;-;1;-;3;-;-;7
"150050 ALMEIRIM";-;-;-;2;1;-;-;-;-;-;-;-;3
"150060 ALTAMIRA";5;-;1;-;1;-;2;1;-;1;-;3;14
"150070 ANAJAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"150080 ANANINDEUA";1;-;1;-;-;1;-;4;1;-;1;-;9
"150085 ANAPU";-;-;-;-;1;-;-;-;-;-;-;-;1
"150090 AUGUSTO CORREA";5;8;-;4;5;-;1;3;4;6;6;-;42
"150095 AURORA DO PARA";-;-;-;-;-;-;-;1;-;-;-;1;2
"150100 AVEIRO";-;-;-;-;1;-;-;-;-;-;-;-;1
"150120 BAIAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"150130 BARCARENA";5;-;2;-;3;6;-;1;9;-;11;1;38
"150140 BELEM";8;4;6;3;7;7;8;4;4;9;5;6;71
"150145 BELTERRA";-;-;-;-;-;-;1;-;1;-;-;-;2
"150150 BENEVIDES";-;1;-;1;-;1;-;1;-;1;3;-;8
"150157 BOM JESUS DO TOCANTINS";1;-;-;-;-;-;-;-;-;-;-;-;1
"150170 BRAGANCA";-;2;1;-;1;1;1;10;3;5;4;-;28
"150172 BRASIL NOVO";1;-;-;-;-;1;2;-;-;-;-;-;4
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150178 BREU BRANCO";-;-;-;-;-;-;-;1;1;-;-;-;2
"150180 BREVES";5;2;2;-;-;-;-;-;-;-;1;-;10
"150190 BUJARU";-;-;-;-;-;-;-;-;-;-;1;-;1
"150195 CACHOEIRA DO PIRIA";-;-;1;3;6;1;3;7;3;11;19;5;59
"150210 CAMETA";-;-;-;-;-;-;-;-;-;1;-;1;2
"150215 CANAA DOS CARAJAS";2;4;3;15;6;7;4;2;8;17;19;6;93
"150220 CAPANEMA";-;-;-;-;-;3;-;-;1;-;-;-;4
"150240 CASTANHAL";-;-;-;-;-;-;-;-;-;-;-;2;2
"150250 CHAVES";-;1;-;1;1;-;4;-;-;3;1;4;15
"150260 COLARES";-;-;-;-;-;-;3;3;4;-;-;-;10
"150270 CONCEICAO DO ARAGUAIA";15;4;3;3;5;5;2;4;14;13;20;15;103
"150276 CUMARU DO NORTE";1;-;-;-;-;-;4;2;8;5;3;1;24
"150277 CURIONOPOLIS";2;-;1;7;2;-;-;-;-;-;-;-;12
"150285 CURUA";-;-;-;-;-;-;-;8;18;3;-;-;29
"150290 CURUCA";1;5;-;-;-;-;-;-;-;-;1;2;9
"150293 DOM ELISEU";-;-;-;-;-;-;1;-;1;-;-;-;2
"150295 ELDORADO DOS CARAJAS";-;-;-;-;-;-;4;6;2;-;1;-;13
"150304 FLORESTA DO ARAGUAIA";1;-;-;-;-;-;-;-;-;3;3;-;7
"150307 GARRAFAO DO NORTE";-;-;2;-;-;-;-;-;-;-;-;-;2
"150309 GOIANESIA DO PARA";-;-;-;-;-;-;-;2;-;-;-;-;2
"150310 GURUPA";-;-;-;-;-;1;1;-;1;-;1;1;5
"150320 IGARAPE-ACU";1;1;-;-;-;-;-;-;-;1;5;9;17
"150330 IGARAPE-MIRI";1;-;-;-;-;-;1;-;1;-;-;-;3
"150340 INHANGAPI";1;-;-;-;-;1;-;-;2;-;-;1;5
"150345 IPIXUNA DO PARA";-;3;4;2;-;1;1;4;1;-;-;-;16
"150350 IRITUIA";6;4;3;6;1;16;9;3;9;1;4;1;63
"150360 ITAITUBA";-;2;3;-;-;-;2;3;1;1;2;-;14
"150370 ITUPIRANGA";-;-;1;-;-;-;-;2;-;-;-;-;3
"150375 JACAREACANGA";-;1;1;2;2;-;-;3;1;-;10;1;21
"150380 JACUNDA";-;-;1;-;-;-;-;-;1;-;1;-;3
"150390 JURUTI";-;-;1;10;5;7;5;3;6;1;1;-;39
"150400 LIMOEIRO DO AJURU";-;-;-;-;-;-;1;-;-;-;-;-;1
"150405 MAE DO RIO";-;-;2;2;2;1;1;-;3;-;-;-;11
"150410 MAGALHAES BARATA";-;1;-;-;-;-;-;-;-;-;-;-;1
"150420 MARABA";-;-;-;1;1;1;-;1;-;2;2;2;10
"150430 MARACANA";-;-;-;-;-;-;1;-;1;-;-;-;2
"150440 MARAPANIM";-;1;1;-;-;-;1;4;-;1;5;-;13
"150442 MARITUBA";-;-;1;-;2;4;1;-;-;-;2;-;10
"150445 MEDICILANDIA";-;-;-;-;-;-;-;2;-;2;-;-;4
"150450 MELGACO";-;-;1;-;-;1;2;2;5;1;1;1;14
"150460 MOCAJUBA";1;-;2;-;-;-;-;-;-;-;-;-;3
"150470 MOJU";1;-;1;-;-;-;-;-;1;-;1;-;4
"150475 MOJUI DOS CAMPOS";3;-;-;-;-;-;-;-;-;-;-;-;3
"150490 MUANA";3;6;4;5;1;3;-;5;4;1;7;1;40
"150495 NOVA ESPERANCA DO PIRIA";-;-;2;2;1;-;-;-;-;-;-;-;5
"150497 NOVA IPIXUNA";2;-;-;-;-;1;-;-;-;-;-;-;3
"150500 NOVA TIMBOTEUA";-;2;-;2;2;1;-;-;3;-;17;1;28
"150503 NOVO PROGRESSO";1;3;3;2;2;4;12;6;17;24;29;2;105
"150506 NOVO REPARTIMENTO";1;1;1;-;2;-;-;-;-;2;-;1;8
"150510 OBIDOS";1;-;-;-;-;-;-;2;2;2;1;-;8
"150520 OEIRAS DO PARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150530 ORIXIMINA";34;17;12;9;20;14;29;7;31;25;28;38;264
"150540 OUREM";-;2;-;1;-;2;-;-;-;-;-;-;5
"150543 OURILANDIA DO NORTE";1;-;-;-;-;1;-;-;1;3;3;-;9
"150548 PACAJA";1;-;-;-;-;-;-;-;-;-;1;-;2
"150550 PARAGOMINAS";6;7;26;21;18;14;5;8;19;9;3;8;144
"150553 PARAUAPEBAS";1;-;-;-;-;-;-;-;1;-;1;2;5
"150555 PAU D'ARCO";-;-;-;1;5;-;-;-;6;-;-;-;12
"150560 PEIXE-BOI";-;-;-;-;2;-;-;-;-;-;-;1;3
"150563 PICARRA";-;-;-;1;1;1;1;2;1;-;1;2;10
"150570 PONTA DE PEDRAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"150580 PORTEL";-;-;-;-;-;-;-;-;-;-;-;1;1
"150590 PORTO DE MOZ";-;-;-;-;-;-;-;-;-;1;1;-;2
"150600 PRAINHA";1;-;1;2;3;1;-;-;-;-;2;1;11
"150610 PRIMAVERA";1;1;-;1;2;-;1;-;-;-;-;-;6
"150611 QUATIPURU";-;-;-;-;-;-;-;-;-;-;2;-;2
"150613 REDENCAO";2;1;3;5;3;1;5;1;3;4;1;1;30
"150616 RIO MARIA";1;-;-;-;-;-;-;2;3;-;3;-;9
"150619 RUROPOLIS";-;-;4;-;13;2;1;1;3;4;4;-;32
"150620 SALINOPOLIS";-;4;3;2;1;2;2;4;1;3;1;6;29
"150635 SANTA BARBARA DO PARA";1;-;-;-;-;1;-;-;-;-;-;-;2
"150640 SANTA CRUZ DO ARARI";3;1;2;4;5;14;6;6;3;1;4;3;52
"150650 SANTA IZABEL DO PARA";-;-;4;-;-;-;1;2;3;-;-;-;10
"150655 SANTA LUZIA DO PARA";16;4;21;4;5;3;-;10;5;1;-;-;69
"150658 SANTA MARIA DAS BARREIRAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"150660 SANTA MARIA DO PARA";-;1;-;-;-;-;-;-;-;-;38;2;41
"150670 SANTANA DO ARAGUAIA";-;-;-;-;-;-;-;-;2;-;-;-;2
"150680 SANTAREM";3;1;1;-;1;1;2;14;6;4;2;1;36
"150710 SAO CAETANO DE ODIVELAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"150715 SAO DOMINGOS DO ARAGUAIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"150720 SAO DOMINGOS DO CAPIM";-;-;-;4;6;5;4;8;7;-;-;2;36
"150730 SAO FELIX DO XINGU";-;1;2;1;6;2;-;7;3;-;-;-;22
"150740 SAO FRANCISCO DO PARA";6;5;-;2;3;-;7;-;2;6;1;2;34
"150745 SAO GERALDO DO ARAGUAIA";-;-;-;-;-;1;-;1;-;2;1;1;6
"150746 SAO JOAO DA PONTA";-;-;18;10;1;-;-;-;1;-;-;-;30
"150747 SAO JOAO DE PIRABAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"150760 SAO MIGUEL DO GUAMA";-;-;1;-;-;1;-;-;-;-;-;-;2
"150775 SAPUCAIA";-;-;-;-;-;-;-;1;-;1;-;-;2
"150795 TAILANDIA";3;-;1;1;-;-;-;-;-;-;-;3;8
"150796 TERRA ALTA";1;-;1;-;-;-;-;-;1;-;-;-;3
"150797 TERRA SANTA";5;-;-;2;5;-;-;-;-;1;-;1;14
"150800 TOME-ACU";-;-;-;-;-;-;-;-;-;-;1;-;1
"150803 TRACUATEUA";-;-;-;1;-;-;-;-;-;-;3;4;8
"150808 TUCUMA";2;1;3;2;2;2;1;3;14;9;6;3;48
"150810 TUCURUI";18;8;22;6;35;16;20;34;37;45;44;17;302
"150812 ULIANOPOLIS";-;2;3;5;1;2;6;-;12;11;8;-;50
"150815 URUARA";-;-;-;-;-;1;1;-;-;1;1;-;4
"150820 VIGIA";-;-;-;-;-;-;-;3;-;-;4;1;8
"150830 VISEU";-;-;-;-;2;-;-;-;-;1;1;-;4
"150835 VITORIA DO XINGU";-;-;-;1;-;2;-;-;-;2;-;1;6
"150840 XINGUARA";-;1;-;-;-;2;-;3;-;1;-;2;9
"160005 SERRA DO NAVIO";1;-;-;-;-;-;-;-;-;-;-;-;1
"160010 AMAPA";-;-;-;-;-;-;-;-;-;-;-;1;1
"160015 PEDRA BRANCA DO AMAPARI";11;3;8;2;14;14;8;4;16;9;21;21;131
"160027 LARANJAL DO JARI";2;1;-;3;1;2;-;-;-;3;1;3;16
"160030 MACAPA";1;5;5;13;15;3;18;36;50;55;12;-;213
"160040 MAZAGAO";-;-;-;-;-;3;1;-;-;-;2;-;6
"160050 OIAPOQUE";-;-;-;-;-;6;-;-;2;-;-;-;8
"160053 PORTO GRANDE";-;1;-;-;-;-;-;-;-;-;-;-;1
"160060 SANTANA";-;-;1;-;2;2;3;3;1;1;1;1;15
"160070 TARTARUGALZINHO";-;-;1;-;-;-;-;-;-;-;-;15;16
"160080 VITORIA DO JARI";-;-;-;-;-;5;-;4;6;-;-;-;15
"170025 ABREULANDIA";2;1;-;4;4;2;1;10;19;40;8;2;93
"170030 AGUIARNOPOLIS";2;-;3;7;10;7;2;9;7;24;32;11;114
"170035 ALIANCA DO TOCANTINS";4;1;1;2;4;2;2;7;20;41;21;5;110
"170040 ALMAS";-;-;-;1;6;-;1;3;7;11;7;1;37
"170070 ALVORADA";1;-;-;1;-;2;4;9;19;18;7;1;62
"170100 ANANAS";17;4;7;4;11;12;15;7;19;13;15;5;129
"170105 ANGICO";2;1;3;6;1;-;2;6;5;5;3;8;42
"170110 APARECIDA DO RIO NEGRO";4;1;4;2;6;4;2;9;11;11;10;2;66
"170130 ARAGOMINAS";1;1;1;2;2;7;7;12;5;10;7;2;57
"170190 ARAGUACEMA";1;-;1;-;3;2;-;1;4;9;13;3;37
"170200 ARAGUACU";2;1;4;8;1;2;15;11;4;18;17;4;87
"170210 ARAGUAINA";160;118;126;155;141;135;184;262;402;485;330;225;2723
"170215 ARAGUANA";5;2;11;5;12;8;7;22;12;13;8;4;109
"170220 ARAGUATINS";13;3;5;5;8;8;4;6;12;10;13;9;96
"170230 ARAPOEMA";-;1;1;-;-;1;2;1;4;2;1;1;14
"170240 ARRAIAS";5;3;2;-;4;8;9;14;31;20;13;4;113
"170255 AUGUSTINOPOLIS";32;34;27;35;49;20;20;39;43;79;77;38;493
"170270 AURORA DO TOCANTINS";1;-;2;1;-;1;-;-;2;1;1;-;9
"170290 AXIXA DO TOCANTINS";14;1;3;3;3;3;3;5;11;12;11;7;76
"170300 BABACULANDIA";2;3;-;4;-;-;-;4;23;7;7;1;51
"170305 BANDEIRANTES DO TOCANTINS";2;-;-;1;3;-;-;-;1;5;8;3;23
"170307 BARRA DO OURO";3;1;1;-;1;-;1;3;7;6;8;3;34
"170310 BARROLANDIA";3;-;-;2;-;-;16;7;1;1;4;3;37
"170320 BERNARDO SAYAO";9;4;1;2;4;5;12;7;13;9;8;3;77
"170330 BOM JESUS DO TOCANTINS";3;-;-;3;-;4;4;5;11;22;13;2;67
"170360 BRASILANDIA DO TOCANTINS";-;2;2;4;-;1;-;5;46;38;1;-;99
"170370 BREJINHO DE NAZARE";4;1;3;1;3;1;2;3;14;20;6;3;61
"170380 BURITI DO TOCANTINS";13;4;5;2;5;3;4;9;14;21;8;3;91
"170382 CACHOEIRINHA";5;4;5;2;3;2;5;7;17;23;18;6;97
"170384 CAMPOS LINDOS";-;1;5;-;-;1;-;5;17;4;5;1;39
"170386 CARIRI DO TOCANTINS";-;-;-;-;-;1;1;1;3;3;3;6;18
"170388 CARMOLANDIA";-;2;2;6;4;3;12;3;8;9;10;2;61
"170389 CARRASCO BONITO";1;-;-;-;-;2;-;1;7;9;3;-;23
"170390 CASEARA";5;2;2;5;1;-;1;4;7;25;14;2;68
"170410 CENTENARIO";7;1;-;1;-;5;1;5;11;13;5;2;51
"170460 CHAPADA DE AREIA";-;-;-;-;16;7;2;3;2;2;3;3;38
"170510 CHAPADA DA NATIVIDADE";3;1;-;1;2;8;-;5;9;16;13;6;64
"170550 COLINAS DO TOCANTINS";7;3;6;2;4;9;7;19;38;21;12;6;134
"170555 COMBINADO";-;5;1;4;-;1;4;6;8;16;17;-;62
"170560 CONCEICAO DO TOCANTINS";-;3;-;1;-;-;-;1;4;26;23;3;61
"170600 COUTO MAGALHAES";2;1;-;2;3;1;3;1;7;7;15;4;46
"170610 CRISTALANDIA";1;-;-;-;2;-;-;2;3;4;1;1;14
"170625 CRIXAS DO TOCANTINS";1;2;1;2;5;5;13;8;7;15;6;-;65
"170650 DARCINOPOLIS";-;1;3;1;-;-;-;3;3;4;2;1;18
"170700 DIANOPOLIS";4;10;6;5;6;9;26;30;30;45;25;2;198
"170710 DIVINOPOLIS DO TOCANTINS";2;-;-;1;-;1;4;6;15;28;23;10;90
"170720 DOIS IRMAOS DO TOCANTINS";4;1;-;3;-;-;1;-;2;1;1;-;13
"170730 DUERE";5;4;2;1;13;14;14;16;33;44;12;3;161
"170740 ESPERANTINA";2;1;3;3;1;6;1;5;9;3;3;1;38
"170755 FATIMA";-;1;-;-;-;1;1;9;26;13;9;2;62
"170765 FIGUEIROPOLIS";-;1;-;-;-;1;2;13;9;4;1;1;32
