2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/varicelabr.def
Chickenpox
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"110002 ARIQUEMES";-;-;-;-;1;-;-;1
"110004 CACOAL";-;1;-;-;-;-;-;1
"120001 ACRELANDIA";-;-;-;-;1;-;-;1
"120005 ASSIS BRASIL";-;-;-;-;1;-;-;1
"120010 BRASILEIA";-;-;-;-;-;1;-;1
"120040 RIO BRANCO";1;1;-;-;2;-;-;4
"120060 TARAUACA";2;1;-;1;1;1;-;6
"120070 XAPURI";3;-;-;-;-;1;-;4
"130010 ANORI";-;1;-;-;-;-;-;1
"130040 BARCELOS";-;-;-;-;1;-;-;1
"130050 BARREIRINHA";-;-;-;-;-;1;1;2
"130060 BENJAMIN CONSTANT";-;-;-;-;1;-;-;1
"130230 JUTAI";1;-;-;-;-;-;-;1
"130250 MANACAPURU";-;-;-;-;-;1;-;1
"130260 MANAUS";5;2;8;9;10;4;9;47
"130290 MAUES";-;-;-;1;-;-;-;1
"130300 NHAMUNDA";-;-;1;-;-;-;-;1
"130310 NOVA OLINDA DO NORTE";-;-;1;-;1;-;-;2
"130340 PARINTINS";-;1;-;-;6;3;-;10
"130356 RIO PRETO DA EVA";2;-;-;-;1;-;-;3
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;-;-;2;2
"130400 SILVES";-;-;-;-;-;1;-;1
"140002 AMAJARI";-;-;-;-;-;1;-;1
"140010 BOA VISTA";5;2;2;18;19;12;16;74
"140015 BONFIM";1;-;-;-;-;1;-;2
"140017 CANTA";1;2;5;5;6;-;-;19
"140020 CARACARAI";1;2;1;1;1;2;-;8
"140045 PACARAIMA";-;1;2;7;13;10;4;37
"140060 SAO LUIZ";3;-;-;-;-;-;-;3
"150010 ABAETETUBA";-;-;-;-;1;-;-;1
"150030 AFUA";-;-;-;-;-;1;-;1
"150034 AGUA AZUL DO NORTE";-;-;-;1;-;-;-;1
"150130 BARCARENA";4;-;1;-;1;1;-;7
"150140 BELEM";-;-;1;-;2;-;-;3
"150150 BENEVIDES";-;1;-;-;-;-;-;1
"150180 BREVES";1;-;-;-;-;-;-;1
"150390 JURUTI";-;-;-;-;2;-;2;4
"150442 MARITUBA";-;-;-;-;-;1;-;1
"150475 MOJUI DOS CAMPOS";3;-;-;-;-;-;-;3
"150530 ORIXIMINA";-;1;-;1;-;1;-;3
"150540 OUREM";-;-;-;-;-;2;-;2
"150550 PARAGOMINAS";-;-;-;-;2;-;-;2
"150555 PAU D'ARCO";-;-;-;-;4;-;-;4
"150600 PRAINHA";-;-;-;-;1;-;-;1
"150613 REDENCAO";-;-;1;1;-;-;-;2
"150620 SALINOPOLIS";-;2;-;-;-;-;-;2
"150680 SANTAREM";1;1;1;-;1;-;1;5
"150730 SAO FELIX DO XINGU";-;-;2;-;6;2;-;10
"150808 TUCUMA";-;-;-;-;-;1;-;1
"150812 ULIANOPOLIS";-;-;1;-;-;-;-;1
"150830 VISEU";-;-;-;-;2;-;-;2
"150835 VITORIA DO XINGU";-;-;-;-;-;2;-;2
"160027 LARANJAL DO JARI";2;1;-;-;-;-;-;3
"160030 MACAPA";-;-;-;1;3;-;-;4
"160060 SANTANA";-;-;-;-;-;1;-;1
"170030 AGUIARNOPOLIS";-;-;-;-;1;-;-;1
"170100 ANANAS";2;-;1;-;1;-;-;4
"170110 APARECIDA DO RIO NEGRO";-;-;-;1;-;-;-;1
"170210 ARAGUAINA";1;4;3;2;9;-;-;19
"170220 ARAGUATINS";1;-;-;-;-;1;-;2
"170255 AUGUSTINOPOLIS";-;-;-;-;1;1;-;2
"170370 BREJINHO DE NAZARE";1;-;-;-;-;-;-;1
"170380 BURITI DO TOCANTINS";2;-;-;-;-;-;-;2
"170382 CACHOEIRINHA";-;-;-;1;-;-;-;1
"170388 CARMOLANDIA";-;-;-;-;1;-;-;1
"170460 CHAPADA DE AREIA";-;-;-;-;1;3;-;4
"170625 CRIXAS DO TOCANTINS";-;-;-;-;-;2;-;2
"170710 DIVINOPOLIS DO TOCANTINS";-;-;-;1;-;-;-;1
"170755 FATIMA";-;1;-;-;-;-;-;1
"170770 FILADELFIA";-;-;-;-;1;2;-;3
"170820 FORMOSO DO ARAGUAIA";-;-;-;-;1;-;-;1
"170830 GOIANORTE";-;-;1;1;-;-;-;2
"170900 GOIATINS";-;-;1;-;-;-;-;1
"170950 GURUPI";-;1;-;-;-;-;-;1
"171050 ITACAJA";-;-;-;1;-;-;-;1
"171070 ITAGUATINS";-;-;2;-;-;-;-;2
"171190 LAGOA DA CONFUSAO";-;1;2;-;-;-;-;3
"171240 LIZARDA";-;-;-;1;-;-;-;1
"171250 MARIANOPOLIS DO TOCANTINS";-;-;-;1;-;-;-;1
"171430 NAZARE";2;-;-;-;-;-;-;2
"171500 NOVA ROSALANDIA";-;-;-;1;-;-;-;1
"171610 PARAISO DO TOCANTINS";-;-;-;-;-;1;-;1
"171750 PIUM";2;-;-;-;-;-;-;2
"171790 PONTE ALTA DO TOCANTINS";-;-;-;3;-;-;-;3
"171820 PORTO NACIONAL";-;1;-;-;2;1;-;4
"171880 SAMPAIO";-;-;-;1;-;-;-;1
"172030 SAO SEBASTIAO DO TOCANTINS";1;-;-;-;-;-;-;1
"172080 SITIO NOVO DO TOCANTINS";-;-;-;-;-;2;-;2
"172100 PALMAS";1;5;2;3;3;10;-;24
"172120 TOCANTINOPOLIS";-;-;2;-;-;1;-;3
"172125 TUPIRAMA";-;-;-;-;1;-;-;1
"172210 XAMBIOA";-;-;-;-;-;2;-;2
"210005 ACAILANDIA";-;2;-;-;-;-;-;2
"210030 ALDEIAS ALTAS";-;-;-;2;-;-;-;2
"210070 ANAJATUBA";-;-;8;-;-;-;-;8
"210130 BACURI";-;-;-;2;-;-;-;2
"210160 BARRA DO CORDA";1;1;-;-;-;-;-;2
"210255 CAMPESTRE DO MARANHAO";-;-;-;-;-;1;-;1
"210270 CANTANHEDE";7;-;-;-;-;-;-;7
"210300 CAXIAS";-;-;1;-;-;-;-;1
"210330 CODO";-;-;-;1;-;-;-;1
"210407 FEIRA NOVA DO MARANHAO";-;-;-;-;-;1;-;1
"210530 IMPERATRIZ";1;-;-;-;-;-;-;1
"210540 ITAPECURU MIRIM";-;1;1;-;1;1;2;6
"210890 POCAO DE PEDRAS";-;-;-;-;-;2;-;2
"210990 SANTA INES";1;-;-;1;-;-;-;2
"211027 SANTO AMARO DO MARANHAO";1;-;-;-;-;-;-;1
"211120 SAO JOSE DE RIBAMAR";-;-;2;1;12;-;-;15
"211130 SAO LUIS";-;-;-;-;2;-;-;2
"211150 SAO MATEUS DO MARANHAO";-;-;-;-;-;1;-;1
"211210 TIMBIRAS";1;-;-;-;-;-;-;1
"211220 TIMON";-;-;-;-;1;-;-;1
"211230 TUNTUM";-;1;-;1;-;-;-;2
"211290 VITORIA DO MEARIM";2;-;-;-;1;-;2;5
"220205 CABECEIRAS DO PIAUI";1;-;-;-;-;-;-;1
"220550 JOSE DE FREITAS";-;-;-;-;-;5;-;5
"220700 OEIRAS";-;-;-;-;-;1;1;2
"220800 PICOS";1;-;-;-;-;-;-;1
"220840 PIRIPIRI";-;-;-;1;-;-;-;1
"220945 SANTO ANTONIO DOS MILAGRES";-;-;-;-;1;4;1;6
"221100 TERESINA";5;10;3;5;13;5;-;41
"221130 VALENCA DO PIAUI";-;-;-;-;2;-;-;2
"230100 AQUIRAZ";-;-;-;-;1;-;-;1
"230110 ARACATI";-;-;-;-;-;1;-;1
"230125 ARARENDA";-;-;8;4;3;-;-;15
"230350 CASCAVEL";-;-;1;-;-;-;-;1
"230410 CRATEUS";-;-;-;-;-;1;-;1
"230420 CRATO";1;-;-;-;4;-;-;5
"230425 CRUZ";-;-;-;-;1;1;-;2
"230426 DEPUTADO IRAPUAN PINHEIRO";-;-;-;-;-;1;-;1
"230428 EUSEBIO";-;-;-;-;1;-;-;1
"230440 FORTALEZA";-;-;-;-;1;-;-;1
"230445 FORTIM";-;1;-;-;-;-;-;1
"230523 HORIZONTE";-;1;4;1;13;1;-;20
"230560 INDEPENDENCIA";-;-;-;-;2;-;-;2
"230625 ITAITINGA";-;-;5;-;4;6;-;15
"230655 ITAREMA";1;-;-;-;-;-;-;1
"230690 JAGUARIBE";-;-;-;-;4;-;-;4
"230760 LIMOEIRO DO NORTE";1;10;26;22;18;4;-;81
"230765 MARACANAU";-;-;-;-;1;2;-;3
"230810 MAURITI";1;-;-;-;-;-;-;1
"230837 MIRAIMA";-;-;1;-;-;-;-;1
"230860 MONSENHOR TABOSA";-;-;-;-;1;-;-;1
"230945 OCARA";-;1;-;-;-;-;-;1
"230960 PACAJUS";-;-;-;-;1;2;-;3
"230970 PACATUBA";-;-;-;1;-;1;-;2
"231085 PINDORETAMA";-;-;3;-;-;-;-;3
"231130 QUIXADA";-;-;1;-;-;-;-;1
"231180 RUSSAS";-;-;-;-;-;1;-;1
