2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110001 ALTA FLORESTA D'OESTE";-;10;6;1;1;1;1;-;-;-;-;-;6;26
"110002 ARIQUEMES";-;132;19;26;32;35;12;7;21;12;3;10;16;325
"110003 CABIXI";-;-;-;1;-;-;-;-;-;-;-;-;1;2
"110004 CACOAL";-;38;162;115;46;25;10;15;5;-;6;3;6;431
"110005 CEREJEIRAS";-;72;77;38;7;18;7;1;1;2;-;3;14;240
"110006 COLORADO DO OESTE";-;1;-;-;-;2;9;2;2;1;-;-;3;20
"110007 CORUMBIARA";-;-;5;1;-;1;-;1;-;-;-;-;-;8
"110008 COSTA MARQUES";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"110009 ESPIGAO D'OESTE";-;1;3;2;3;-;-;-;1;-;-;-;-;10
"110010 GUAJARA-MIRIM";-;2;1;1;5;-;-;-;-;1;-;-;2;12
"110011 JARU";-;-;-;1;-;1;-;-;-;-;1;-;1;4
"110012 JI-PARANA";-;61;36;17;21;28;14;10;16;13;7;3;12;238
"110013 MACHADINHO D'OESTE";-;2;2;-;1;1;-;-;-;2;-;-;-;8
"110014 NOVA BRASILANDIA D'OESTE";-;2;5;2;2;-;-;1;1;1;-;1;1;16
"110015 OURO PRETO DO OESTE";-;6;7;15;4;10;6;5;4;-;-;2;1;60
"110018 PIMENTA BUENO";-;2;-;1;-;2;-;1;1;-;-;-;-;7
"110020 PORTO VELHO";-;195;257;124;144;102;56;81;53;49;46;35;69;1211
"110025 PRESIDENTE MEDICI";-;30;33;91;48;25;17;13;9;9;8;16;24;323
"110026 RIO CRESPO";-;-;1;2;2;-;-;-;-;-;-;-;-;5
"110028 ROLIM DE MOURA";-;4;3;4;3;-;-;-;1;-;-;2;-;17
"110029 SANTA LUZIA D'OESTE";-;2;2;4;-;2;-;-;1;-;1;-;-;12
"110030 VILHENA";-;23;55;112;60;26;16;8;9;8;9;5;12;343
"110032 SAO MIGUEL DO GUAPORE";-;-;2;2;-;1;1;-;-;-;-;1;-;7
"110033 NOVA MAMORE";-;2;1;1;-;-;-;-;-;1;-;-;-;5
"110034 ALVORADA D'OESTE";-;3;2;-;-;1;-;-;-;-;-;1;3;10
"110037 ALTO ALEGRE DOS PARECIS";-;30;24;6;5;4;-;-;-;-;-;-;4;73
"110040 ALTO PARAISO";-;2;-;6;-;-;-;-;-;1;-;-;1;10
"110045 BURITIS";-;-;1;-;-;-;1;-;-;-;-;-;-;2
