2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";9;4;-;1;-;1;-;-;-;-;-;2;17
"110002 ARIQUEMES";119;1;2;11;16;6;6;9;1;1;4;6;182
"110004 CACOAL";20;147;75;14;5;1;-;2;-;2;-;-;266
"110005 CEREJEIRAS";14;59;6;-;-;3;-;-;-;-;-;2;84
"110006 COLORADO DO OESTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"110007 CORUMBIARA";-;2;-;-;-;-;-;-;-;-;-;-;2
"110008 COSTA MARQUES";-;1;-;-;-;-;-;-;-;-;-;-;1
"110009 ESPIGAO D'OESTE";-;3;-;2;-;-;-;-;-;-;-;-;5
"110010 GUAJARA-MIRIM";2;1;-;2;-;-;-;-;1;-;-;1;7
"110011 JARU";-;-;-;-;1;-;-;-;-;-;-;-;1
"110012 JI-PARANA";1;26;2;-;-;-;-;-;1;-;-;-;30
"110013 MACHADINHO D'OESTE";2;2;-;1;1;-;-;-;-;-;-;-;6
"110014 NOVA BRASILANDIA D'OESTE";-;1;1;1;-;-;-;-;-;-;-;-;3
"110015 OURO PRETO DO OESTE";3;4;6;1;7;1;1;-;-;-;-;-;23
"110018 PIMENTA BUENO";-;-;1;-;1;-;-;-;-;-;-;-;2
"110020 PORTO VELHO";155;196;96;122;92;43;63;39;39;38;13;58;954
"110025 PRESIDENTE MEDICI";8;2;15;8;2;1;-;-;-;-;-;2;38
"110026 RIO CRESPO";-;1;-;-;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";4;3;3;1;-;-;-;-;-;-;1;-;12
"110029 SANTA LUZIA D'OESTE";1;1;2;-;-;-;-;-;-;-;-;-;4
"110030 VILHENA";1;4;3;3;1;-;1;-;-;1;-;-;14
"110032 SAO MIGUEL DO GUAPORE";-;2;1;-;1;1;-;-;-;-;-;-;5
"110033 NOVA MAMORE";1;-;-;-;-;-;-;-;-;-;-;-;1
"110034 ALVORADA D'OESTE";3;2;-;-;1;-;-;-;-;-;-;-;6
"110040 ALTO PARAISO";1;-;6;-;-;-;-;-;1;-;-;-;8
"110045 BURITIS";-;1;-;-;-;1;-;-;-;-;-;-;2
"110050 NOVO HORIZONTE DO OESTE";-;1;-;-;-;-;-;-;-;-;-;-;1
"110060 CACAULANDIA";2;7;6;-;-;1;1;-;-;-;2;1;20
"110070 CAMPO NOVO DE RONDONIA";-;3;5;-;1;-;-;-;-;-;-;-;9
"110080 CANDEIAS DO JAMARI";9;10;1;-;-;-;1;1;1;-;-;-;23
"110092 CHUPINGUAIA";-;1;-;-;-;-;-;3;-;-;-;-;4
"110094 CUJUBIM";1;1;-;-;1;-;-;-;-;-;-;-;3
"110120 MINISTRO ANDREAZZA";-;3;-;-;-;-;-;-;-;-;-;-;3
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;-;-;-;-;-;1;1
"110140 MONTE NEGRO";1;-;1;-;-;-;-;-;-;1;-;-;3
"110143 NOVA UNIAO";-;1;-;-;-;-;-;-;-;-;-;-;1
"110145 PARECIS";-;4;10;9;-;-;-;-;-;-;-;-;23
"110146 PIMENTEIRAS DO OESTE";-;-;3;-;1;-;-;-;-;-;-;-;4
"110147 PRIMAVERA DE RONDONIA";6;6;18;1;1;-;-;10;-;16;23;5;86
"110148 SAO FELIPE D'OESTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";2;2;1;-;-;-;-;-;-;-;-;-;5
"110155 TEIXEIROPOLIS";-;1;1;-;-;-;-;-;-;-;-;-;2
"110160 THEOBROMA";-;1;1;-;-;-;-;-;-;-;-;-;2
"110175 VALE DO ANARI";-;-;1;-;-;-;-;-;-;-;-;-;1
"110180 VALE DO PARAISO";1;1;-;-;-;-;-;-;-;-;-;-;2
"120001 ACRELANDIA";1;3;-;5;1;-;-;-;-;-;-;-;10
"120005 ASSIS BRASIL";-;-;1;2;-;1;-;-;-;1;-;1;6
"120010 BRASILEIA";-;1;2;-;2;-;-;2;-;-;-;-;7
"120013 BUJARI";-;-;2;1;-;-;1;-;-;-;-;-;4
"120017 CAPIXABA";-;-;1;-;-;-;-;-;-;-;1;5;7
"120020 CRUZEIRO DO SUL";2;3;12;-;1;-;2;-;-;-;1;1;22
"120025 EPITACIOLANDIA";4;-;-;-;1;-;-;-;-;-;-;1;6
"120030 FEIJO";1;-;2;2;-;-;-;-;-;-;2;-;7
"120032 JORDAO";-;1;-;-;1;-;-;-;-;-;-;-;2
"120033 MANCIO LIMA";-;-;2;-;-;-;-;-;-;-;-;-;2
"120035 MARECHAL THAUMATURGO";-;-;1;-;-;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";2;-;-;-;-;-;-;-;-;-;1;4;7
"120040 RIO BRANCO";90;46;76;45;23;5;6;6;3;4;20;45;369
"120042 RODRIGUES ALVES";3;-;-;-;-;-;-;-;-;-;-;-;3
"120043 SANTA ROSA DO PURUS";-;-;1;-;-;-;-;-;-;-;-;-;1
"120045 SENADOR GUIOMARD";2;3;2;1;1;1;-;-;-;-;1;-;11
"120050 SENA MADUREIRA";-;1;-;-;-;-;-;-;-;-;1;2;4
"120060 TARAUACA";1;1;1;1;-;-;-;-;-;-;-;-;4
"120070 XAPURI";-;-;2;-;-;-;1;-;-;-;-;-;3
"120080 PORTO ACRE";2;2;3;-;-;-;-;-;-;-;-;-;7
"130002 ALVARAES";-;2;3;10;2;2;-;5;-;-;-;1;25
"130014 APUI";-;-;1;-;-;-;-;-;-;-;-;-;1
"130020 ATALAIA DO NORTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"130030 AUTAZES";-;-;-;-;-;1;1;-;-;-;-;-;2
"130050 BARREIRINHA";-;-;-;-;-;1;1;-;-;-;-;-;2
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;1;-;-;-;1
"130063 BERURI";3;3;-;-;-;-;-;-;1;-;-;-;7
"130068 BOA VISTA DO RAMOS";-;-;-;-;-;-;-;-;1;-;-;-;1
"130070 BOCA DO ACRE";-;-;-;-;-;-;-;-;1;-;-;-;1
"130080 BORBA";18;13;15;3;8;1;2;11;2;5;5;1;84
"130083 CAAPIRANGA";-;-;-;-;-;-;1;-;-;-;1;-;2
"130090 CANUTAMA";-;2;-;-;-;-;-;-;-;-;-;-;2
"130100 CARAUARI";13;5;3;3;2;3;4;6;4;1;5;9;58
"130110 CAREIRO";-;-;-;-;-;-;1;-;-;-;1;-;2
"130115 CAREIRO DA VARZEA";-;-;1;-;1;-;1;-;-;-;-;-;3
