2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Jan";"Fev";"Mar";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";2;-;-;-;2
"110002 ARIQUEMES";113;1;-;-;114
"110004 CACOAL";12;139;50;-;201
"110005 CEREJEIRAS";3;40;5;-;48
"110007 CORUMBIARA";-;2;-;-;2
"110008 COSTA MARQUES";-;1;-;-;1
"110009 ESPIGAO D'OESTE";-;2;-;-;2
"110010 GUAJARA-MIRIM";-;1;-;-;1
"110012 JI-PARANA";1;25;2;-;28
"110013 MACHADINHO D'OESTE";2;2;-;-;4
"110014 NOVA BRASILANDIA D'OESTE";-;1;1;-;2
"110015 OURO PRETO DO OESTE";3;4;5;-;12
"110018 PIMENTA BUENO";-;-;1;-;1
"110020 PORTO VELHO";146;187;30;7;370
"110025 PRESIDENTE MEDICI";6;2;6;-;14
"110026 RIO CRESPO";-;1;-;-;1
"110028 ROLIM DE MOURA";-;1;-;-;1
"110030 VILHENA";-;2;-;-;2
"110032 SAO MIGUEL DO GUAPORE";-;1;1;-;2
"110033 NOVA MAMORE";1;-;-;-;1
"110034 ALVORADA D'OESTE";1;-;-;-;1
"110045 BURITIS";-;1;-;-;1
"110060 CACAULANDIA";2;7;6;-;15
"110070 CAMPO NOVO DE RONDONIA";-;2;2;-;4
"110080 CANDEIAS DO JAMARI";9;10;1;-;20
"110092 CHUPINGUAIA";-;1;-;-;1
"110094 CUJUBIM";1;-;-;-;1
"110120 MINISTRO ANDREAZZA";-;1;-;-;1
"110140 MONTE NEGRO";1;-;-;-;1
"110146 PIMENTEIRAS DO OESTE";-;-;2;-;2
"110147 PRIMAVERA DE RONDONIA";6;6;12;-;24
"110149 SAO FRANCISCO DO GUAPORE";1;-;-;-;1
"110155 TEIXEIROPOLIS";-;1;-;-;1
"110160 THEOBROMA";-;1;1;-;2
"110180 VALE DO PARAISO";1;-;-;-;1
"120001 ACRELANDIA";1;1;-;-;2
"120005 ASSIS BRASIL";-;-;-;1;1
"120010 BRASILEIA";-;-;1;-;1
"120017 CAPIXABA";-;-;1;-;1
"120020 CRUZEIRO DO SUL";2;2;11;-;15
"120025 EPITACIOLANDIA";4;-;-;-;4
"120030 FEIJO";1;-;-;-;1
"120032 JORDAO";-;1;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;1;-;1
"120038 PLACIDO DE CASTRO";2;-;-;-;2
"120040 RIO BRANCO";87;37;13;1;138
"120042 RODRIGUES ALVES";2;-;-;-;2
"120045 SENADOR GUIOMARD";2;1;-;-;3
"120060 TARAUACA";1;1;1;-;3
"120080 PORTO ACRE";2;1;-;-;3
"130002 ALVARAES";-;2;-;-;2
"130014 APUI";-;-;1;-;1
"130063 BERURI";3;3;-;-;6
"130080 BORBA";1;-;-;-;1
"130090 CANUTAMA";-;2;-;-;2
"130100 CARAUARI";8;-;-;-;8
"130120 COARI";4;3;-;-;7
"130130 CODAJAS";-;2;1;-;3
"130140 EIRUNEPE";-;-;1;-;1
"130170 HUMAITA";1;-;1;-;2
"130180 IPIXUNA";-;-;1;-;1
"130185 IRANDUBA";1;3;-;-;4
"130230 JUTAI";-;1;-;-;1
"130250 MANACAPURU";1;-;-;-;1
"130260 MANAUS";36;21;5;2;64
"130270 MANICORE";-;1;-;-;1
"130320 NOVO AIRAO";1;-;-;-;1
"130340 PARINTINS";-;-;-;1;1
"130350 PAUINI";2;-;-;-;2
"130370 SANTO ANTONIO DO ICA";-;1;-;-;1
"130406 TABATINGA";1;-;-;-;1
"130420 TEFE";-;-;1;-;1
"140002 AMAJARI";-;-;1;-;1
"140005 ALTO ALEGRE";3;-;-;-;3
"140010 BOA VISTA";15;23;13;3;54
"140017 CANTA";7;18;13;-;38
"140020 CARACARAI";4;1;-;1;6
"140030 MUCAJAI";3;-;-;-;3
"140047 RORAINOPOLIS";12;48;17;-;77
"150010 ABAETETUBA";4;14;15;-;33
"150020 ACARA";-;1;1;-;2
"150040 ALENQUER";-;1;1;-;2
"150050 ALMEIRIM";1;-;-;-;1
"150060 ALTAMIRA";1;10;8;-;19
"150080 ANANINDEUA";22;13;6;-;41
"150085 ANAPU";-;1;1;-;2
"150090 AUGUSTO CORREA";-;1;-;-;1
"150125 BANNACH";-;-;1;-;1
"150130 BARCARENA";12;74;7;-;93
"150140 BELEM";128;244;34;-;406
"150145 BELTERRA";-;3;-;-;3
"150150 BENEVIDES";5;15;2;-;22
"150170 BRAGANCA";1;1;-;-;2
"150190 BUJARU";1;4;7;-;12
"150210 CAMETA";17;16;13;-;46
"150215 CANAA DOS CARAJAS";-;1;-;-;1
"150220 CAPANEMA";-;1;2;-;3
"150230 CAPITAO POCO";8;-;-;-;8
"150240 CASTANHAL";71;158;28;6;263
"150270 CONCEICAO DO ARAGUAIA";-;25;7;-;32
"150276 CUMARU DO NORTE";39;4;-;2;45
"150285 CURUA";1;-;-;-;1
"150290 CURUCA";6;7;-;-;13
"150300 FARO";-;1;-;-;1
"150304 FLORESTA DO ARAGUAIA";1;2;-;-;3
"150320 IGARAPE-ACU";56;135;54;1;246
"150330 IGARAPE-MIRI";-;1;4;-;5
"150340 INHANGAPI";1;7;6;-;14
"150350 IRITUIA";-;3;-;-;3
"150360 ITAITUBA";-;2;-;-;2
"150380 JACUNDA";-;-;1;-;1
"150390 JURUTI";10;61;7;-;78
"150400 LIMOEIRO DO AJURU";-;1;-;-;1
"150410 MAGALHAES BARATA";-;-;1;-;1
"150420 MARABA";2;1;1;-;4
"150440 MARAPANIM";-;1;-;-;1
"150442 MARITUBA";45;50;66;-;161
"150445 MEDICILANDIA";6;9;-;-;15
"150460 MOCAJUBA";1;2;2;-;5
"150475 MOJUI DOS CAMPOS";-;1;-;-;1
"150490 MUANA";-;1;-;-;1
"150497 NOVA IPIXUNA";-;1;-;-;1
"150510 OBIDOS";2;63;48;-;113
"150530 ORIXIMINA";-;-;1;-;1
"150548 PACAJA";1;5;4;-;10
"150550 PARAGOMINAS";-;2;51;-;53
"150553 PARAUAPEBAS";3;2;-;-;5
"150600 PRAINHA";3;5;3;-;11
"150613 REDENCAO";3;20;21;-;44
"150616 RIO MARIA";-;2;-;-;2
"150619 RUROPOLIS";1;5;1;-;7
"150630 SALVATERRA";1;-;-;-;1
"150650 SANTA IZABEL DO PARA";11;18;9;-;38
"150660 SANTA MARIA DO PARA";-;1;3;-;4
"150670 SANTANA DO ARAGUAIA";3;5;-;-;8
"150680 SANTAREM";20;96;5;1;122
"150700 SANTO ANTONIO DO TAUA";-;1;-;-;1
"150710 SAO CAETANO DE ODIVELAS";-;10;8;-;18
"150720 SAO DOMINGOS DO CAPIM";67;160;98;-;325
"150740 SAO FRANCISCO DO PARA";1;5;-;-;6
"150746 SAO JOAO DA PONTA";-;1;2;-;3
"150760 SAO MIGUEL DO GUAMA";2;10;36;-;48
"150780 SENADOR JOSE PORFIRIO";-;1;-;-;1
"150796 TERRA ALTA";1;11;1;-;13
"150797 TERRA SANTA";-;2;-;-;2
"150805 TRAIRAO";-;-;1;-;1
"150810 TUCURUI";1;-;-;-;1
"150820 VIGIA";2;7;4;-;13
"160020 CALCOENE";1;-;-;-;1
"160023 FERREIRA GOMES";-;1;-;-;1
"160027 LARANJAL DO JARI";85;4;-;-;89
"160030 MACAPA";14;6;-;-;20
"160050 OIAPOQUE";1;-;-;-;1
"160053 PORTO GRANDE";1;2;-;-;3
"160060 SANTANA";9;2;1;-;12
"160070 TARTARUGALZINHO";1;3;-;-;4
"170030 AGUIARNOPOLIS";8;12;4;-;24
"170110 APARECIDA DO RIO NEGRO";-;-;1;-;1
"170130 ARAGOMINAS";1;-;-;-;1
"170190 ARAGUACEMA";1;-;-;-;1
"170200 ARAGUACU";-;1;-;-;1
"170210 ARAGUAINA";20;25;13;-;58
"170230 ARAPOEMA";1;-;1;-;2
"170240 ARRAIAS";-;1;1;-;2
"170270 AURORA DO TOCANTINS";-;1;1;-;2
"170300 BABACULANDIA";-;-;2;-;2
