2010
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisbr.def
Congenital Syphilis
"Município de residência";"Casos confirmados"
" MUNICIPIO IGNORADO - RO";1
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";31
"110004 CACOAL";16
"110006 COLORADO DO OESTE";2
"110007 CORUMBIARA";2
"110008 COSTA MARQUES";3
"110009 ESPIGAO D'OESTE";10
"110010 GUAJARA-MIRIM";9
"110011 JARU";9
"110012 JI-PARANA";21
"110013 MACHADINHO D'OESTE";9
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";8
"110018 PIMENTA BUENO";22
"110020 PORTO VELHO";603
"110025 PRESIDENTE MEDICI";7
"110028 ROLIM DE MOURA";11
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";15
"110032 SAO MIGUEL DO GUAPORE";4
"110033 NOVA MAMORE";6
"110034 ALVORADA D'OESTE";2
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";4
"110045 BURITIS";7
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";1
"110080 CANDEIAS DO JAMARI";38
"110092 CHUPINGUAIA";3
"110094 CUJUBIM";7
"110110 ITAPUA DO OESTE";9
"110120 MINISTRO ANDREAZZA";2
"110140 MONTE NEGRO";2
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";3
"110150 SERINGUEIRAS";4
"110160 THEOBROMA";1
"110170 URUPA";2
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";2
"120001 ACRELANDIA";14
"120005 ASSIS BRASIL";10
"120010 BRASILEIA";27
"120013 BUJARI";21
"120017 CAPIXABA";33
"120020 CRUZEIRO DO SUL";98
"120025 EPITACIOLANDIA";21
"120030 FEIJO";15
"120032 JORDAO";4
"120033 MANCIO LIMA";19
"120034 MANOEL URBANO";10
"120035 MARECHAL THAUMATURGO";9
"120038 PLACIDO DE CASTRO";25
"120039 PORTO WALTER";7
"120040 RIO BRANCO";430
"120042 RODRIGUES ALVES";13
"120043 SANTA ROSA DO PURUS";7
"120045 SENADOR GUIOMARD";42
"120050 SENA MADUREIRA";38
"120060 TARAUACA";83
"120070 XAPURI";16
"120080 PORTO ACRE";44
"130002 ALVARAES";6
"130006 AMATURA";3
"130008 ANAMA";7
"130010 ANORI";14
"130014 APUI";2
"130020 ATALAIA DO NORTE";5
"130030 AUTAZES";20
"130040 BARCELOS";11
"130050 BARREIRINHA";18
"130060 BENJAMIN CONSTANT";12
"130063 BERURI";4
"130068 BOA VISTA DO RAMOS";6
"130070 BOCA DO ACRE";24
"130080 BORBA";18
"130083 CAAPIRANGA";5
"130090 CANUTAMA";4
"130100 CARAUARI";15
"130110 CAREIRO";29
"130115 CAREIRO DA VARZEA";11
"130120 COARI";10
"130130 CODAJAS";3
"130140 EIRUNEPE";24
"130150 ENVIRA";10
"130160 FONTE BOA";3
"130165 GUAJARA";20
"130170 HUMAITA";21
"130185 IRANDUBA";68
"130190 ITACOATIARA";38
"130195 ITAMARATI";1
"130200 ITAPIRANGA";5
"130210 JAPURA";5
"130220 JURUA";2
"130230 JUTAI";6
"130240 LABREA";18
"130250 MANACAPURU";72
"130255 MANAQUIRI";8
"130260 MANAUS";4395
"130270 MANICORE";18
"130280 MARAA";5
"130290 MAUES";37
"130300 NHAMUNDA";3
"130310 NOVA OLINDA DO NORTE";35
"130320 NOVO AIRAO";16
"130330 NOVO ARIPUANA";3
"130340 PARINTINS";76
"130350 PAUINI";3
"130353 PRESIDENTE FIGUEIREDO";14
"130356 RIO PRETO DA EVA";13
"130360 SANTA ISABEL DO RIO NEGRO";9
"130380 SAO GABRIEL DA CACHOEIRA";16
"130390 SAO PAULO DE OLIVENCA";4
"130395 SAO SEBASTIAO DO UATUMA";2
"130400 SILVES";1
"130406 TABATINGA";28
"130410 TAPAUA";2
"130420 TEFE";29
"130423 TONANTINS";1
"130426 UARINI";1
"130430 URUCARA";8
"130440 URUCURITUBA";4
"140002 AMAJARI";8
"140005 ALTO ALEGRE";12
"140010 BOA VISTA";569
"140015 BONFIM";13
"140017 CANTA";25
"140020 CARACARAI";45
"140023 CAROEBE";9
"140028 IRACEMA";4
"140030 MUCAJAI";31
"140040 NORMANDIA";6
"140045 PACARAIMA";40
"140047 RORAINOPOLIS";45
"140050 SAO JOAO DA BALIZA";6
"140060 SAO LUIZ";6
"140070 UIRAMUTA";7
"150010 ABAETETUBA";75
"150013 ABEL FIGUEIREDO";5
"150020 ACARA";33
"150030 AFUA";52
"150034 AGUA AZUL DO NORTE";4
"150040 ALENQUER";47
"150050 ALMEIRIM";6
"150060 ALTAMIRA";224
"150070 ANAJAS";11
"150080 ANANINDEUA";728
"150085 ANAPU";34
"150090 AUGUSTO CORREA";96
"150095 AURORA DO PARA";14
"150100 AVEIRO";10
"150110 BAGRE";16
"150120 BAIAO";40
"150125 BANNACH";1
"150130 BARCARENA";209
"150140 BELEM";1634
"150145 BELTERRA";9
"150150 BENEVIDES";127
"150157 BOM JESUS DO TOCANTINS";15
"150160 BONITO";2
"150170 BRAGANCA";332
"150172 BRASIL NOVO";10
"150175 BREJO GRANDE DO ARAGUAIA";7
"150178 BREU BRANCO";29
"150180 BREVES";258
"150190 BUJARU";24
"150195 CACHOEIRA DO PIRIA";5
"150200 CACHOEIRA DO ARARI";7
"150210 CAMETA";89
"150215 CANAA DOS CARAJAS";55
"150220 CAPANEMA";38
"150230 CAPITAO POCO";14
"150240 CASTANHAL";157
"150250 CHAVES";11
"150260 COLARES";18
"150270 CONCEICAO DO ARAGUAIA";30
"150275 CONCORDIA DO PARA";24
"150276 CUMARU DO NORTE";7
"150277 CURIONOPOLIS";26
"150280 CURRALINHO";15
"150285 CURUA";8
"150290 CURUCA";46
"150293 DOM ELISEU";16
"150295 ELDORADO DOS CARAJAS";42
"150304 FLORESTA DO ARAGUAIA";10
"150307 GARRAFAO DO NORTE";7
"150309 GOIANESIA DO PARA";23
"150310 GURUPA";16
"150320 IGARAPE-ACU";32
"150330 IGARAPE-MIRI";23
"150340 INHANGAPI";8
"150345 IPIXUNA DO PARA";27
"150350 IRITUIA";26
"150360 ITAITUBA";240
"150370 ITUPIRANGA";91
"150375 JACAREACANGA";19
"150380 JACUNDA";31
"150390 JURUTI";37
"150400 LIMOEIRO DO AJURU";18
"150405 MAE DO RIO";7
"150410 MAGALHAES BARATA";9
"150420 MARABA";1073
"150430 MARACANA";10
"150440 MARAPANIM";34
"150442 MARITUBA";346
"150445 MEDICILANDIA";16
"150450 MELGACO";16
"150460 MOCAJUBA";15
"150470 MOJU";167
"150475 MOJUI DOS CAMPOS";9
"150480 MONTE ALEGRE";20
"150490 MUANA";51
"150495 NOVA ESPERANCA DO PIRIA";4
"150497 NOVA IPIXUNA";21
"150500 NOVA TIMBOTEUA";5
"150503 NOVO PROGRESSO";31
"150506 NOVO REPARTIMENTO";50
"150510 OBIDOS";63
"150520 OEIRAS DO PARA";41
"150530 ORIXIMINA";115
"150540 OUREM";11
"150543 OURILANDIA DO NORTE";11
"150548 PACAJA";12
"150549 PALESTINA DO PARA";8
"150550 PARAGOMINAS";119
"150553 PARAUAPEBAS";623
"150555 PAU D'ARCO";3
"150560 PEIXE-BOI";1
"150563 PICARRA";18
"150565 PLACAS";4
"150570 PONTA DE PEDRAS";15
"150580 PORTEL";23
"150590 PORTO DE MOZ";3
"150600 PRAINHA";12
"150610 PRIMAVERA";3
"150611 QUATIPURU";8
"150613 REDENCAO";97
"150616 RIO MARIA";9
"150618 RONDON DO PARA";7
"150619 RUROPOLIS";33
"150620 SALINOPOLIS";29
"150630 SALVATERRA";4
"150635 SANTA BARBARA DO PARA";46
"150640 SANTA CRUZ DO ARARI";5
"150650 SANTA IZABEL DO PARA";89
"150655 SANTA LUZIA DO PARA";7
"150658 SANTA MARIA DAS BARREIRAS";4
"150660 SANTA MARIA DO PARA";13
"150670 SANTANA DO ARAGUAIA";47
"150680 SANTAREM";469
"150690 SANTAREM NOVO";3
"150700 SANTO ANTONIO DO TAUA";28
"150710 SAO CAETANO DE ODIVELAS";24
