2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxocongenitabr.def
Congenital Toxoplasmosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;1;-;1;-;-;-;-;-;-;2
"110002 ARIQUEMES";-;-;-;1;-;2;-;-;-;1;-;-;4
"110004 CACOAL";-;-;-;-;1;-;-;-;1;-;-;-;2
"110005 CEREJEIRAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"110008 COSTA MARQUES";-;1;-;-;-;-;-;-;-;-;-;-;1
"110010 GUAJARA-MIRIM";-;-;1;-;-;-;1;-;-;-;-;-;2
"110011 JARU";-;-;-;1;1;-;1;-;1;-;-;-;4
"110012 JI-PARANA";1;2;1;-;-;3;1;-;-;-;-;-;8
"110013 MACHADINHO D'OESTE";-;1;-;1;-;-;-;2;-;-;-;-;4
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;-;-;1;-;-;-;-;-;1
"110015 OURO PRETO DO OESTE";-;-;-;-;-;2;1;-;-;-;-;-;3
"110018 PIMENTA BUENO";-;-;1;-;1;-;-;-;-;-;1;-;3
"110020 PORTO VELHO";1;4;7;5;6;5;10;3;8;5;2;1;57
"110025 PRESIDENTE MEDICI";-;-;2;-;-;-;-;-;-;-;-;-;2
"110026 RIO CRESPO";-;-;2;-;-;-;-;-;1;-;-;-;3
"110028 ROLIM DE MOURA";-;-;-;-;1;1;-;-;-;-;-;-;2
"110029 SANTA LUZIA D'OESTE";-;-;1;-;-;-;-;-;-;-;-;-;1
"110032 SAO MIGUEL DO GUAPORE";-;1;-;-;-;-;-;-;-;-;-;-;1
"110040 ALTO PARAISO";-;-;-;1;-;-;-;-;-;-;-;-;1
"110045 BURITIS";-;-;-;1;-;1;-;1;-;-;-;1;4
"110070 CAMPO NOVO DE RONDONIA";-;-;-;1;-;1;-;-;-;-;-;-;2
"110080 CANDEIAS DO JAMARI";1;1;3;1;1;-;2;-;-;-;-;-;9
"110094 CUJUBIM";-;1;-;-;-;-;-;-;1;-;-;-;2
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"110110 ITAPUA DO OESTE";3;-;-;-;1;-;-;-;-;-;-;-;4
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;-;-;-;-;-;-;-;-;1
"110170 URUPA";-;-;1;-;-;-;-;-;-;-;-;-;1
"120001 ACRELANDIA";1;-;-;1;-;1;-;1;-;1;1;-;6
"120005 ASSIS BRASIL";-;-;-;1;-;1;2;-;1;-;-;-;5
"120010 BRASILEIA";4;-;1;-;-;1;-;-;-;-;2;-;8
"120013 BUJARI";2;-;-;-;-;1;2;1;-;-;2;-;8
"120017 CAPIXABA";1;-;1;1;-;1;-;-;2;-;1;1;8
"120020 CRUZEIRO DO SUL";2;1;4;4;1;1;1;2;1;3;2;1;23
"120025 EPITACIOLANDIA";-;-;-;-;-;-;2;-;-;-;2;-;4
"120030 FEIJO";1;-;1;-;-;1;2;-;-;-;-;2;7
"120032 JORDAO";-;1;2;-;1;-;1;-;2;-;-;-;7
"120033 MANCIO LIMA";-;1;-;1;1;-;-;-;-;-;1;-;4
"120034 MANOEL URBANO";1;1;1;1;3;1;-;-;-;-;-;-;8
"120035 MARECHAL THAUMATURGO";-;-;-;1;-;-;1;-;-;1;-;-;3
"120038 PLACIDO DE CASTRO";2;1;2;1;2;1;1;1;-;1;-;1;13
"120039 PORTO WALTER";-;-;-;-;-;-;-;-;1;-;-;-;1
"120040 RIO BRANCO";14;6;13;12;11;15;8;10;15;8;10;11;133
"120042 RODRIGUES ALVES";-;-;1;-;3;1;-;1;1;-;-;-;7
"120043 SANTA ROSA DO PURUS";-;-;-;1;-;-;1;1;-;-;-;1;4
"120045 SENADOR GUIOMARD";1;-;1;1;1;1;2;-;4;1;-;-;12
"120050 SENA MADUREIRA";-;-;3;-;-;1;2;-;1;1;1;1;10
"120060 TARAUACA";-;1;2;-;-;1;-;-;1;3;-;-;8
"120070 XAPURI";1;-;1;-;1;1;1;-;4;-;-;-;9
"120080 PORTO ACRE";-;2;3;-;1;1;-;-;-;3;2;-;12
"130014 APUI";-;-;-;-;-;-;-;-;-;1;-;-;1
"130070 BOCA DO ACRE";-;-;1;-;1;2;2;2;-;1;1;-;10
"130110 CAREIRO";-;-;-;-;-;-;-;-;-;-;1;-;1
"130150 ENVIRA";-;-;-;-;1;-;1;-;-;-;-;-;2
"130165 GUAJARA";-;-;-;-;2;1;-;-;-;-;-;-;3
"130170 HUMAITA";-;-;1;-;-;-;-;-;-;-;-;-;1
"130180 IPIXUNA";-;-;-;1;-;-;-;1;-;-;-;-;2
"130250 MANACAPURU";1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 MANAUS";5;6;16;10;8;7;7;5;10;11;9;4;98
"130340 PARINTINS";-;-;-;-;2;-;-;-;-;-;1;-;3
"130350 PAUINI";-;-;-;1;1;1;1;-;-;1;1;-;6
"130370 SANTO ANTONIO DO ICA";-;-;-;-;1;-;-;-;-;-;1;-;2
"130380 SAO GABRIEL DA CACHOEIRA";-;2;-;-;-;-;-;-;-;-;-;-;2
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;1;-;-;-;-;1;-;-;2
"130406 TABATINGA";-;-;1;-;-;-;-;-;-;-;-;-;1
"130420 TEFE";1;-;-;-;-;-;-;-;-;-;-;-;1
"140002 AMAJARI";-;-;-;-;-;-;-;-;-;1;-;-;1
"140005 ALTO ALEGRE";1;2;-;-;-;-;-;-;-;1;-;-;4
"140010 BOA VISTA";3;4;1;10;5;4;1;3;6;2;3;3;45
"140015 BONFIM";-;-;-;-;-;-;-;1;-;-;-;-;1
"140017 CANTA";-;-;-;-;-;-;-;-;1;-;-;-;1
"140020 CARACARAI";-;-;-;-;-;-;1;-;-;-;-;-;1
"140030 MUCAJAI";-;-;-;-;-;-;-;1;-;-;-;-;1
"140040 NORMANDIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"140045 PACARAIMA";-;-;-;1;-;-;-;-;-;-;-;-;1
"140060 SAO LUIZ";-;-;-;-;-;1;-;-;-;-;-;-;1
"150010 ABAETETUBA";1;-;2;1;1;1;2;-;-;1;-;-;9
"150020 ACARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150030 AFUA";1;-;4;-;-;-;-;1;-;-;-;-;6
"150050 ALMEIRIM";-;-;-;-;-;-;1;-;-;1;-;-;2
"150060 ALTAMIRA";-;-;-;-;-;1;-;-;-;-;-;-;1
"150085 ANAPU";-;-;1;-;-;-;-;-;-;-;-;-;1
"150110 BAGRE";-;1;-;-;-;-;-;-;-;-;-;-;1
"150130 BARCARENA";-;-;-;-;-;-;-;1;-;-;-;1;2
"150140 BELEM";4;-;-;4;2;1;1;-;-;-;2;1;15
"150178 BREU BRANCO";-;-;-;-;-;-;-;-;-;-;-;1;1
"150180 BREVES";-;-;-;-;-;-;1;-;-;-;-;-;1
"150200 CACHOEIRA DO ARARI";-;-;-;-;-;1;-;-;-;-;-;-;1
"150210 CAMETA";1;-;1;1;-;-;1;-;-;-;-;-;4
"150215 CANAA DOS CARAJAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"150220 CAPANEMA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150270 CONCEICAO DO ARAGUAIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150276 CUMARU DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"150310 GURUPA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150320 IGARAPE-ACU";-;-;-;-;-;-;-;1;-;-;-;-;1
"150330 IGARAPE-MIRI";-;1;-;-;-;-;-;1;-;-;-;-;2
"150340 INHANGAPI";-;1;-;-;-;-;-;-;-;-;-;-;1
"150345 IPIXUNA DO PARA";-;1;-;-;-;-;-;-;-;-;-;-;1
