2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxocongenitabr.def
Congenital Toxoplasmosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;1;-;-;-;1
"110004 CACOAL";-;-;-;-;1;-;-;1
"110012 JI-PARANA";1;2;1;-;-;1;-;5
"110013 MACHADINHO D'OESTE";-;1;-;-;-;-;-;1
"110018 PIMENTA BUENO";-;-;-;-;1;-;-;1
"110020 PORTO VELHO";-;-;2;1;2;1;-;6
"110025 PRESIDENTE MEDICI";-;-;2;-;-;-;-;2
"110028 ROLIM DE MOURA";-;-;-;-;1;-;-;1
"110045 BURITIS";-;-;-;-;-;1;-;1
"110080 CANDEIAS DO JAMARI";-;-;1;1;1;-;-;3
"110094 CUJUBIM";-;1;-;-;-;-;-;1
"110170 URUPA";-;-;1;-;-;-;-;1
"120001 ACRELANDIA";1;-;-;-;-;-;-;1
"120010 BRASILEIA";1;-;-;-;-;-;-;1
"120013 BUJARI";1;-;-;-;-;1;-;2
"120017 CAPIXABA";1;-;1;-;-;1;-;3
"120020 CRUZEIRO DO SUL";-;-;-;1;-;-;-;1
"120030 FEIJO";-;-;1;-;-;1;-;2
"120032 JORDAO";-;-;-;-;-;-;1;1
"120033 MANCIO LIMA";-;1;-;1;1;-;-;3
"120034 MANOEL URBANO";-;-;1;-;-;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;-;1;-;-;-;1
"120038 PLACIDO DE CASTRO";-;-;1;-;-;-;-;1
"120040 RIO BRANCO";3;1;6;1;3;4;-;18
"120042 RODRIGUES ALVES";-;-;-;-;2;-;-;2
"120043 SANTA ROSA DO PURUS";-;-;-;1;-;-;-;1
"120045 SENADOR GUIOMARD";1;-;-;-;-;-;-;1
"120060 TARAUACA";-;1;1;-;-;1;-;3
"120070 XAPURI";1;-;-;-;-;-;-;1
"120080 PORTO ACRE";-;1;1;-;-;-;-;2
"130070 BOCA DO ACRE";-;-;1;-;1;-;-;2
"130165 GUAJARA";-;-;-;-;1;-;-;1
"130170 HUMAITA";-;-;1;-;-;-;-;1
"130250 MANACAPURU";1;-;-;-;-;-;-;1
"130260 MANAUS";4;3;7;1;4;1;2;22
"130340 PARINTINS";-;-;-;-;2;-;-;2
"130350 PAUINI";-;-;-;-;-;1;-;1
"130370 SANTO ANTONIO DO ICA";-;-;-;-;1;-;-;1
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;1;-;-;1
"130420 TEFE";1;-;-;-;-;-;-;1
"140005 ALTO ALEGRE";1;2;-;-;-;-;-;3
"140010 BOA VISTA";1;2;1;4;5;1;1;15
"140040 NORMANDIA";-;-;-;-;-;-;1;1
"140060 SAO LUIZ";-;-;-;-;-;1;-;1
"150030 AFUA";1;-;2;-;-;-;-;3
"150110 BAGRE";-;1;-;-;-;-;-;1
"150140 BELEM";-;-;-;2;-;-;-;2
"150210 CAMETA";1;-;-;-;-;-;-;1
"150420 MARABA";-;2;1;-;1;-;-;4
"150613 REDENCAO";-;-;1;-;-;-;-;1
"150680 SANTAREM";-;-;-;1;-;-;-;1
"150810 TUCURUI";-;-;1;-;-;-;-;1
"160020 CALCOENE";-;-;1;-;-;-;-;1
"160021 CUTIAS";-;1;-;-;-;-;-;1
"160030 MACAPA";1;3;4;1;5;1;-;15
"160040 MAZAGAO";-;-;1;-;-;-;-;1
"160050 OIAPOQUE";1;-;-;1;-;1;-;3
"160053 PORTO GRANDE";-;-;-;1;-;-;-;1
"160060 SANTANA";-;-;-;-;-;1;-;1
"170030 AGUIARNOPOLIS";1;-;-;-;1;-;-;2
"170035 ALIANCA DO TOCANTINS";1;-;-;-;-;-;-;1
"170110 APARECIDA DO RIO NEGRO";-;1;-;1;1;1;-;4
"170210 ARAGUAINA";7;5;4;4;6;3;1;30
"170215 ARAGUANA";1;-;1;-;-;-;-;2
