2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxogestacionalbr.def
Gestational Toxoplasmosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";2;2;3;-;-;1;-;1;2;-;-;-;11
"110002 ARIQUEMES";4;3;1;2;4;-;1;-;2;2;1;4;24
"110003 CABIXI";-;-;-;1;-;-;-;-;-;-;-;-;1
"110004 CACOAL";2;6;5;3;1;1;1;1;3;4;1;-;28
"110005 CEREJEIRAS";-;-;1;-;1;1;-;-;1;1;-;-;5
"110006 COLORADO DO OESTE";-;-;1;1;-;-;-;-;1;-;-;-;3
"110007 CORUMBIARA";-;-;-;-;-;-;-;-;1;-;-;-;1
"110008 COSTA MARQUES";-;-;-;-;-;-;-;-;1;-;-;-;1
"110009 ESPIGAO D'OESTE";3;1;2;-;1;-;-;-;1;-;-;1;9
"110010 GUAJARA-MIRIM";1;-;-;-;1;4;-;2;-;1;-;-;9
"110011 JARU";2;1;2;5;-;3;2;-;1;-;-;-;16
"110012 JI-PARANA";3;3;3;4;5;7;1;3;-;2;6;5;42
"110013 MACHADINHO D'OESTE";3;-;1;2;1;2;-;-;-;-;-;2;11
"110014 NOVA BRASILANDIA D'OESTE";2;-;-;-;-;-;-;1;2;-;1;-;6
"110015 OURO PRETO DO OESTE";-;-;1;3;1;-;-;2;2;1;-;-;10
"110018 PIMENTA BUENO";-;1;-;-;-;-;-;-;-;-;-;-;1
"110020 PORTO VELHO";10;-;6;16;10;5;5;2;3;5;2;5;69
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;-;-;1;-;-;1;2
"110026 RIO CRESPO";-;-;-;-;-;-;1;-;-;-;-;-;1
"110028 ROLIM DE MOURA";1;2;-;2;-;1;1;-;1;2;-;-;10
"110029 SANTA LUZIA D'OESTE";-;1;-;-;-;-;-;-;-;-;-;-;1
"110030 VILHENA";1;1;4;2;2;2;2;-;-;-;1;2;17
"110032 SAO MIGUEL DO GUAPORE";-;-;1;-;1;1;-;-;1;-;2;1;7
"110033 NOVA MAMORE";-;-;-;1;1;-;-;-;-;-;-;-;2
"110034 ALVORADA D'OESTE";-;-;-;-;1;1;-;-;-;2;-;-;4
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;1;-;-;-;1;1;-;-;-;3
"110040 ALTO PARAISO";1;-;1;1;-;1;2;-;-;-;1;1;8
"110045 BURITIS";5;2;2;3;3;5;2;3;1;1;-;-;27
"110060 CACAULANDIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"110080 CANDEIAS DO JAMARI";-;1;1;2;1;1;-;-;-;-;2;-;8
"110094 CUJUBIM";1;1;1;-;2;1;1;-;1;1;1;-;10
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;1;-;-;-;-;-;-;-;-;1
"110110 ITAPUA DO OESTE";-;-;1;1;-;-;-;-;-;-;-;-;2
"110120 MINISTRO ANDREAZZA";-;-;-;-;-;-;-;1;-;1;-;-;2
"110130 MIRANTE DA SERRA";-;-;-;1;-;-;2;1;-;-;-;-;4
"110140 MONTE NEGRO";-;1;2;1;1;-;-;2;1;-;-;-;8
"110143 NOVA UNIAO";-;-;-;1;-;1;-;-;-;-;-;-;2
"110145 PARECIS";-;1;-;-;-;-;-;-;-;-;-;-;1
"110147 PRIMAVERA DE RONDONIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"110148 SAO FELIPE D'OESTE";-;-;2;-;1;-;-;-;-;-;-;-;3
"110149 SAO FRANCISCO DO GUAPORE";-;1;2;-;1;-;-;2;-;-;-;-;6
"110150 SERINGUEIRAS";-;-;1;-;-;-;-;-;-;-;-;-;1
"110155 TEIXEIROPOLIS";-;-;1;1;-;-;-;-;-;-;-;-;2
"110170 URUPA";-;1;-;-;-;3;1;-;2;1;-;-;8
"110180 VALE DO PARAISO";-;-;-;-;-;-;-;1;-;1;-;-;2
"120001 ACRELANDIA";1;-;1;2;-;-;-;-;1;-;-;-;5
"120005 ASSIS BRASIL";-;-;-;1;-;-;-;-;-;1;1;-;3
"120010 BRASILEIA";-;-;1;-;4;-;3;-;1;-;-;-;9
"120013 BUJARI";-;-;1;4;1;2;1;-;-;-;2;-;11
"120017 CAPIXABA";2;-;-;1;-;-;1;-;-;-;-;-;4
"120020 CRUZEIRO DO SUL";2;7;4;2;8;4;7;2;2;-;1;4;43
"120025 EPITACIOLANDIA";-;-;-;3;2;-;-;-;-;1;-;-;6
"120030 FEIJO";-;1;-;-;-;-;-;-;-;-;1;-;2
"120032 JORDAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"120033 MANCIO LIMA";-;1;1;1;1;1;-;1;1;-;-;-;7
"120034 MANOEL URBANO";1;-;2;-;2;3;2;-;-;1;2;1;14
"120035 MARECHAL THAUMATURGO";-;-;1;-;1;-;-;-;-;-;-;-;2
"120038 PLACIDO DE CASTRO";-;2;-;-;1;1;-;-;-;-;1;-;5
"120039 PORTO WALTER";-;1;-;1;-;-;1;-;-;-;-;1;4
"120040 RIO BRANCO";7;4;2;3;7;7;2;7;2;2;4;5;52
"120042 RODRIGUES ALVES";2;1;-;-;2;1;-;-;-;-;-;-;6
"120043 SANTA ROSA DO PURUS";-;-;-;1;-;-;-;-;-;-;-;-;1
"120045 SENADOR GUIOMARD";-;1;-;-;1;-;-;-;-;-;-;-;2
"120050 SENA MADUREIRA";-;-;-;1;-;-;1;-;-;1;-;-;3
"120060 TARAUACA";-;2;2;2;3;4;2;2;1;-;-;1;19
"120070 XAPURI";2;1;-;2;-;-;-;-;-;-;1;-;6
