2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxogestacionalbr.def
Gestational Toxoplasmosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"110001 ALTA FLORESTA D'OESTE";2;2;3;-;-;-;-;7
"110002 ARIQUEMES";3;2;-;1;2;-;-;8
"110003 CABIXI";-;-;-;1;-;-;-;1
"110004 CACOAL";1;3;2;1;1;-;-;8
"110005 CEREJEIRAS";-;-;-;-;-;1;-;1
"110009 ESPIGAO D'OESTE";2;1;2;-;-;-;-;5
"110010 GUAJARA-MIRIM";1;-;-;-;-;2;-;3
"110011 JARU";1;1;1;1;-;3;-;7
"110012 JI-PARANA";2;2;2;2;3;2;1;14
"110013 MACHADINHO D'OESTE";-;-;1;-;-;-;-;1
"110014 NOVA BRASILANDIA D'OESTE";2;-;-;-;-;-;-;2
"110015 OURO PRETO DO OESTE";-;-;-;2;-;-;-;2
"110020 PORTO VELHO";6;-;4;6;6;4;-;26
"110028 ROLIM DE MOURA";-;1;-;-;-;1;-;2
"110029 SANTA LUZIA D'OESTE";-;1;-;-;-;-;-;1
"110030 VILHENA";1;1;3;-;-;-;-;5
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;1;-;1
"110033 NOVA MAMORE";-;-;-;1;-;-;-;1
"110034 ALVORADA D'OESTE";-;-;-;-;-;1;-;1
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;1;-;-;-;1
"110040 ALTO PARAISO";1;-;1;1;-;-;1;4
"110045 BURITIS";1;1;1;2;1;3;-;9
"110060 CACAULANDIA";-;-;1;-;-;-;-;1
"110080 CANDEIAS DO JAMARI";-;1;1;2;1;1;-;6
"110094 CUJUBIM";-;-;1;-;1;1;-;3
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;1;-;-;-;1
"110140 MONTE NEGRO";-;-;-;1;-;-;-;1
"110143 NOVA UNIAO";-;-;-;1;-;-;-;1
"110148 SAO FELIPE D'OESTE";-;-;1;-;1;-;-;2
"110149 SAO FRANCISCO DO GUAPORE";-;1;1;-;1;-;-;3
"110155 TEIXEIROPOLIS";-;-;-;1;-;-;-;1
"110170 URUPA";-;1;-;-;-;1;-;2
"120001 ACRELANDIA";-;-;1;1;-;-;-;2
"120010 BRASILEIA";-;-;1;-;-;-;-;1
"120013 BUJARI";-;-;1;4;1;2;1;9
"120017 CAPIXABA";2;-;-;1;-;-;-;3
"120020 CRUZEIRO DO SUL";2;6;3;1;-;1;1;14
"120025 EPITACIOLANDIA";-;-;-;3;1;-;-;4
"120030 FEIJO";-;1;-;-;-;-;-;1
"120033 MANCIO LIMA";-;1;1;1;-;1;-;4
"120034 MANOEL URBANO";1;-;2;-;-;3;1;7
"120035 MARECHAL THAUMATURGO";-;-;1;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;1;-;-;1;1;-;3
"120039 PORTO WALTER";-;1;-;-;-;-;-;1
"120040 RIO BRANCO";6;2;2;2;5;4;-;21
"120042 RODRIGUES ALVES";-;-;-;-;1;-;-;1
"120043 SANTA ROSA DO PURUS";-;-;-;1;-;-;-;1
"120045 SENADOR GUIOMARD";-;1;-;-;1;-;-;2
"120060 TARAUACA";-;2;1;2;1;-;-;6
"120070 XAPURI";1;1;-;1;-;-;-;3
"130014 APUI";-;-;-;1;-;-;-;1
"130165 GUAJARA";-;-;1;-;1;-;1;3
"130170 HUMAITA";-;-;-;1;1;-;-;2
"130180 IPIXUNA";-;-;-;1;-;-;-;1
"130185 IRANDUBA";-;1;-;-;1;-;-;2
"130250 MANACAPURU";1;1;-;-;-;-;-;2
"130260 MANAUS";2;2;8;10;12;11;2;47
"130270 MANICORE";-;1;-;-;-;-;-;1
"130340 PARINTINS";-;-;1;1;1;-;-;3
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;1;-;1;-;2
"130406 TABATINGA";-;-;-;1;-;-;-;1
"130420 TEFE";-;1;-;-;-;-;-;1
"130426 UARINI";-;-;1;-;-;-;-;1
"130430 URUCARA";-;-;1;-;-;-;-;1
"140002 AMAJARI";1;-;-;-;-;-;-;1
"140005 ALTO ALEGRE";-;-;1;-;-;-;-;1
"140010 BOA VISTA";3;7;7;2;9;8;-;36
"140015 BONFIM";-;-;1;-;1;-;-;2
"140023 CAROEBE";-;-;-;-;1;-;-;1
"140047 RORAINOPOLIS";-;-;-;-;-;1;-;1
"150010 ABAETETUBA";-;-;1;-;-;1;-;2
"150020 ACARA";-;-;2;1;-;-;-;3
"150034 AGUA AZUL DO NORTE";-;1;-;-;1;-;-;2
"150050 ALMEIRIM";-;-;-;-;-;1;-;1
"150060 ALTAMIRA";-;1;1;1;-;-;-;3
"150080 ANANINDEUA";-;1;-;2;1;1;-;5
"150120 BAIAO";-;-;-;-;1;-;-;1
"150125 BANNACH";-;1;-;-;-;-;-;1
"150130 BARCARENA";1;1;-;-;-;-;-;2
"150140 BELEM";-;1;1;-;-;-;-;2
"150157 BOM JESUS DO TOCANTINS";1;-;-;-;-;-;-;1
"150170 BRAGANCA";1;-;-;-;1;2;-;4
"150172 BRASIL NOVO";-;2;1;-;-;1;-;4
"150178 BREU BRANCO";1;-;1;-;-;-;1;3
"150180 BREVES";-;1;-;-;1;-;-;2
"150210 CAMETA";1;-;-;1;1;-;-;3
"150215 CANAA DOS CARAJAS";1;2;1;2;2;2;-;10
"150240 CASTANHAL";1;1;2;1;2;4;-;11
"150250 CHAVES";1;-;-;-;-;-;-;1
"150275 CONCORDIA DO PARA";-;-;-;2;1;-;-;3
"150285 CURUA";-;-;-;-;1;-;-;1
"150290 CURUCA";1;-;-;-;-;-;-;1
"150293 DOM ELISEU";-;-;1;-;1;1;1;4
"150295 ELDORADO DOS CARAJAS";1;-;2;-;1;-;-;4
"150304 FLORESTA DO ARAGUAIA";-;3;-;1;-;1;-;5
"150307 GARRAFAO DO NORTE";-;-;-;1;-;1;-;2
"150310 GURUPA";-;-;-;-;1;-;-;1
"150330 IGARAPE-MIRI";-;-;1;1;1;-;-;3
"150360 ITAITUBA";1;-;2;-;2;-;-;5
"150370 ITUPIRANGA";-;-;1;1;-;-;-;2
"150375 JACAREACANGA";1;-;-;-;-;-;-;1
"150380 JACUNDA";-;-;-;2;-;-;-;2
"150390 JURUTI";-;1;-;-;-;-;-;1
"150400 LIMOEIRO DO AJURU";-;-;-;-;1;1;-;2
"150405 MAE DO RIO";-;1;-;-;1;-;-;2
"150420 MARABA";1;-;-;-;-;-;-;1
"150430 MARACANA";1;-;-;-;-;-;-;1
"150450 MELGACO";-;-;-;-;-;1;-;1
"150460 MOCAJUBA";-;-;-;-;3;-;-;3
"150490 MUANA";-;-;-;-;10;-;-;10
"150500 NOVA TIMBOTEUA";-;2;-;-;-;-;-;2
"150503 NOVO PROGRESSO";-;-;-;-;-;-;1;1
"150506 NOVO REPARTIMENTO";1;-;-;-;-;1;-;2
"150510 OBIDOS";-;-;-;1;-;1;-;2
"150520 OEIRAS DO PARA";-;-;-;-;1;-;-;1
"150530 ORIXIMINA";-;-;-;-;1;-;-;1
"150543 OURILANDIA DO NORTE";-;-;1;-;-;1;-;2
"150548 PACAJA";-;1;1;-;-;-;-;2
"150549 PALESTINA DO PARA";-;-;1;-;-;-;-;1
"150550 PARAGOMINAS";-;1;-;1;1;-;-;3
"150553 PARAUAPEBAS";-;1;2;2;2;-;-;7
"150563 PICARRA";-;-;1;-;-;-;-;1
"150570 PONTA DE PEDRAS";-;-;-;-;-;1;-;1
"150580 PORTEL";-;-;-;-;1;-;-;1
"150590 PORTO DE MOZ";-;1;-;-;-;-;-;1
"150600 PRAINHA";-;-;3;2;-;-;-;5
"150613 REDENCAO";1;-;-;-;1;1;-;3
"150618 RONDON DO PARA";-;1;-;-;-;1;-;2
"150620 SALINOPOLIS";-;-;-;-;1;-;-;1
"150655 SANTA LUZIA DO PARA";-;-;-;1;-;-;-;1
"150670 SANTANA DO ARAGUAIA";-;-;-;1;-;2;-;3
"150680 SANTAREM";1;3;1;3;5;2;-;15
"150710 SAO CAETANO DE ODIVELAS";-;-;-;-;1;-;-;1
"150730 SAO FELIX DO XINGU";-;-;-;-;-;1;1;2
"150745 SAO GERALDO DO ARAGUAIA";-;-;1;-;-;-;-;1
"150746 SAO JOAO DA PONTA";-;1;1;-;-;-;-;2
"150760 SAO MIGUEL DO GUAMA";-;-;-;-;1;2;-;3
"150780 SENADOR JOSE PORFIRIO";-;-;-;-;-;1;-;1
"150790 SOURE";-;-;1;-;-;-;-;1
