2017
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/hepabr.def
Hepatitis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";4;3;6;2;1;-;4;3;2;-;2;2;29
"110002 ARIQUEMES";7;11;12;14;15;12;21;8;8;6;13;6;133
"110003 CABIXI";1;1;-;1;-;-;-;-;-;-;-;-;3
"110004 CACOAL";11;8;9;9;7;8;7;12;14;9;9;6;109
"110005 CEREJEIRAS";-;-;1;4;-;2;3;-;1;-;1;-;12
"110006 COLORADO DO OESTE";1;1;-;2;-;-;-;1;-;2;3;1;11
"110007 CORUMBIARA";-;-;-;-;1;-;2;1;-;-;3;1;8
"110008 COSTA MARQUES";-;-;1;2;1;1;2;-;-;-;-;-;7
"110009 ESPIGAO D'OESTE";5;1;3;2;2;4;2;2;6;3;7;1;38
"110010 GUAJARA-MIRIM";11;4;9;3;6;7;7;10;7;13;12;11;100
"110011 JARU";10;14;12;10;11;12;15;16;10;19;5;10;144
"110012 JI-PARANA";17;21;20;14;17;12;28;18;18;16;25;17;223
"110013 MACHADINHO D'OESTE";9;11;10;6;7;10;12;17;13;8;10;6;119
"110014 NOVA BRASILANDIA D'OESTE";2;4;-;2;3;-;3;1;4;2;1;-;22
"110015 OURO PRETO DO OESTE";2;5;4;5;1;8;3;9;2;6;3;7;55
"110018 PIMENTA BUENO";7;-;6;1;3;6;5;2;2;6;2;1;41
"110020 PORTO VELHO";82;64;73;59;58;62;79;66;58;73;54;46;774
"110025 PRESIDENTE MEDICI";2;-;4;2;3;1;1;2;5;2;2;1;25
"110026 RIO CRESPO";-;2;-;2;1;1;-;-;3;-;1;-;10
"110028 ROLIM DE MOURA";-;3;1;2;4;5;2;6;3;2;1;-;29
"110029 SANTA LUZIA D'OESTE";-;-;1;-;-;1;1;1;-;2;-;-;6
"110030 VILHENA";9;8;7;12;12;9;9;15;6;12;7;11;117
"110032 SAO MIGUEL DO GUAPORE";-;-;2;1;1;1;1;2;-;-;2;1;11
"110033 NOVA MAMORE";2;1;1;8;2;2;5;4;4;3;3;5;40
"110034 ALVORADA D'OESTE";-;-;1;1;-;1;-;2;1;-;2;-;8
"110037 ALTO ALEGRE DOS PARECIS";-;-;2;-;-;-;3;1;1;1;1;1;10
"110040 ALTO PARAISO";6;2;8;6;6;2;2;2;4;2;5;5;50
"110045 BURITIS";3;5;4;3;4;2;9;8;5;5;5;2;55
"110050 NOVO HORIZONTE DO OESTE";-;-;1;-;-;-;-;-;-;1;-;-;2
"110060 CACAULANDIA";1;-;-;2;-;2;1;-;-;-;1;-;7
"110070 CAMPO NOVO DE RONDONIA";3;1;3;-;1;-;5;4;3;1;5;-;26
"110080 CANDEIAS DO JAMARI";6;6;6;3;3;4;3;1;3;5;4;6;50
"110090 CASTANHEIRAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"110092 CHUPINGUAIA";-;1;1;-;-;1;-;1;1;1;2;5;13
"110094 CUJUBIM";1;-;2;2;-;1;2;-;-;2;-;-;10
"110100 GOVERNADOR JORGE TEIXEIRA";2;2;-;-;1;-;2;1;1;-;1;-;10
"110110 ITAPUA DO OESTE";2;-;-;-;1;1;-;-;1;2;2;1;10
"110120 MINISTRO ANDREAZZA";1;1;1;1;1;-;-;-;1;-;2;1;9
"110130 MIRANTE DA SERRA";1;2;-;-;1;2;1;2;-;2;-;-;11
"110140 MONTE NEGRO";5;-;6;3;4;4;5;2;1;7;6;4;47
"110143 NOVA UNIAO";1;-;-;1;-;-;-;-;-;-;-;-;2
"110145 PARECIS";-;-;-;-;-;-;-;2;-;-;1;2;5
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;1;-;1;-;-;-;-;2
"110148 SAO FELIPE D'OESTE";-;1;-;-;-;-;-;-;-;1;-;-;2
"110149 SAO FRANCISCO DO GUAPORE";2;1;1;4;2;3;5;5;2;2;1;1;29
"110150 SERINGUEIRAS";2;3;1;-;1;1;1;1;1;-;3;1;15
"110155 TEIXEIROPOLIS";3;-;2;-;-;-;1;-;-;-;2;-;8
"110160 THEOBROMA";-;1;2;-;-;1;1;2;2;-;3;-;12
"110170 URUPA";1;-;2;6;1;-;4;1;1;-;3;1;20
"110175 VALE DO ANARI";1;-;-;1;1;-;3;-;1;1;-;1;9
"110180 VALE DO PARAISO";1;2;-;-;2;-;1;1;2;2;1;1;13
"120001 ACRELANDIA";6;1;2;1;-;2;2;2;1;1;1;1;20
"120005 ASSIS BRASIL";-;1;-;-;-;-;-;1;-;-;-;-;2
"120010 BRASILEIA";1;1;2;3;1;-;4;-;-;-;2;-;14
"120013 BUJARI";-;-;-;-;-;-;1;-;-;2;2;-;5
"120017 CAPIXABA";1;-;2;1;3;1;1;2;-;2;2;1;16
"120020 CRUZEIRO DO SUL";12;28;15;23;22;8;28;20;17;19;12;10;214
"120025 EPITACIOLANDIA";-;1;2;1;4;1;2;5;1;4;2;-;23
"120030 FEIJO";4;8;7;8;2;7;4;7;6;2;7;5;67
"120032 JORDAO";-;-;-;-;-;1;-;-;1;2;2;1;7
"120033 MANCIO LIMA";2;5;2;-;2;4;5;4;4;-;2;-;30
"120034 MANOEL URBANO";2;-;-;-;3;3;7;3;-;-;-;1;19
"120035 MARECHAL THAUMATURGO";4;1;4;1;2;1;3;2;1;3;3;2;27
"120038 PLACIDO DE CASTRO";2;6;-;1;2;2;3;-;2;2;2;2;24
"120039 PORTO WALTER";3;4;3;3;3;4;8;15;2;4;4;8;61
"120040 RIO BRANCO";51;56;43;55;56;53;61;70;56;72;63;68;704
"120042 RODRIGUES ALVES";14;12;8;3;4;3;2;12;12;-;4;1;75
"120043 SANTA ROSA DO PURUS";-;-;1;-;-;-;-;-;1;1;-;1;4
"120045 SENADOR GUIOMARD";2;4;4;2;1;4;3;7;2;7;5;3;44
"120050 SENA MADUREIRA";22;19;10;11;18;15;24;32;16;18;21;14;220
"120060 TARAUACA";1;6;3;2;7;8;2;5;7;11;13;2;67
"120070 XAPURI";-;-;-;1;-;-;-;-;-;2;-;-;3
"120080 PORTO ACRE";3;1;3;-;3;1;1;3;1;1;3;2;22
"130002 ALVARAES";1;-;1;-;-;-;-;-;1;-;-;-;3
