2010
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/influbr.def
Influenza
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110002 ARIQUEMES";-;-;-;2;1;-;-;-;-;-;-;-;3
"110004 CACOAL";-;-;1;-;-;-;-;-;-;-;-;-;1
"110010 GUAJARA-MIRIM";1;-;30;31;-;1;-;-;-;-;-;-;63
"110012 JI-PARANA";-;-;1;-;-;-;-;-;-;-;-;-;1
"110020 PORTO VELHO";1;-;5;14;4;1;-;1;-;-;-;-;26
"110026 RIO CRESPO";-;-;1;-;-;-;-;-;-;-;-;-;1
"110030 VILHENA";-;-;-;1;-;-;-;-;-;-;-;-;1
"110040 ALTO PARAISO";-;-;-;2;-;-;-;-;-;-;-;-;2
"110080 CANDEIAS DO JAMARI";-;1;-;-;-;-;-;-;-;-;-;-;1
"110120 MINISTRO ANDREAZZA";-;-;-;-;1;-;-;-;-;-;-;-;1
"120001 ACRELANDIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"120020 CRUZEIRO DO SUL";-;-;-;1;-;-;-;-;-;-;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;-;-;1;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;-;-;-;2;-;-;-;-;-;-;-;2
"120040 RIO BRANCO";4;7;11;5;1;1;2;-;1;1;1;-;34
"120043 SANTA ROSA DO PURUS";-;-;1;-;-;-;-;-;-;-;-;-;1
"120045 SENADOR GUIOMARD";-;-;1;-;-;-;-;-;-;-;-;-;1
"120050 SENA MADUREIRA";-;-;1;-;-;-;-;1;-;-;-;-;2
"120080 PORTO ACRE";-;-;-;-;-;1;-;-;-;-;-;-;1
"130030 AUTAZES";-;-;1;-;-;-;-;-;-;-;-;-;1
"130050 BARREIRINHA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130070 BOCA DO ACRE";-;1;-;-;-;-;-;-;-;-;-;-;1
"130083 CAAPIRANGA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130110 CAREIRO";-;-;1;-;-;-;-;-;-;-;-;-;1
"130115 CAREIRO DA VARZEA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130185 IRANDUBA";-;-;1;-;-;-;-;-;-;-;-;-;1
"130250 MANACAPURU";-;2;-;-;-;-;-;-;-;-;-;-;2
"130260 MANAUS";9;12;27;13;5;3;3;-;-;-;-;-;72
"130350 PAUINI";-;-;-;1;-;-;-;-;-;-;-;-;1
"130353 PRESIDENTE FIGUEIREDO";-;1;-;-;-;-;-;-;-;-;-;-;1
"150010 ABAETETUBA";-;2;2;3;-;-;-;-;-;-;-;-;7
"150060 ALTAMIRA";-;2;-;-;-;-;-;-;-;-;-;-;2
"150080 ANANINDEUA";4;17;40;29;7;-;-;1;-;-;-;1;99
"150100 AVEIRO";-;-;-;-;1;-;-;-;-;-;-;-;1
"150120 BAIAO";-;-;1;-;-;-;-;-;-;-;-;-;1
"150130 BARCARENA";-;3;16;3;-;-;-;-;-;-;1;-;23
"150140 BELEM";20;68;169;87;26;5;1;1;2;2;1;9;391
"150150 BENEVIDES";1;3;3;2;1;2;-;-;-;-;-;-;12
"150160 BONITO";-;-;-;-;-;1;-;-;-;-;-;-;1
"150170 BRAGANCA";-;4;1;1;-;-;-;-;1;-;-;-;7
"150178 BREU BRANCO";-;-;-;-;-;1;-;-;-;-;-;-;1
"150180 BREVES";-;-;-;2;2;-;-;-;-;-;-;-;4
"150210 CAMETA";-;7;4;1;-;-;-;-;-;-;-;-;12
"150215 CANAA DOS CARAJAS";-;-;2;-;-;-;-;-;-;-;1;-;3
"150220 CAPANEMA";-;1;3;-;-;-;-;-;-;-;-;-;4
"150230 CAPITAO POCO";-;-;-;-;-;-;-;-;-;-;1;-;1
"150240 CASTANHAL";-;2;18;15;1;1;-;-;-;-;-;-;37
"150270 CONCEICAO DO ARAGUAIA";-;2;-;-;-;-;-;-;-;-;-;-;2
"150280 CURRALINHO";-;-;1;2;-;-;-;-;-;-;-;-;3
"150290 CURUCA";-;1;13;6;-;-;-;-;-;-;-;-;20
"150309 GOIANESIA DO PARA";-;-;1;2;-;-;-;-;-;-;-;-;3
"150320 IGARAPE-ACU";-;-;-;1;-;-;-;-;-;-;-;-;1
"150330 IGARAPE-MIRI";-;-;4;-;-;-;-;-;-;-;-;-;4
"150345 IPIXUNA DO PARA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150350 IRITUIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150360 ITAITUBA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150380 JACUNDA";-;-;1;1;1;-;-;-;-;-;-;-;3
"150405 MAE DO RIO";-;-;1;-;-;-;-;-;-;-;-;-;1
"150420 MARABA";-;-;3;-;-;-;-;-;-;-;-;-;3
"150440 MARAPANIM";-;-;-;1;-;-;-;-;-;-;-;-;1
"150442 MARITUBA";-;8;14;7;2;1;-;1;-;-;-;-;33
"150450 MELGACO";-;-;-;1;-;-;-;-;-;-;-;-;1
"150470 MOJU";-;-;1;-;-;-;-;-;-;-;-;-;1
"150506 NOVO REPARTIMENTO";-;-;1;2;2;-;-;-;-;-;-;-;5
"150510 OBIDOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"150520 OEIRAS DO PARA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150530 ORIXIMINA";-;-;-;6;-;-;-;-;-;-;-;1;7
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"150548 PACAJA";-;-;2;-;-;-;-;-;-;-;-;-;2
"150550 PARAGOMINAS";-;-;3;-;-;-;-;-;-;-;-;-;3
"150553 PARAUAPEBAS";-;6;16;-;1;-;-;-;-;-;-;-;23
"150580 PORTEL";-;-;-;1;-;-;-;-;-;-;-;-;1
"150613 REDENCAO";1;-;1;-;1;-;-;-;-;-;-;-;3
"150616 RIO MARIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"150618 RONDON DO PARA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150620 SALINOPOLIS";-;1;1;-;-;-;-;-;-;-;-;-;2
"150635 SANTA BARBARA DO PARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150650 SANTA IZABEL DO PARA";-;-;4;1;-;-;-;1;-;-;-;-;6
"150660 SANTA MARIA DO PARA";-;-;1;1;-;1;-;-;-;-;-;-;3
"150670 SANTANA DO ARAGUAIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150680 SANTAREM";-;3;10;1;-;-;-;1;-;-;-;-;15
"150700 SANTO ANTONIO DO TAUA";-;-;-;2;-;-;-;-;-;-;-;-;2
"150720 SAO DOMINGOS DO CAPIM";-;2;1;1;-;1;-;-;-;-;-;-;5
"150760 SAO MIGUEL DO GUAMA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150795 TAILANDIA";-;-;3;2;2;-;-;-;-;-;-;-;7
"150796 TERRA ALTA";-;-;1;1;-;-;-;-;-;-;-;-;2
"150800 TOME-ACU";-;-;2;1;-;-;-;-;-;-;-;-;3
"150803 TRACUATEUA";-;-;1;1;-;-;-;-;-;-;-;-;2
"150810 TUCURUI";-;5;7;4;4;-;-;-;-;-;-;-;20
"150820 VIGIA";-;1;1;-;-;-;-;-;-;-;-;-;2
"150830 VISEU";-;-;1;-;-;-;-;-;-;-;-;-;1
"160025 ITAUBAL";-;-;-;-;-;-;1;-;-;-;-;-;1
"160027 LARANJAL DO JARI";-;-;1;-;-;-;-;-;-;-;-;-;1
"160030 MACAPA";1;3;6;12;5;1;1;-;-;-;-;-;29
"160053 PORTO GRANDE";-;-;-;-;-;1;-;-;-;-;-;-;1
"160060 SANTANA";-;-;1;-;-;-;-;-;-;-;-;-;1
"160070 TARTARUGALZINHO";-;-;1;-;-;-;-;-;-;-;-;-;1
"170070 ALVORADA";-;-;-;-;-;-;-;-;-;-;-;1;1
"170210 ARAGUAINA";-;-;-;-;1;-;-;-;-;-;-;-;1
"170307 BARRA DO OURO";-;-;-;1;-;-;-;-;-;-;-;-;1
"170610 CRISTALANDIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"170740 ESPERANTINA";-;1;-;-;-;-;-;-;-;-;-;-;1
"170765 FIGUEIROPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;1
"171575 PALMEIROPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;1
"171610 PARAISO DO TOCANTINS";-;1;-;-;1;-;-;-;-;-;-;-;2
"171620 PARANA";-;-;1;-;-;-;-;-;-;-;-;-;1
"171650 PEDRO AFONSO";-;-;1;-;-;-;-;-;-;-;-;-;1
"172015 SAO FELIX DO TOCANTINS";-;-;-;1;-;-;-;-;-;-;-;-;1
"172100 PALMAS";-;1;1;-;1;1;1;1;-;-;-;1;7
"172110 TOCANTINIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"172120 TOCANTINOPOLIS";-;-;-;-;1;-;-;-;-;-;-;-;1
"210005 ACAILANDIA";-;-;4;-;-;-;-;-;-;-;-;-;4
"210055 AMAPA DO MARANHAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"210110 AXIXA";-;-;1;1;-;-;-;-;-;-;-;-;2
"210120 BACABAL";-;-;1;-;-;-;-;-;-;-;-;-;1
"210140 BALSAS";-;-;1;-;-;-;-;-;-;-;-;-;1
"210210 BREJO";-;-;1;-;-;-;-;-;-;-;-;-;1
"210275 CAPINZAL DO NORTE";-;-;1;-;-;-;-;-;-;-;-;-;1
"210320 CHAPADINHA";-;-;1;-;-;-;-;-;-;-;-;-;1
