2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/leptobr.def
Leptospirosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1
"110045 Buritis";-;-;-;-;-;-;-;-;-;1;-;-;1
"110004 Cacoal";-;-;1;-;-;-;-;1;-;-;-;-;2
"110070 Campo Novo de Rondônia";-;-;-;-;1;-;-;-;-;-;-;-;1
"110080 Candeias do Jamari";-;-;1;-;-;-;-;-;-;-;-;-;1
"110006 Colorado do Oeste";-;-;-;-;-;-;-;-;-;-;-;1;1
"110011 Jaru";-;1;-;1;-;-;-;-;-;-;-;-;2
"110012 Ji-Paraná";-;1;-;-;-;-;-;-;1;-;-;-;2
"110013 Machadinho D'Oeste";-;1;-;-;1;-;-;-;-;-;-;-;2
"110140 Monte Negro";-;-;-;-;1;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;-;1;-;-;-;-;-;-;1;-;-;2
"110020 Porto Velho";1;-;2;-;-;1;1;1;-;1;-;-;7
"110155 Teixeirópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"110170 Urupá";-;-;-;1;-;1;-;-;-;-;-;-;2
"120001 Acrelândia";-;-;-;-;-;1;-;-;-;-;-;-;1
"120005 Assis Brasil";-;-;-;1;-;-;-;-;-;-;-;-;1
"120010 Brasiléia";-;-;-;-;-;-;-;-;-;-;-;1;1
"120013 Bujari";-;-;-;-;1;-;-;-;-;-;-;-;1
"120017 Capixaba";-;1;-;-;-;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";11;4;9;6;8;5;6;9;3;3;16;8;88
"120025 Epitaciolândia";-;-;1;1;-;-;-;-;-;-;-;-;2
"120030 Feijó";-;1;-;-;-;-;1;1;1;-;-;1;5
"120033 Mâncio Lima";-;-;2;-;1;4;1;-;-;-;3;-;11
"120034 Manoel Urbano";-;-;-;-;-;1;-;-;-;-;-;-;1
"120035 Marechal Thaumaturgo";-;-;2;1;2;1;1;-;1;-;1;1;10
"120080 Porto Acre";-;-;-;-;-;-;-;-;-;-;1;-;1
"120039 Porto Walter";1;1;-;1;-;-;-;-;-;1;-;-;4
"120040 Rio Branco";9;11;12;4;7;4;8;4;1;1;4;8;73
