2010
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/malabr.def
Malaria
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110002 ARIQUEMES";-;2;1;2;-;-;-;1;-;1;3;-;2;12
"110004 CACOAL";-;1;-;1;-;2;1;2;-;1;1;1;1;11
"110005 CEREJEIRAS";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"110009 ESPIGAO D'OESTE";-;-;-;-;-;1;-;-;-;-;-;-;1;2
"110010 GUAJARA-MIRIM";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110011 JARU";-;-;1;-;-;-;-;-;-;-;-;-;1;2
"110012 JI-PARANA";-;2;1;-;1;-;1;3;1;-;1;-;2;12
"110013 MACHADINHO D'OESTE";-;-;-;-;1;1;1;1;1;-;-;1;2;8
"110015 OURO PRETO DO OESTE";-;1;1;-;-;-;-;-;1;-;-;-;-;3
"110020 PORTO VELHO";-;29;13;5;5;6;2;10;9;8;15;12;24;138
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"110028 ROLIM DE MOURA";-;2;-;-;-;-;-;-;-;-;1;-;-;3
"110030 VILHENA";-;-;-;-;-;-;2;-;1;-;-;-;1;4
"110033 NOVA MAMORE";-;2;-;-;-;-;-;-;-;1;-;-;1;4
"110037 ALTO ALEGRE DOS PARECIS";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"110045 BURITIS";-;-;-;-;-;-;-;-;1;-;-;-;1;2
"110070 CAMPO NOVO DE RONDONIA";-;1;-;-;-;-;-;-;-;-;-;-;1;2
"110080 CANDEIAS DO JAMARI";-;2;1;-;-;2;-;3;-;1;-;-;2;11
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110110 ITAPUA DO OESTE";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110140 MONTE NEGRO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110175 VALE DO ANARI";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"120020 CRUZEIRO DO SUL";-;-;1;-;-;1;-;-;-;2;-;-;3;7
"120042 RODRIGUES ALVES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"120080 PORTO ACRE";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";-;-;1;1;-;-;1;-;-;-;-;1;1;5
"130020 ATALAIA DO NORTE";-;1;-;-;-;-;-;-;-;-;-;-;1;2
"130040 BARCELOS";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"130070 BOCA DO ACRE";-;1;-;2;-;-;-;1;-;-;-;-;-;4
"130090 CANUTAMA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"130100 CARAUARI";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"130110 CAREIRO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130120 COARI";-;1;-;-;1;-;-;-;1;-;-;-;-;3
"130170 HUMAITA";-;1;-;-;2;-;-;-;-;-;-;1;-;4
"130180 IPIXUNA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130185 IRANDUBA";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"130210 JAPURA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130240 LABREA";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"130250 MANACAPURU";-;-;-;-;-;-;-;1;-;-;-;-;1;2
"130260 MANAUS";-;14;4;4;7;3;4;6;5;8;4;4;9;72
"130270 MANICORE";-;1;-;-;-;-;-;-;-;-;-;-;1;2
"130300 NHAMUNDA";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"130350 PAUINI";-;1;4;-;-;-;-;-;-;-;-;-;2;7
"130356 RIO PRETO DA EVA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130380 SAO GABRIEL DA CACHOEIRA";-;5;1;2;1;2;-;1;-;2;2;3;4;23
"130406 TABATINGA";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"130420 TEFE";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130426 UARINI";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"140005 ALTO ALEGRE";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"140010 BOA VISTA";-;9;3;9;3;3;6;7;-;5;4;2;5;56
"140017 CANTA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"140020 CARACARAI";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"140045 PACARAIMA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"140047 RORAINOPOLIS";-;-;-;-;-;2;-;-;2;-;-;-;1;5
"140050 SAO JOAO DA BALIZA";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150050 ALMEIRIM";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150060 ALTAMIRA";-;-;1;-;1;-;-;-;-;-;-;-;2;4
"150085 ANAPU";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150140 BELEM";-;2;1;-;-;-;-;1;2;1;1;-;1;9
"150172 BRASIL NOVO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150295 ELDORADO DOS CARAJAS";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"150309 GOIANESIA DO PARA";-;-;-;-;-;1;-;-;-;-;1;1;-;3
"150360 ITAITUBA";-;9;1;-;2;1;-;4;1;2;5;-;3;28
"150375 JACAREACANGA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150420 MARABA";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"150503 NOVO PROGRESSO";-;-;-;1;-;-;-;-;-;-;1;1;1;4
"150543 OURILANDIA DO NORTE";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"150548 PACAJA";-;1;-;-;1;1;-;-;-;-;1;-;-;4
"150550 PARAGOMINAS";-;1;-;-;-;-;-;-;-;-;-;1;-;2
"150553 PARAUAPEBAS";-;-;1;-;-;-;-;1;-;-;-;-;-;2
"150680 SANTAREM";-;2;-;-;-;-;-;1;-;-;-;-;3;6
"150805 TRAIRAO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150810 TUCURUI";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150815 URUARA";-;-;-;-;-;-;-;-;-;-;-;-;1;1
