2007
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/exantbr.def
Measles and Rubella
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;-;-;-;1;-;-;1
"110004 CACOAL";-;-;-;-;-;-;-;-;1;-;1;-;2
"110011 JARU";-;-;-;-;-;-;1;-;-;-;-;-;1
"110012 JI-PARANA";-;-;-;-;-;-;1;-;-;-;-;-;1
"110020 PORTO VELHO";-;-;-;-;-;1;-;-;-;-;-;-;1
"110030 VILHENA";1;1;4;-;-;-;-;-;-;-;-;-;6
"110032 SAO MIGUEL DO GUAPORE";2;-;-;-;-;-;-;-;-;-;-;-;2
"110143 NOVA UNIAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;4;-;-;-;-;4
"120040 RIO BRANCO";-;-;-;-;-;1;-;-;-;-;-;-;1
"130008 ANAMA";-;-;-;-;-;-;1;4;-;-;-;-;5
"130010 ANORI";-;-;-;-;-;2;-;-;-;-;-;-;2
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;1;2;-;-;-;3
"130030 AUTAZES";-;-;-;-;-;4;12;12;-;-;-;-;28
"130040 BARCELOS";-;-;-;-;-;1;-;1;-;-;-;-;2
"130063 BERURI";-;-;-;-;-;1;6;1;-;5;-;-;13
"130080 BORBA";-;-;-;-;-;-;1;2;-;-;-;-;3
"130083 CAAPIRANGA";-;-;-;-;-;1;2;1;-;-;-;-;4
"130100 CARAUARI";-;-;-;-;-;-;-;1;-;-;-;-;1
"130110 CAREIRO";-;-;-;-;-;3;7;8;2;-;-;-;20
"130115 CAREIRO DA VARZEA";-;-;-;-;-;5;9;2;-;2;-;-;18
"130120 COARI";1;-;-;-;-;2;21;42;24;4;6;2;102
"130130 CODAJAS";-;-;-;-;-;-;1;-;-;8;5;-;14
"130140 EIRUNEPE";-;-;-;1;-;1;-;-;-;-;-;-;2
"130160 FONTE BOA";-;-;-;-;-;-;1;-;-;-;-;-;1
"130185 IRANDUBA";-;-;-;1;2;6;25;28;3;1;-;-;66
"130190 ITACOATIARA";-;-;-;-;2;10;38;43;41;9;-;-;143
"130200 ITAPIRANGA";-;-;-;-;-;-;-;1;-;-;-;-;1
"130220 JURUA";-;-;-;-;1;-;14;29;14;1;-;-;59
"130240 LABREA";-;-;-;-;-;-;1;3;-;2;-;-;6
"130250 MANACAPURU";-;-;-;3;104;392;275;146;19;5;2;-;946
"130255 MANAQUIRI";-;-;-;-;-;-;8;-;-;-;-;-;8
"130260 MANAUS";5;5;52;141;534;1572;2870;1515;348;109;11;2;7164
"130270 MANICORE";-;-;-;-;-;1;-;1;-;-;-;-;2
"130290 MAUES";-;-;-;-;1;-;3;10;11;4;1;-;30
"130300 NHAMUNDA";-;-;-;-;-;-;3;3;-;-;-;-;6
"130310 NOVA OLINDA DO NORTE";-;-;-;-;-;-;2;-;1;-;-;-;3
"130320 NOVO AIRAO";-;-;-;1;-;2;13;8;6;3;-;-;33
"130330 NOVO ARIPUANA";-;-;-;-;-;-;-;1;2;-;-;-;3
"130340 PARINTINS";-;-;-;-;-;-;3;8;4;-;-;-;15
"130353 PRESIDENTE FIGUEIREDO";-;-;-;-;-;4;9;5;1;-;-;-;19
"130356 RIO PRETO DA EVA";-;-;-;-;5;9;13;1;-;-;-;-;28
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;-;-;-;-;-;1;-;-;-;1
"130400 SILVES";-;-;-;-;-;-;-;1;-;-;-;-;1
"130406 TABATINGA";-;-;-;-;-;1;-;-;1;-;-;-;2
"130410 TAPAUA";-;-;-;-;-;-;5;-;-;-;-;-;5
"130420 TEFE";-;-;-;-;-;-;7;2;11;14;4;-;38
"130423 TONANTINS";-;-;-;-;-;-;-;3;-;-;-;-;3
"130430 URUCARA";-;-;-;-;-;-;1;-;-;-;-;-;1
"130440 URUCURITUBA";-;-;-;-;-;1;-;-;-;-;-;-;1
"140002 AMAJARI";-;-;1;2;5;2;5;-;-;-;-;-;15
"140005 ALTO ALEGRE";-;-;3;-;-;-;-;-;-;-;-;-;3
"140010 BOA VISTA";1;25;96;29;5;2;10;8;-;4;1;-;181
"140017 CANTA";-;-;5;-;-;-;-;1;1;-;-;-;7
"140020 CARACARAI";-;-;-;-;1;-;-;-;-;-;-;-;1
"140030 MUCAJAI";-;-;-;-;-;-;-;-;1;-;-;-;1
"140045 PACARAIMA";-;6;40;5;-;1;-;1;-;-;-;-;53
"140047 RORAINOPOLIS";-;-;1;8;-;-;1;3;-;1;-;-;14
"140050 SAO JOAO DA BALIZA";-;-;-;-;-;-;-;1;-;-;1;-;2
"150010 ABAETETUBA";16;52;108;14;3;-;1;-;-;1;-;-;195
"150020 ACARA";3;14;17;7;-;-;-;-;-;-;3;2;46
"150030 AFUA";37;32;10;25;15;1;3;6;13;3;2;14;161
"150040 ALENQUER";-;-;1;-;-;-;-;1;-;-;-;-;2
"150050 ALMEIRIM";-;-;-;1;-;-;-;-;-;-;-;-;1
