2016
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Casos confirmados"
"110001 ALTA FLORESTA D'OESTE";8
"110002 ARIQUEMES";16
"110004 CACOAL";36
"110005 CEREJEIRAS";6
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";10
"110010 GUAJARA-MIRIM";10
"110011 JARU";5
"110012 JI-PARANA";18
"110013 MACHADINHO D'OESTE";7
"110014 NOVA BRASILANDIA D'OESTE";5
"110015 OURO PRETO DO OESTE";8
"110018 PIMENTA BUENO";7
"110020 PORTO VELHO";129
"110025 PRESIDENTE MEDICI";3
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";19
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";17
"110032 SAO MIGUEL DO GUAPORE";3
"110033 NOVA MAMORE";11
"110034 ALVORADA D'OESTE";2
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";1
"110045 BURITIS";2
"110050 NOVO HORIZONTE DO OESTE";1
"110080 CANDEIAS DO JAMARI";5
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";3
"110100 GOVERNADOR JORGE TEIXEIRA";2
"110110 ITAPUA DO OESTE";3
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";5
"110143 NOVA UNIAO";1
"110145 PARECIS";2
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";4
"110160 THEOBROMA";1
"110170 URUPA";1
"110180 VALE DO PARAISO";3
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";2
"120013 BUJARI";3
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";11
"120025 EPITACIOLANDIA";3
"120030 FEIJO";12
"120032 JORDAO";1
"120033 MANCIO LIMA";2
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";1
"120039 PORTO WALTER";2
"120040 RIO BRANCO";72
"120042 RODRIGUES ALVES";2
"120043 SANTA ROSA DO PURUS";3
"120045 SENADOR GUIOMARD";9
"120050 SENA MADUREIRA";4
"120060 TARAUACA";10
"120070 XAPURI";1
"120080 PORTO ACRE";3
"130002 ALVARAES";3
"130006 AMATURA";1
"130008 ANAMA";1
"130010 ANORI";3
"130030 AUTAZES";6
"130040 BARCELOS";2
"130050 BARREIRINHA";6
"130060 BENJAMIN CONSTANT";3
"130063 BERURI";1
"130068 BOA VISTA DO RAMOS";3
"130070 BOCA DO ACRE";7
"130080 BORBA";7
"130100 CARAUARI";2
"130110 CAREIRO";11
"130115 CAREIRO DA VARZEA";7
"130120 COARI";5
"130130 CODAJAS";4
"130140 EIRUNEPE";2
"130150 ENVIRA";2
"130160 FONTE BOA";1
"130165 GUAJARA";6
"130170 HUMAITA";13
"130180 IPIXUNA";4
"130185 IRANDUBA";8
"130190 ITACOATIARA";13
"130240 LABREA";8
"130250 MANACAPURU";19
"130260 MANAUS";841
"130270 MANICORE";4
"130280 MARAA";1
