2016
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/dermbr.def
Occupational Dermatoses
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 CACOAL";-;-;1;-;3;-;-;-;-;1;-;-;5
"110007 CORUMBIARA";-;-;-;-;1;-;-;-;-;-;-;-;1
"110011 JARU";-;-;-;-;-;-;-;-;-;1;-;-;1
"110012 JI-PARANA";-;-;-;-;-;-;-;1;1;-;-;-;2
"110020 PORTO VELHO";1;-;-;-;2;-;-;-;-;-;-;-;3
"110030 VILHENA";-;-;-;-;1;-;-;-;-;-;-;-;1
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;1;-;-;-;-;-;-;1
"110080 CANDEIAS DO JAMARI";-;-;-;-;-;-;-;-;1;-;-;-;1
"110092 CHUPINGUAIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"110094 CUJUBIM";-;-;1;2;3;2;-;-;-;-;-;-;8
"120025 EPITACIOLANDIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;-;-;-;-;-;1;2;-;-;-;-;3
"120040 RIO BRANCO";-;2;-;-;1;2;-;-;-;-;-;-;5
"130014 APUI";-;-;-;-;-;1;-;-;-;-;-;-;1
"130040 BARCELOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"130060 BENJAMIN CONSTANT";-;-;-;1;-;-;-;-;-;-;-;-;1
"130185 IRANDUBA";-;1;-;-;1;2;-;1;-;-;2;-;7
"130190 ITACOATIARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"130200 ITAPIRANGA";-;-;-;-;-;-;-;1;-;-;-;-;1
"130260 MANAUS";-;1;-;-;1;-;-;-;1;1;-;-;4
"130310 NOVA OLINDA DO NORTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"130420 TEFE";-;-;-;2;1;-;2;2;1;-;1;-;9
"130430 URUCARA";1;-;-;-;-;-;-;-;-;-;-;-;1
"140002 AMAJARI";-;-;-;-;-;-;-;-;1;-;-;-;1
"140010 BOA VISTA";-;-;-;-;-;-;-;-;-;2;2;-;4
"140047 RORAINOPOLIS";-;1;-;-;-;-;-;-;-;-;-;-;1
"150060 ALTAMIRA";-;-;-;-;-;-;-;2;-;-;-;-;2
"150080 ANANINDEUA";-;1;-;-;-;-;-;-;1;-;-;-;2
"150085 ANAPU";-;1;-;-;-;-;-;-;1;-;1;-;3
"150140 BELEM";-;-;-;-;-;-;-;-;2;-;-;-;2
"150178 BREU BRANCO";-;-;-;-;-;-;-;-;-;1;-;-;1
"150215 CANAA DOS CARAJAS";-;-;-;-;-;2;-;2;-;-;-;-;4
"150270 CONCEICAO DO ARAGUAIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"150304 FLORESTA DO ARAGUAIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150442 MARITUBA";-;-;-;-;-;2;-;-;-;-;-;-;2
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"150610 PRIMAVERA";-;-;-;-;-;-;-;1;-;-;-;-;1
"150613 REDENCAO";-;-;-;-;-;-;-;-;-;-;5;-;5
"150680 SANTAREM";-;-;-;-;-;1;-;-;-;1;-;-;2
"150780 SENADOR JOSE PORFIRIO";-;-;-;-;-;-;-;1;-;-;-;-;1
"150810 TUCURUI";2;4;4;1;3;1;1;1;3;1;-;-;21
"150840 XINGUARA";1;-;-;-;-;-;-;-;-;-;-;-;1
"160030 MACAPA";-;1;-;-;-;-;-;-;-;-;-;-;1
