2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/pneubr.def
Pneumoconiosis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 CACOAL";-;-;-;-;-;-;-;1;-;1;-;-;2
"110020 PORTO VELHO";-;-;-;-;1;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;-;-;-;-;-;-;-;1;-;-;-;1
"130260 MANAUS";-;-;-;1;-;-;-;1;-;-;-;1;3
"130420 TEFE";-;-;-;-;-;-;-;2;-;-;-;-;2
"140010 BOA VISTA";-;-;-;-;-;-;-;1;-;1;1;1;4
"140017 CANTA";-;-;-;-;-;-;-;-;1;-;-;-;1
"140020 CARACARAI";-;-;-;1;-;-;-;-;-;-;-;-;1
"140047 RORAINOPOLIS";-;-;-;-;-;1;-;-;-;-;-;-;1
"150060 ALTAMIRA";-;-;1;-;-;1;-;2;-;-;1;-;5
"150085 ANAPU";1;-;-;-;-;-;-;1;-;-;-;-;2
"150270 CONCEICAO DO ARAGUAIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150360 ITAITUBA";-;-;-;-;1;-;-;-;-;-;-;-;1
"150442 MARITUBA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150548 PACAJA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150680 SANTAREM";-;-;-;-;1;-;-;-;-;-;-;-;1
"150780 SENADOR JOSE PORFIRIO";-;-;1;-;-;-;-;-;-;-;-;-;1
"150815 URUARA";-;-;-;-;-;-;-;-;1;-;-;-;1
"170510 CHAPADA DA NATIVIDADE";-;-;1;-;-;-;-;1;-;-;-;-;2
"170560 CONCEICAO DO TOCANTINS";-;-;-;-;1;-;1;-;-;-;-;-;2
"170710 DIVINOPOLIS DO TOCANTINS";-;1;-;-;-;-;-;-;-;-;-;-;1
"171620 PARANA";-;-;-;-;-;-;-;-;-;-;-;1;1
"171820 PORTO NACIONAL";-;-;-;-;-;-;-;1;-;-;-;-;1
"172100 PALMAS";-;-;1;1;-;-;-;-;-;-;-;-;2
"172120 TOCANTINOPOLIS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210520 IGARAPE GRANDE";-;-;1;-;-;-;-;-;-;-;-;-;1
"210530 IMPERATRIZ";-;-;-;1;-;-;-;-;-;-;-;-;1
"210735 NOVA OLINDA DO MARANHAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"210830 PENALVA";-;-;-;-;-;-;-;-;-;-;-;1;1
"220275 COLONIA DO GURGUEIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"221100 TERESINA";-;-;-;-;1;-;-;-;-;-;-;-;1
"230050 ALCANTARAS";-;-;1;-;-;-;-;-;-;-;-;-;1
"230110 ARACATI";-;-;-;-;-;-;1;-;-;-;-;-;1
"230350 CASCAVEL";-;-;-;-;-;-;-;-;-;-;1;-;1
"230440 FORTALEZA";-;1;-;-;-;-;-;-;-;-;-;-;1
"230860 MONSENHOR TABOSA";1;-;-;-;-;-;-;-;-;-;-;-;1
"230870 MORADA NOVA";-;-;-;-;-;-;-;-;1;-;-;-;1
"230920 NOVA OLINDA";-;-;-;-;-;-;-;-;-;-;1;-;1
"231230 SAO BENEDITO";-;-;-;-;-;-;-;-;-;-;1;-;1
"240010 ACARI";-;-;-;-;-;-;-;-;1;-;1;1;3
"240020 ACU";-;-;-;1;-;-;-;-;-;-;-;-;1
"240165 BODO";-;-;-;-;-;-;-;-;-;-;-;1;1
"240220 CANGUARETAMA";-;-;-;-;1;-;-;-;-;-;-;-;1
"240240 CARNAUBA DOS DANTAS";-;-;2;2;-;-;-;1;-;-;2;2;9
"240260 CEARA-MIRIM";-;-;1;-;-;-;-;-;-;-;-;1;2
"240310 CURRAIS NOVOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"240325 PARNAMIRIM";-;-;-;-;-;-;-;1;-;-;-;-;1
"240460 IELMO MARINHO";-;-;-;1;-;-;-;-;-;-;-;-;1
"240710 MACAIBA";-;-;1;-;-;-;-;-;-;-;-;-;1
"240720 MACAU";-;-;1;-;-;-;-;-;-;-;-;-;1
"240800 MOSSORO";-;-;-;-;-;-;-;-;-;-;-;1;1
"240810 NATAL";-;-;4;-;1;-;-;-;-;1;-;-;6
"240850 OURO BRANCO";-;-;1;-;-;-;-;-;-;-;-;-;1
"240890 PARELHAS";-;1;1;-;-;-;-;-;1;-;-;2;5
"240920 PASSAGEM";-;-;-;-;-;-;-;-;-;-;-;1;1
"241030 SERRA CAIADA";-;-;1;-;-;-;-;-;-;-;-;-;1
"241180 SAO FERNANDO";-;-;-;-;-;-;-;1;-;-;-;-;1
"241280 SAO RAFAEL";-;-;-;-;-;-;-;-;-;-;1;-;1
"241290 SAO TOME";-;-;-;-;-;-;-;-;1;-;-;-;1
"241410 TENENTE ANANIAS";-;-;-;-;-;1;-;-;-;1;-;-;2
"250750 JOAO PESSOA";-;-;-;-;1;-;-;-;1;-;-;-;2
"251110 PEDRA LAVRADA";-;-;7;-;-;-;-;2;-;-;-;-;9
"260345 CAMARAGIBE";-;-;3;-;-;-;-;-;-;-;-;-;3
"260775 ITAPISSUMA";-;-;-;-;1;-;-;-;-;-;-;-;1
"260790 JABOATAO DOS GUARARAPES";-;-;1;-;-;-;-;-;-;-;-;-;1
"261070 PAULISTA";-;-;-;1;-;-;-;-;-;-;-;-;1
"261160 RECIFE";-;-;-;2;-;-;-;-;-;-;-;-;2
"261370 SAO LOURENCO DA MATA";-;-;1;-;-;-;-;-;-;-;-;-;1
"270030 ARAPIRACA";-;-;-;-;-;-;-;-;-;-;1;-;1
"270770 RIO LARGO";-;-;-;-;-;1;-;-;-;-;-;-;1
"270850 SAO LUIS DO QUITUNDE";-;-;1;-;-;-;-;-;-;-;-;-;1
"270860 SAO MIGUEL DOS CAMPOS";-;-;-;-;-;-;1;-;-;-;-;-;1
"280120 CANINDE DE SAO FRANCISCO";1;-;1;-;-;-;-;-;-;-;-;-;2
