2013
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis In Pregnant Women
"Município de residência";"Casos confirmados"
" MUNICIPIO IGNORADO - RO";4
"110001 ALTA FLORESTA D'OESTE";31
"110002 ARIQUEMES";307
"110003 CABIXI";7
"110004 CACOAL";211
"110005 CEREJEIRAS";24
"110006 COLORADO DO OESTE";25
"110007 CORUMBIARA";9
"110008 COSTA MARQUES";31
"110009 ESPIGAO D'OESTE";57
"110010 GUAJARA-MIRIM";99
"110011 JARU";87
"110012 JI-PARANA";243
"110013 MACHADINHO D'OESTE";86
"110014 NOVA BRASILANDIA D'OESTE";17
"110015 OURO PRETO DO OESTE";48
"110018 PIMENTA BUENO";65
"110020 PORTO VELHO";1561
"110025 PRESIDENTE MEDICI";28
"110026 RIO CRESPO";7
"110028 ROLIM DE MOURA";151
"110029 SANTA LUZIA D'OESTE";8
"110030 VILHENA";334
"110032 SAO MIGUEL DO GUAPORE";33
"110033 NOVA MAMORE";45
"110034 ALVORADA D'OESTE";10
"110037 ALTO ALEGRE DOS PARECIS";4
"110040 ALTO PARAISO";21
"110045 BURITIS";89
"110050 NOVO HORIZONTE DO OESTE";3
"110060 CACAULANDIA";6
"110070 CAMPO NOVO DE RONDONIA";11
"110080 CANDEIAS DO JAMARI";102
"110090 CASTANHEIRAS";4
"110092 CHUPINGUAIA";36
"110094 CUJUBIM";41
"110100 GOVERNADOR JORGE TEIXEIRA";5
"110110 ITAPUA DO OESTE";11
"110120 MINISTRO ANDREAZZA";6
"110130 MIRANTE DA SERRA";10
"110140 MONTE NEGRO";20
"110143 NOVA UNIAO";1
"110145 PARECIS";7
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";4
"110148 SAO FELIPE D'OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";53
"110150 SERINGUEIRAS";25
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";6
"110170 URUPA";11
"110175 VALE DO ANARI";13
"110180 VALE DO PARAISO";5
"120001 ACRELANDIA";43
"120005 ASSIS BRASIL";45
"120010 BRASILEIA";145
"120013 BUJARI";77
"120017 CAPIXABA";75
"120020 CRUZEIRO DO SUL";327
"120025 EPITACIOLANDIA";69
"120030 FEIJO";150
"120032 JORDAO";18
"120033 MANCIO LIMA";48
"120034 MANOEL URBANO";33
"120035 MARECHAL THAUMATURGO";22
"120038 PLACIDO DE CASTRO";73
"120039 PORTO WALTER";19
"120040 RIO BRANCO";2571
"120042 RODRIGUES ALVES";33
"120043 SANTA ROSA DO PURUS";47
"120045 SENADOR GUIOMARD";139
"120050 SENA MADUREIRA";143
"120060 TARAUACA";361
"120070 XAPURI";104
"120080 PORTO ACRE";142
"130002 ALVARAES";29
"130006 AMATURA";9
"130008 ANAMA";21
"130010 ANORI";41
"130014 APUI";16
"130020 ATALAIA DO NORTE";8
"130030 AUTAZES";73
"130040 BARCELOS";23
"130050 BARREIRINHA";42
"130060 BENJAMIN CONSTANT";75
"130063 BERURI";29
"130068 BOA VISTA DO RAMOS";21
"130070 BOCA DO ACRE";65
"130080 BORBA";90
"130083 CAAPIRANGA";12
"130090 CANUTAMA";21
"130100 CARAUARI";111
"130110 CAREIRO";86
"130115 CAREIRO DA VARZEA";18
"130120 COARI";218
"130130 CODAJAS";32
"130140 EIRUNEPE";103
"130150 ENVIRA";88
"130160 FONTE BOA";5
"130165 GUAJARA";34
"130170 HUMAITA";181
"130180 IPIXUNA";12
"130185 IRANDUBA";136
"130190 ITACOATIARA";189
"130195 ITAMARATI";8
"130200 ITAPIRANGA";16
"130210 JAPURA";18
"130220 JURUA";7
"130230 JUTAI";36
"130240 LABREA";106
"130250 MANACAPURU";204
"130255 MANAQUIRI";30
"130260 MANAUS";11295
"130270 MANICORE";129
"130280 MARAA";40
"130290 MAUES";77
"130300 NHAMUNDA";12
"130310 NOVA OLINDA DO NORTE";92
"130320 NOVO AIRAO";35
"130330 NOVO ARIPUANA";44
"130340 PARINTINS";258
"130350 PAUINI";62
"130353 PRESIDENTE FIGUEIREDO";62
"130356 RIO PRETO DA EVA";67
"130360 SANTA ISABEL DO RIO NEGRO";23
"130370 SANTO ANTONIO DO ICA";35
"130380 SAO GABRIEL DA CACHOEIRA";43
"130390 SAO PAULO DE OLIVENCA";53
"130395 SAO SEBASTIAO DO UATUMA";16
"130400 SILVES";11
"130406 TABATINGA";206
"130410 TAPAUA";14
"130420 TEFE";193
"130423 TONANTINS";7
"130426 UARINI";15
"130430 URUCARA";15
"130440 URUCURITUBA";33
"140002 AMAJARI";16
"140005 ALTO ALEGRE";34
"140010 BOA VISTA";1716
"140015 BONFIM";28
"140017 CANTA";55
"140020 CARACARAI";116
"140023 CAROEBE";23
"140028 IRACEMA";17
"140030 MUCAJAI";67
"140040 NORMANDIA";21
"140045 PACARAIMA";114
"140047 RORAINOPOLIS";100
"140050 SAO JOAO DA BALIZA";12
"140060 SAO LUIZ";20
"140070 UIRAMUTA";12
"150010 ABAETETUBA";176
"150013 ABEL FIGUEIREDO";10
"150020 ACARA";120
"150030 AFUA";124
"150034 AGUA AZUL DO NORTE";27
"150040 ALENQUER";112
"150050 ALMEIRIM";19
"150060 ALTAMIRA";424
"150070 ANAJAS";85
"150080 ANANINDEUA";1213
"150085 ANAPU";130
"150090 AUGUSTO CORREA";114
"150095 AURORA DO PARA";49
"150100 AVEIRO";20
"150110 BAGRE";44
"150120 BAIAO";76
"150125 BANNACH";6
"150130 BARCARENA";347
"150140 BELEM";3104
"150145 BELTERRA";24
"150150 BENEVIDES";206
"150157 BOM JESUS DO TOCANTINS";30
"150160 BONITO";18
"150170 BRAGANCA";201
"150172 BRASIL NOVO";46
"150175 BREJO GRANDE DO ARAGUAIA";19
"150178 BREU BRANCO";88
"150180 BREVES";357
"150190 BUJARU";53
"150195 CACHOEIRA DO PIRIA";26
"150200 CACHOEIRA DO ARARI";20
"150210 CAMETA";292
"150215 CANAA DOS CARAJAS";242
"150220 CAPANEMA";92
"150230 CAPITAO POCO";46
"150240 CASTANHAL";348
"150250 CHAVES";26
"150260 COLARES";28
"150270 CONCEICAO DO ARAGUAIA";72
"150275 CONCORDIA DO PARA";61
"150276 CUMARU DO NORTE";8
"150277 CURIONOPOLIS";91
"150280 CURRALINHO";40
"150285 CURUA";13
"150290 CURUCA";76
"150293 DOM ELISEU";107
"150295 ELDORADO DOS CARAJAS";111
"150300 FARO";13
"150304 FLORESTA DO ARAGUAIA";55
"150307 GARRAFAO DO NORTE";26
"150309 GOIANESIA DO PARA";49
"150310 GURUPA";44
"150320 IGARAPE-ACU";70
"150330 IGARAPE-MIRI";69
"150340 INHANGAPI";18
"150345 IPIXUNA DO PARA";78
"150350 IRITUIA";86
"150360 ITAITUBA";906
"150370 ITUPIRANGA";199
"150375 JACAREACANGA";56
"150380 JACUNDA";136
"150390 JURUTI";107
"150400 LIMOEIRO DO AJURU";68
"150405 MAE DO RIO";53
"150410 MAGALHAES BARATA";23
"150420 MARABA";1870
"150430 MARACANA";67
"150440 MARAPANIM";56
"150442 MARITUBA";472
"150445 MEDICILANDIA";67
"150450 MELGACO";28
"150460 MOCAJUBA";67
"150470 MOJU";295
"150475 MOJUI DOS CAMPOS";17
"150480 MONTE ALEGRE";133
"150490 MUANA";86
"150495 NOVA ESPERANCA DO PIRIA";30
"150497 NOVA IPIXUNA";41
"150500 NOVA TIMBOTEUA";9
"150503 NOVO PROGRESSO";204
"150506 NOVO REPARTIMENTO";116
"150510 OBIDOS";125
"150520 OEIRAS DO PARA";115
"150530 ORIXIMINA";168
"150540 OUREM";21
"150543 OURILANDIA DO NORTE";59
"150548 PACAJA";69
"150549 PALESTINA DO PARA";10
"150550 PARAGOMINAS";287
"150553 PARAUAPEBAS";993
"150555 PAU D'ARCO";18
"150560 PEIXE-BOI";6
"150563 PICARRA";21
"150565 PLACAS";19
"150570 PONTA DE PEDRAS";63
"150580 PORTEL";165
"150590 PORTO DE MOZ";38
"150600 PRAINHA";107
"150610 PRIMAVERA";17
"150611 QUATIPURU";30
"150613 REDENCAO";214
"150616 RIO MARIA";58
"150618 RONDON DO PARA";51
"150619 RUROPOLIS";56
"150620 SALINOPOLIS";116
"150630 SALVATERRA";36
"150635 SANTA BARBARA DO PARA";58
"150640 SANTA CRUZ DO ARARI";12
"150650 SANTA IZABEL DO PARA";178
"150655 SANTA LUZIA DO PARA";47
"150658 SANTA MARIA DAS BARREIRAS";7
"150660 SANTA MARIA DO PARA";27
"150670 SANTANA DO ARAGUAIA";145
"150680 SANTAREM";999
"150690 SANTAREM NOVO";11
"150700 SANTO ANTONIO DO TAUA";42
"150710 SAO CAETANO DE ODIVELAS";39
"150715 SAO DOMINGOS DO ARAGUAIA";58
"150720 SAO DOMINGOS DO CAPIM";51
"150730 SAO FELIX DO XINGU";276
"150740 SAO FRANCISCO DO PARA";27
"150745 SAO GERALDO DO ARAGUAIA";64
"150746 SAO JOAO DA PONTA";11
"150747 SAO JOAO DE PIRABAS";58
"150750 SAO JOAO DO ARAGUAIA";52
"150760 SAO MIGUEL DO GUAMA";118
"150770 SAO SEBASTIAO DA BOA VISTA";88
"150775 SAPUCAIA";35
"150780 SENADOR JOSE PORFIRIO";37
"150790 SOURE";43
"150795 TAILANDIA";433
"150796 TERRA ALTA";23
"150797 TERRA SANTA";67
"150800 TOME-ACU";206
"150803 TRACUATEUA";44
"150805 TRAIRAO";71
"150808 TUCUMA";94
"150810 TUCURUI";242
"150812 ULIANOPOLIS";71
"150815 URUARA";55
"150820 VIGIA";89
"150830 VISEU";37
"150835 VITORIA DO XINGU";75
"150840 XINGUARA";104
"160005 SERRA DO NAVIO";18
"160010 AMAPA";32
"160015 PEDRA BRANCA DO AMAPARI";27
"160020 CALCOENE";45
"160021 CUTIAS";11
"160023 FERREIRA GOMES";27
"160025 ITAUBAL";12
"160027 LARANJAL DO JARI";140
"160030 MACAPA";2195
"160040 MAZAGAO";69
"160050 OIAPOQUE";50
"160053 PORTO GRANDE";68
"160055 PRACUUBA";7
"160060 SANTANA";347
"160070 TARTARUGALZINHO";40
"160080 VITORIA DO JARI";43
"170025 ABREULANDIA";3
"170030 AGUIARNOPOLIS";8
"170035 ALIANCA DO TOCANTINS";8
"170040 ALMAS";4
"170070 ALVORADA";19
"170100 ANANAS";52
"170105 ANGICO";5
"170110 APARECIDA DO RIO NEGRO";21
"170130 ARAGOMINAS";10
"170190 ARAGUACEMA";16
"170200 ARAGUACU";16
"170210 ARAGUAINA";684
"170215 ARAGUANA";8
"170220 ARAGUATINS";112
"170230 ARAPOEMA";17
"170240 ARRAIAS";16
"170255 AUGUSTINOPOLIS";124
"170290 AXIXA DO TOCANTINS";25
"170300 BABACULANDIA";15
"170305 BANDEIRANTES DO TOCANTINS";4
"170307 BARRA DO OURO";20
