2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/lerdorbr.def
RSI/WMSD
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 CACOAL";-;-;1;-;-;-;-;-;-;-;-;-;1
"110012 JI-PARANA";3;-;-;-;-;-;-;-;-;-;-;-;3
"110015 OURO PRETO DO OESTE";-;-;-;-;1;4;1;-;-;-;-;-;6
"110020 PORTO VELHO";1;-;1;-;-;-;-;-;-;-;-;-;2
"110028 ROLIM DE MOURA";-;-;-;-;-;-;-;7;1;3;-;-;11
"110030 VILHENA";-;-;-;-;-;-;-;-;-;1;1;-;2
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;1;-;-;-;-;-;-;1
"110170 URUPA";-;-;-;-;-;-;-;-;-;-;-;2;2
"120010 BRASILEIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"120030 FEIJO";-;-;-;-;-;1;-;-;1;-;1;-;3
"120040 RIO BRANCO";1;-;-;-;-;-;-;-;-;-;-;-;1
"120070 XAPURI";-;-;-;3;1;-;-;-;-;-;-;-;4
"120080 PORTO ACRE";-;-;-;-;-;-;-;1;-;-;-;-;1
"130050 BARREIRINHA";3;-;-;-;-;-;-;-;-;-;-;-;3
"130068 BOA VISTA DO RAMOS";-;-;-;-;-;-;-;-;2;-;-;-;2
"130260 MANAUS";-;-;-;1;-;1;1;-;1;-;-;-;4
"130310 NOVA OLINDA DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"130420 TEFE";11;6;15;9;12;16;5;10;2;8;-;-;94
"140010 BOA VISTA";1;-;-;-;-;1;1;2;2;3;6;2;18
"140047 RORAINOPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;1
"150090 AUGUSTO CORREA";-;-;-;-;-;1;-;-;-;1;-;-;2
"150140 BELEM";-;-;3;-;2;6;-;1;2;2;-;-;16
