2009
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/febretifoidebr.def
Typhoid Fever
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110012 JI-PARANA";-;-;-;-;1;-;-;-;-;-;-;-;1
"110020 PORTO VELHO";-;1;2;-;-;-;-;-;-;-;-;-;3
"110030 VILHENA";-;2;-;-;-;2;-;1;3;-;-;-;8
"120010 BRASILEIA";-;-;-;-;-;-;3;-;-;-;-;1;4
"120020 CRUZEIRO DO SUL";-;-;-;-;-;-;-;-;1;-;-;1;2
"120032 JORDAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"120033 MANCIO LIMA";1;-;-;-;-;-;1;-;-;-;-;-;2
"120040 RIO BRANCO";-;1;1;-;-;1;-;-;-;-;-;-;3
"120042 RODRIGUES ALVES";1;-;-;-;-;-;-;-;-;-;-;-;1
"120060 TARAUACA";-;-;1;-;-;-;-;-;-;1;-;-;2
"130002 ALVARAES";-;-;-;-;-;-;-;-;-;-;1;-;1
"130010 ANORI";-;1;-;-;-;-;-;1;-;-;-;-;2
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"130050 BARREIRINHA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130063 BERURI";-;1;-;-;-;-;-;-;-;-;-;-;1
"130068 BOA VISTA DO RAMOS";-;-;-;-;-;-;-;-;-;-;-;1;1
"130070 BOCA DO ACRE";-;-;-;-;-;-;-;-;1;-;-;-;1
"130080 BORBA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130100 CARAUARI";-;-;-;-;-;1;1;-;-;-;-;-;2
"130110 CAREIRO";-;1;-;-;-;-;-;-;-;-;-;-;1
"130120 COARI";4;9;7;1;6;-;1;5;1;-;6;4;44
"130130 CODAJAS";12;1;-;-;-;-;-;1;-;-;-;-;14
"130160 FONTE BOA";-;-;1;3;-;-;-;-;1;-;-;-;5
"130185 IRANDUBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"130190 ITACOATIARA";-;-;1;1;-;-;-;-;-;-;-;-;2
"130220 JURUA";1;-;-;-;1;1;-;-;-;-;-;-;3
"130250 MANACAPURU";-;1;-;-;-;-;1;-;-;2;-;1;5
"130260 MANAUS";10;8;4;11;12;9;6;8;4;3;4;7;86
"130270 MANICORE";1;-;-;-;-;-;1;-;-;-;-;-;2
"130330 NOVO ARIPUANA";1;-;-;1;1;-;-;-;-;-;-;-;3
"130340 PARINTINS";-;-;1;-;-;-;-;-;-;-;-;-;1
"130350 PAUINI";1;-;-;-;-;-;-;-;-;-;-;-;1
"130353 PRESIDENTE FIGUEIREDO";-;1;-;-;-;-;1;-;-;-;-;-;2
"130395 SAO SEBASTIAO DO UATUMA";1;-;-;-;-;-;1;-;-;-;-;-;2
"130410 TAPAUA";-;-;-;1;1;-;-;-;-;-;-;1;3
"130420 TEFE";-;1;-;-;-;2;-;-;-;-;-;1;4
