2011
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/animaisbr.def
Venomous Animal Accident
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";1;48;29;41;40;48;39;24;17;29;36;36;37;425
"110002 ARIQUEMES";-;66;63;64;58;65;55;45;40;34;48;80;63;681
"110003 CABIXI";-;10;6;10;1;9;4;3;3;2;7;5;3;63
"110004 CACOAL";-;41;34;49;54;48;46;43;28;35;39;47;35;499
"110005 CEREJEIRAS";-;8;5;11;8;10;17;9;9;11;6;10;12;116
"110006 COLORADO DO OESTE";-;11;13;14;15;20;13;11;13;14;2;15;19;160
"110007 CORUMBIARA";-;8;10;11;8;8;8;8;4;9;8;11;13;106
"110008 COSTA MARQUES";-;8;10;8;13;12;13;14;12;12;12;12;19;145
"110009 ESPIGAO D'OESTE";-;23;28;37;39;34;19;32;39;40;45;45;33;414
"110010 GUAJARA-MIRIM";-;29;31;32;47;26;30;15;26;16;26;22;32;332
"110011 JARU";-;24;27;28;19;17;19;11;24;25;25;24;17;260
"110012 JI-PARANA";-;50;45;62;37;36;31;35;42;45;37;46;53;519
"110013 MACHADINHO D'OESTE";-;41;28;52;41;39;35;30;31;25;21;33;31;407
"110014 NOVA BRASILANDIA D'OESTE";-;46;60;54;57;55;50;37;46;54;41;40;41;581
"110015 OURO PRETO DO OESTE";-;9;14;9;17;9;12;3;6;5;4;11;4;103
"110018 PIMENTA BUENO";-;32;23;25;29;25;28;21;14;17;23;26;23;286
"110020 PORTO VELHO";-;197;209;233;180;165;169;132;117;120;155;187;214;2078
"110025 PRESIDENTE MEDICI";-;8;18;15;26;9;6;13;13;16;12;16;9;161
"110026 RIO CRESPO";-;7;5;5;2;4;2;3;5;1;5;9;5;53
"110028 ROLIM DE MOURA";-;38;32;26;37;42;38;36;40;47;39;65;34;474
"110029 SANTA LUZIA D'OESTE";-;28;22;17;23;19;18;13;22;20;18;21;24;245
"110030 VILHENA";-;88;75;65;64;86;66;54;46;49;68;67;93;821
"110032 SAO MIGUEL DO GUAPORE";-;6;11;10;10;15;7;11;11;12;10;25;17;145
"110033 NOVA MAMORE";-;19;19;23;18;29;17;13;16;12;24;30;27;247
"110034 ALVORADA D'OESTE";-;15;17;4;19;27;9;11;6;11;20;13;17;169
"110037 ALTO ALEGRE DOS PARECIS";-;32;54;44;43;44;46;17;24;28;36;34;28;430
"110040 ALTO PARAISO";-;24;18;13;22;22;22;14;10;10;9;20;17;201
"110045 BURITIS";-;29;30;48;38;36;22;24;25;21;29;28;37;367
"110050 NOVO HORIZONTE DO OESTE";-;5;12;5;8;9;3;11;3;2;6;8;3;75
"110060 CACAULANDIA";-;3;7;3;1;4;3;4;2;1;2;6;6;42
"110070 CAMPO NOVO DE RONDONIA";-;11;10;16;11;13;12;8;16;10;7;13;10;137
"110080 CANDEIAS DO JAMARI";-;30;18;17;21;27;16;17;13;16;17;16;19;227
"110090 CASTANHEIRAS";-;5;4;7;9;5;5;3;8;-;7;3;1;57
"110092 CHUPINGUAIA";-;4;5;5;5;4;13;4;7;1;3;3;3;57
"110094 CUJUBIM";-;39;38;41;45;44;24;34;19;27;36;38;41;426
"110100 GOVERNADOR JORGE TEIXEIRA";-;6;7;5;8;7;3;4;6;9;6;5;7;73
"110110 ITAPUA DO OESTE";-;17;14;11;22;13;14;13;10;8;8;5;18;153
"110120 MINISTRO ANDREAZZA";-;11;9;9;9;11;4;4;5;6;5;9;9;91
"110130 MIRANTE DA SERRA";-;19;9;19;15;19;8;20;7;13;10;15;5;159
"110140 MONTE NEGRO";-;36;27;37;26;27;29;25;29;27;27;42;29;361
"110143 NOVA UNIAO";-;17;15;11;26;19;3;13;19;8;5;18;13;167
"110145 PARECIS";-;7;11;14;16;11;17;8;7;8;8;13;8;128
"110146 PIMENTEIRAS DO OESTE";-;-;2;4;2;1;2;3;2;-;1;3;5;25
"110147 PRIMAVERA DE RONDONIA";-;5;6;2;7;9;6;4;5;9;6;3;3;65
"110148 SAO FELIPE D'OESTE";-;13;9;13;3;11;5;5;6;5;10;10;9;99
"110149 SAO FRANCISCO DO GUAPORE";-;33;34;33;41;23;33;33;25;35;36;45;41;412
"110150 SERINGUEIRAS";-;1;4;-;2;6;2;3;5;11;9;6;5;54
"110155 TEIXEIROPOLIS";-;1;3;1;1;2;3;2;1;2;-;1;2;19
"110160 THEOBROMA";-;4;11;7;7;10;8;8;6;7;4;5;6;83
"110170 URUPA";-;4;6;5;3;6;10;5;3;6;9;5;5;67
"110175 VALE DO ANARI";-;7;7;8;10;13;8;6;8;6;5;4;11;93
"110180 VALE DO PARAISO";-;2;3;5;4;2;6;2;3;-;4;5;1;37
" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"120001 ACRELANDIA";-;25;17;18;22;22;18;17;12;20;17;21;14;223
"120005 ASSIS BRASIL";-;6;11;13;12;14;6;9;9;8;11;9;8;116
"120010 BRASILEIA";-;75;72;65;68;46;62;76;85;75;88;89;82;883
"120013 BUJARI";-;24;16;16;21;13;10;10;16;14;18;17;22;197
"120017 CAPIXABA";-;20;10;9;15;7;7;3;3;9;4;7;11;105
"120020 CRUZEIRO DO SUL";-;156;162;156;135;157;141;95;74;105;138;140;135;1594
"120025 EPITACIOLANDIA";-;44;24;37;30;30;32;21;42;26;54;44;41;425
"120030 FEIJO";-;22;11;15;12;16;8;5;8;10;10;27;11;155
"120032 JORDAO";-;8;20;15;7;12;8;4;11;4;11;13;13;126
"120033 MANCIO LIMA";-;24;32;31;29;30;19;20;22;22;26;36;30;321
"120034 MANOEL URBANO";-;23;19;20;23;25;21;11;16;19;14;12;9;212
"120035 MARECHAL THAUMATURGO";-;34;37;29;35;14;31;26;18;18;29;39;31;341
"120038 PLACIDO DE CASTRO";-;26;28;40;38;40;28;35;16;23;30;45;32;381
"120039 PORTO WALTER";-;24;30;30;24;21;22;17;8;15;24;29;27;271
"120040 RIO BRANCO";-;367;339;302;321;312;293;258;228;228;264;369;374;3655
"120042 RODRIGUES ALVES";-;25;24;30;26;28;25;24;23;25;30;45;36;341
"120043 SANTA ROSA DO PURUS";-;13;7;7;8;4;5;8;6;4;9;10;12;93
"120045 SENADOR GUIOMARD";-;18;21;18;23;24;13;12;14;10;6;21;27;207
"120050 SENA MADUREIRA";-;64;55;63;58;56;46;49;61;35;51;65;50;653
"120060 TARAUACA";-;34;27;26;28;25;19;25;15;19;28;26;29;301
"120070 XAPURI";-;50;48;53;44;33;36;36;44;41;49;54;55;543
"120080 PORTO ACRE";-;22;24;22;20;16;29;26;21;21;24;24;23;272
" MUNICIPIO IGNORADO - AM";-;-;-;-;1;-;-;-;-;-;1;1;2;5
"130002 ALVARAES";-;74;76;105;81;66;102;52;71;79;71;58;79;914
"130006 AMATURA";-;25;18;16;12;18;14;17;19;12;13;12;11;187
"130008 ANAMA";-;24;31;24;28;28;10;9;10;8;5;7;9;193
"130010 ANORI";-;12;14;14;10;8;9;3;5;9;5;14;7;110
"130014 APUI";-;125;84;136;112;135;127;114;89;79;92;97;105;1295
"130020 ATALAIA DO NORTE";-;65;62;53;53;50;41;45;52;55;59;44;49;628
"130030 AUTAZES";-;52;56;55;57;57;48;35;39;31;27;29;35;521
"130040 BARCELOS";-;43;55;47;51;48;51;33;31;38;23;30;29;479
"130050 BARREIRINHA";-;85;92;86;97;102;99;89;74;58;47;45;52;926
"130060 BENJAMIN CONSTANT";-;77;63;60;63;43;41;40;59;46;54;59;48;653
"130063 BERURI";-;22;26;26;24;23;20;22;10;7;14;19;24;237
"130068 BOA VISTA DO RAMOS";-;19;34;32;32;37;21;23;22;19;20;18;18;295
"130070 BOCA DO ACRE";-;37;45;32;37;27;21;16;15;16;23;26;23;318
"130080 BORBA";-;96;101;124;99;96;88;100;72;105;85;76;73;1115
"130083 CAAPIRANGA";-;39;31;32;45;21;31;22;14;6;9;13;16;279
"130090 CANUTAMA";-;22;18;20;23;11;12;10;7;7;9;8;16;163
"130100 CARAUARI";-;46;32;36;39;39;44;43;31;22;21;22;35;410
"130110 CAREIRO";-;41;25;24;36;29;24;19;20;24;20;22;20;304
"130115 CAREIRO DA VARZEA";-;18;15;14;22;17;12;11;16;15;5;22;12;179
"130120 COARI";-;85;71;88;75;69;64;55;48;34;47;53;42;731
"130130 CODAJAS";-;23;21;24;26;20;16;12;9;11;22;11;15;210
"130140 EIRUNEPE";-;34;37;40;37;21;20;18;22;25;22;27;34;337
"130150 ENVIRA";-;30;29;27;15;28;23;22;12;16;20;27;23;272
"130160 FONTE BOA";-;21;18;21;24;23;23;14;15;29;9;19;14;230
"130165 GUAJARA";-;23;19;26;16;12;20;24;7;11;25;27;17;227
"130170 HUMAITA";-;81;80;74;77;57;44;30;37;28;30;51;61;650
"130180 IPIXUNA";-;26;13;25;10;24;17;19;14;11;15;19;15;208
"130185 IRANDUBA";-;75;48;73;62;54;51;47;42;46;30;49;64;641
"130190 ITACOATIARA";-;157;166;180;160;182;143;122;126;89;104;116;119;1664
"130195 ITAMARATI";-;13;15;12;11;10;3;6;6;7;12;11;6;112
"130200 ITAPIRANGA";-;11;18;15;20;20;16;6;9;10;8;5;11;149
"130210 JAPURA";-;11;16;8;14;11;16;10;8;9;10;6;9;128
"130220 JURUA";-;8;8;14;11;11;13;4;4;3;3;4;6;89
"130230 JUTAI";-;34;30;30;27;35;33;24;13;23;17;15;27;308
"130240 LABREA";-;74;63;73;63;54;56;48;34;41;52;65;69;692
"130250 MANACAPURU";-;98;103;121;123;115;106;93;77;60;67;88;92;1143
"130255 MANAQUIRI";-;11;20;20;18;21;13;13;13;9;17;12;3;170
"130260 MANAUS";-;253;183;230;246;244;229;185;201;175;144;153;181;2424
"130270 MANICORE";-;87;64;87;75;87;42;45;43;34;37;40;65;706
"130280 MARAA";-;15;19;25;15;22;12;15;14;13;9;4;18;181
"130290 MAUES";-;108;112;119;111;128;108;98;67;46;48;58;53;1056
"130300 NHAMUNDA";-;37;42;39;32;32;17;27;43;35;42;33;55;434
"130310 NOVA OLINDA DO NORTE";-;49;51;84;55;51;47;69;48;30;27;31;26;568
"130320 NOVO AIRAO";-;31;28;28;31;30;27;36;20;15;12;24;22;304
"130330 NOVO ARIPUANA";-;30;27;38;29;28;15;24;18;13;14;17;21;274
"130340 PARINTINS";-;90;115;115;137;125;152;97;104;98;104;77;90;1304
"130350 PAUINI";-;25;18;28;15;12;12;8;7;8;16;11;20;180
"130353 PRESIDENTE FIGUEIREDO";-;43;28;43;41;46;33;45;28;28;32;31;38;436
"130356 RIO PRETO DA EVA";-;109;111;147;123;108;124;108;128;78;79;73;95;1283
"130360 SANTA ISABEL DO RIO NEGRO";-;30;28;32;21;30;40;33;23;19;21;23;13;313
"130370 SANTO ANTONIO DO ICA";-;35;20;30;29;23;19;24;28;17;23;22;24;294
"130380 SAO GABRIEL DA CACHOEIRA";-;88;80;83;87;108;102;100;77;77;54;66;69;991
"130390 SAO PAULO DE OLIVENCA";-;61;57;64;41;40;39;48;60;29;47;52;49;587
"130395 SAO SEBASTIAO DO UATUMA";-;13;17;15;20;13;14;29;8;18;19;9;9;184
"130400 SILVES";-;17;24;21;11;14;17;20;12;12;12;8;9;177
"130406 TABATINGA";-;82;74;59;45;49;48;51;44;40;37;44;62;635
"130410 TAPAUA";-;28;41;40;46;38;26;16;12;5;19;12;20;303
"130420 TEFE";-;106;85;104;90;82;105;87;75;72;91;80;94;1071
"130423 TONANTINS";-;9;13;17;13;13;10;18;8;9;17;15;5;147
"130426 UARINI";-;49;45;58;52;55;63;33;45;42;48;28;37;555
"130430 URUCARA";-;28;33;27;39;29;30;36;28;27;26;23;28;354
"130440 URUCURITUBA";-;20;26;27;15;17;11;24;8;3;15;7;20;193
" MUNICIPIO IGNORADO - RR";-;1;1;-;-;1;-;1;1;3;-;-;2;10
"140002 AMAJARI";-;36;45;36;32;45;49;47;40;40;40;34;27;471
"140005 ALTO ALEGRE";-;118;145;136;146;138;138;111;114;118;104;111;103;1482
"140010 BOA VISTA";-;300;257;310;225;195;164;187;191;261;307;276;260;2933
"140015 BONFIM";-;41;24;28;29;45;43;31;39;34;44;33;29;420
"140017 CANTA";-;31;27;31;31;31;51;34;40;51;30;29;23;409
"140020 CARACARAI";-;23;20;43;35;31;33;31;33;35;33;30;26;373
