2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/violebr.def
Interpersonal/Self-caused Violence
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";9;2;8;1;14;9;11;10;8;2;10;3;87
"110002 ARIQUEMES";10;10;27;20;22;13;26;31;12;23;21;30;245
"110003 CABIXI";-;-;-;-;-;-;-;-;-;-;1;2;3
"110004 CACOAL";2;2;16;6;4;6;5;9;10;8;3;10;81
"110005 CEREJEIRAS";-;1;1;-;-;-;-;-;-;1;-;-;3
"110006 COLORADO DO OESTE";-;2;-;1;2;-;-;-;-;-;-;-;5
"110007 CORUMBIARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"110008 COSTA MARQUES";-;1;3;4;7;-;-;1;3;-;-;1;20
"110009 ESPIGAO D'OESTE";-;3;2;1;-;4;2;5;6;5;2;3;33
"110010 GUAJARA-MIRIM";-;-;1;-;1;4;2;2;3;2;9;2;26
"110011 JARU";5;7;11;7;2;2;1;1;-;10;1;2;49
"110012 JI-PARANA";24;33;27;24;38;10;24;20;28;32;19;32;311
"110013 MACHADINHO D'OESTE";-;1;2;2;3;1;2;1;2;-;2;3;19
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;1;1;1;-;-;2;-;-;2;7
"110015 OURO PRETO DO OESTE";2;3;4;2;1;2;4;1;-;5;7;6;37
"110018 PIMENTA BUENO";1;-;-;-;1;1;-;1;-;-;2;-;6
"110020 PORTO VELHO";29;25;29;37;35;71;49;58;81;74;82;49;619
"110025 PRESIDENTE MEDICI";-;-;2;4;2;1;-;2;1;-;2;2;16
"110026 RIO CRESPO";-;1;-;-;-;1;-;-;1;4;-;1;8
"110028 ROLIM DE MOURA";1;8;-;3;5;3;7;7;11;11;8;1;65
"110029 SANTA LUZIA D'OESTE";1;1;-;1;-;-;2;1;-;1;3;1;11
"110030 VILHENA";15;13;17;13;19;14;28;9;7;15;15;6;171
"110032 SAO MIGUEL DO GUAPORE";1;1;1;2;2;4;3;7;3;2;3;-;29
"110033 NOVA MAMORE";2;-;1;4;-;1;2;3;5;-;7;8;33
"110034 ALVORADA D'OESTE";1;1;-;-;3;-;2;1;-;1;-;-;9
"110037 ALTO ALEGRE DOS PARECIS";1;-;2;-;-;-;1;-;3;3;4;-;14
"110040 ALTO PARAISO";-;-;4;3;2;1;-;1;5;1;1;2;20
"110045 BURITIS";3;-;5;6;6;6;3;7;6;7;11;5;65
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;1;1;1;1;-;-;-;-;4
"110060 CACAULANDIA";2;-;-;1;-;1;2;1;3;1;-;1;12
"110070 CAMPO NOVO DE RONDONIA";-;-;-;4;1;1;1;-;1;2;1;3;14
"110080 CANDEIAS DO JAMARI";2;2;2;-;2;1;1;2;2;1;-;4;19
"110090 CASTANHEIRAS";1;-;-;-;-;-;1;-;-;-;-;-;2
"110092 CHUPINGUAIA";1;1;1;-;1;-;2;2;-;4;-;-;12
"110094 CUJUBIM";3;1;-;4;-;3;2;-;5;2;4;1;25
