2014
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/leishvbr.def
Visceral Leishmaniasis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110011 JARU";-;-;-;-;-;-;1;-;-;-;-;-;1
"110030 VILHENA";-;1;-;-;-;-;-;-;-;-;-;-;1
"110160 THEOBROMA";-;-;-;-;1;-;-;-;-;-;-;-;1
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"130185 IRANDUBA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130230 JUTAI";-;-;-;-;-;-;-;-;1;-;-;-;1
"130260 MANAUS";-;-;-;-;-;-;1;1;-;-;-;1;3
"130310 NOVA OLINDA DO NORTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"140002 AMAJARI";-;-;-;-;-;3;1;-;2;1;-;-;7
"140005 ALTO ALEGRE";-;-;-;-;-;-;-;1;-;-;1;-;2
"140010 BOA VISTA";2;2;2;3;1;1;-;1;2;2;1;1;18
"140015 BONFIM";1;1;-;1;-;-;-;1;2;-;-;-;6
"140017 CANTA";1;-;-;-;-;1;-;-;-;-;-;-;2
"140020 CARACARAI";-;-;-;-;-;-;-;1;-;-;-;-;1
"140028 IRACEMA";1;1;-;-;-;-;-;-;-;-;-;-;2
"140030 MUCAJAI";-;-;-;-;-;-;-;1;-;-;-;-;1
"140040 NORMANDIA";1;2;2;-;2;3;2;1;2;2;1;4;22
"140045 PACARAIMA";2;2;-;5;1;2;2;5;6;4;5;2;36
"140047 RORAINOPOLIS";-;-;-;-;-;-;-;1;-;1;-;1;3
"140070 UIRAMUTA";6;6;9;5;8;9;5;9;17;10;8;8;100
"150010 ABAETETUBA";4;3;1;5;3;6;8;3;5;5;6;9;58
"150013 ABEL FIGUEIREDO";-;1;-;-;-;-;-;-;-;1;-;-;2
"150020 ACARA";8;5;2;4;6;7;9;4;6;7;5;5;68
"150034 AGUA AZUL DO NORTE";1;-;-;-;1;-;-;-;-;1;-;-;3
"150040 ALENQUER";-;-;-;-;-;1;2;1;-;1;1;-;6
"150060 ALTAMIRA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150080 ANANINDEUA";1;2;2;-;-;1;2;-;-;1;1;-;10
"150085 ANAPU";-;1;1;-;-;1;-;-;-;-;-;-;3
"150090 AUGUSTO CORREA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150095 AURORA DO PARA";-;-;1;3;1;-;-;1;-;-;-;1;7
"150110 BAGRE";-;-;-;-;-;-;-;-;1;-;-;1;2
"150120 BAIAO";2;2;3;3;3;1;4;3;-;1;3;1;26
"150125 BANNACH";-;-;-;-;-;-;-;1;1;-;-;-;2
"150130 BARCARENA";2;4;-;3;4;3;1;2;1;1;3;4;28
"150140 BELEM";3;3;3;-;6;3;6;-;3;1;4;1;33
"150145 BELTERRA";-;1;1;2;-;2;2;-;-;-;-;-;8
"150150 BENEVIDES";-;-;-;-;1;-;-;-;-;-;-;-;1
"150157 BOM JESUS DO TOCANTINS";-;-;2;1;-;2;-;-;1;2;-;3;11
"150170 BRAGANCA";1;-;-;-;-;-;-;-;-;-;1;-;2
"150175 BREJO GRANDE DO ARAGUAIA";-;-;1;-;1;-;-;-;1;-;-;1;4
"150178 BREU BRANCO";-;1;3;-;1;-;1;2;2;-;-;-;10
"150180 BREVES";-;-;1;1;-;-;-;-;-;-;-;-;2
"150190 BUJARU";5;1;2;4;3;-;8;-;5;4;5;-;37
"150200 CACHOEIRA DO ARARI";-;-;-;1;-;-;2;-;-;1;1;-;5
"150210 CAMETA";8;11;14;9;11;8;16;10;11;5;6;7;116
"150215 CANAA DOS CARAJAS";8;9;6;15;17;11;15;10;6;4;9;11;121
"150220 CAPANEMA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150230 CAPITAO POCO";-;-;-;1;-;-;-;-;-;-;1;-;2
"150240 CASTANHAL";1;-;1;-;-;-;-;-;3;1;-;-;6
"150270 CONCEICAO DO ARAGUAIA";11;6;9;10;12;11;6;11;9;12;11;10;118
"150275 CONCORDIA DO PARA";4;3;1;3;2;3;2;2;3;1;-;2;26
"150276 CUMARU DO NORTE";1;4;-;1;1;-;1;2;2;-;-;-;12
"150277 CURIONOPOLIS";4;6;7;9;5;3;3;2;2;1;1;-;43
"150290 CURUCA";-;-;-;-;-;1;-;-;-;-;-;-;1
"150293 DOM ELISEU";3;3;2;3;3;2;3;4;-;-;6;1;30
"150295 ELDORADO DOS CARAJAS";10;11;16;21;25;19;14;12;12;6;7;3;156
"150300 FARO";-;1;-;-;-;-;-;-;-;-;-;-;1
"150304 FLORESTA DO ARAGUAIA";2;1;4;4;4;4;2;2;2;-;-;-;25
"150307 GARRAFAO DO NORTE";1;2;-;5;1;-;2;2;3;-;-;-;16
"150309 GOIANESIA DO PARA";1;1;-;1;1;-;-;1;-;1;-;1;7
"150320 IGARAPE-ACU";1;-;-;-;-;-;1;-;-;-;-;-;2
"150330 IGARAPE-MIRI";6;2;6;4;3;10;6;3;6;4;4;6;60
"150340 INHANGAPI";-;-;-;1;-;-;-;-;-;-;-;1;2
"150345 IPIXUNA DO PARA";-;-;2;1;-;1;2;1;-;-;-;-;7
"150350 IRITUIA";-;-;-;-;-;-;-;-;-;1;1;-;2
"150360 ITAITUBA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150370 ITUPIRANGA";2;1;2;2;1;1;2;1;1;3;-;1;17
"150380 JACUNDA";-;-;2;1;-;-;-;4;3;-;-;1;11
"150390 JURUTI";-;-;1;1;-;-;2;2;-;-;-;-;6
"150400 LIMOEIRO DO AJURU";-;2;-;1;-;-;2;1;1;-;-;1;8
"150405 MAE DO RIO";-;-;-;-;3;2;1;-;-;2;2;-;10
"150410 MAGALHAES BARATA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150420 MARABA";28;37;27;24;38;48;37;33;26;20;12;17;347
"150442 MARITUBA";1;-;-;-;-;-;-;-;2;-;-;-;3
"150445 MEDICILANDIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150460 MOCAJUBA";1;-;2;4;1;6;3;2;1;1;1;2;24
"150470 MOJU";5;4;5;4;3;8;6;8;14;3;10;6;76
"150480 MONTE ALEGRE";1;1;-;-;-;2;1;1;-;-;-;-;6
"150490 MUANA";-;-;1;-;-;1;-;-;-;-;-;-;2
"150495 NOVA ESPERANCA DO PIRIA";-;-;-;-;-;2;-;-;-;1;-;-;3
"150497 NOVA IPIXUNA";-;-;-;-;-;2;1;-;1;-;1;-;5
"150503 NOVO PROGRESSO";-;-;1;-;-;-;-;-;-;-;-;-;1
"150506 NOVO REPARTIMENTO";-;5;5;7;2;4;2;2;5;4;2;3;41
"150520 OEIRAS DO PARA";4;4;1;4;7;10;10;6;6;5;4;4;65
"150543 OURILANDIA DO NORTE";4;6;3;4;-;1;2;3;1;3;1;3;31
"150548 PACAJA";-;1;1;1;-;-;-;-;-;-;-;-;3
"150549 PALESTINA DO PARA";2;2;-;1;3;-;2;1;1;1;1;1;15
"150550 PARAGOMINAS";2;-;-;4;1;-;1;4;1;2;1;1;17
"150553 PARAUAPEBAS";14;15;28;24;27;23;20;20;15;9;8;17;220
"150555 PAU D'ARCO";2;1;2;2;6;1;1;1;1;-;1;4;22
"150563 PICARRA";-;3;1;4;2;1;1;1;1;1;3;1;19
"150570 PONTA DE PEDRAS";1;3;-;3;1;1;3;1;-;-;1;1;15
"150580 PORTEL";-;-;-;-;-;-;-;-;-;1;-;-;1
"150590 PORTO DE MOZ";-;-;-;-;-;-;1;-;-;-;-;-;1
"150600 PRAINHA";-;-;-;-;-;-;-;-;1;-;-;-;1
"150610 PRIMAVERA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150613 REDENCAO";29;38;43;35;34;33;30;22;26;27;18;21;356
"150616 RIO MARIA";3;1;2;1;4;4;-;2;1;3;-;3;24
"150618 RONDON DO PARA";1;-;1;1;-;-;1;-;-;4;-;1;9
"150619 RUROPOLIS";-;-;-;1;-;1;-;-;-;-;-;1;3
"150630 SALVATERRA";-;2;-;1;-;-;1;-;-;1;1;1;7
"150635 SANTA BARBARA DO PARA";-;-;-;-;1;-;-;-;-;-;1;-;2
"150650 SANTA IZABEL DO PARA";1;-;-;-;-;-;-;-;1;1;1;-;4
"150655 SANTA LUZIA DO PARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150658 SANTA MARIA DAS BARREIRAS";4;-;1;1;1;1;1;1;1;-;-;2;13
"150660 SANTA MARIA DO PARA";1;-;-;-;-;-;-;-;1;-;-;-;2
"150670 SANTANA DO ARAGUAIA";2;2;3;4;1;3;3;1;1;1;-;4;25
"150680 SANTAREM";4;3;2;7;5;3;2;4;4;5;4;3;46
"150715 SAO DOMINGOS DO ARAGUAIA";2;5;5;3;3;8;2;2;8;-;-;1;39
"150720 SAO DOMINGOS DO CAPIM";2;2;5;3;4;8;6;5;3;4;2;2;46
"150730 SAO FELIX DO XINGU";-;3;1;3;-;-;3;-;1;-;1;-;12
"150745 SAO GERALDO DO ARAGUAIA";6;11;13;5;6;4;3;2;3;3;3;6;65
"150746 SAO JOAO DA PONTA";1;-;-;-;-;-;-;-;-;-;-;-;1
"150750 SAO JOAO DO ARAGUAIA";-;2;1;-;2;1;3;3;-;-;2;2;16
"150760 SAO MIGUEL DO GUAMA";-;-;1;-;1;-;-;2;-;-;-;-;4
"150775 SAPUCAIA";2;1;1;2;-;-;-;-;1;-;1;1;9
"150780 SENADOR JOSE PORFIRIO";-;-;1;-;-;-;1;-;-;-;-;-;2
"150795 TAILANDIA";2;2;4;5;-;1;4;2;2;2;4;1;29
"150797 TERRA SANTA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150800 TOME-ACU";6;8;9;9;6;9;6;3;10;5;3;7;81
"150808 TUCUMA";5;1;2;3;1;5;4;3;4;1;1;1;31
"150810 TUCURUI";1;1;5;3;4;1;-;1;2;-;-;4;22
"150812 ULIANOPOLIS";-;-;1;3;2;-;-;1;1;1;-;1;10
"150820 VIGIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"150835 VITORIA DO XINGU";-;-;-;-;-;1;-;-;-;-;-;-;1
"150840 XINGUARA";3;3;7;5;2;6;3;2;3;1;5;4;44
"160020 CALCOENE";-;-;-;-;-;-;-;-;1;-;-;-;1
"160030 MACAPA";-;-;-;-;-;-;-;1;-;1;-;-;2
"160040 MAZAGAO";-;-;1;-;-;-;-;-;-;-;-;-;1
"160060 SANTANA";-;-;-;1;-;-;-;-;-;-;-;-;1
"170025 ABREULANDIA";1;-;-;-;-;-;-;-;-;1;-;-;2
"170030 AGUIARNOPOLIS";1;-;4;2;-;-;-;-;1;-;-;1;9
"170035 ALIANCA DO TOCANTINS";-;-;-;-;-;-;-;-;1;1;-;-;2
"170040 ALMAS";-;-;1;-;-;-;-;-;-;1;-;-;2
"170070 ALVORADA";-;-;-;-;-;-;-;-;-;1;-;-;1
"170100 ANANAS";1;4;1;1;1;3;2;-;-;1;2;-;16
"170105 ANGICO";1;-;-;3;1;-;-;-;1;-;-;-;6
"170110 APARECIDA DO RIO NEGRO";-;-;-;-;1;-;1;1;-;-;-;-;3
"170130 ARAGOMINAS";-;2;1;-;2;2;-;2;2;1;-;-;12
