2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/coquebr.def
Whooping Cough
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110002 ARIQUEMES";-;-;-;1;-;-;-;-;-;-;-;-;1
"110004 CACOAL";-;-;-;-;-;-;1;-;-;-;-;1;2
"110007 CORUMBIARA";1;-;-;-;-;-;-;-;-;-;-;-;1
"110018 PIMENTA BUENO";-;-;-;-;-;1;-;-;-;-;-;-;1
"110020 PORTO VELHO";3;1;-;-;-;-;-;-;-;-;-;-;4
"110028 ROLIM DE MOURA";-;-;-;1;-;-;-;-;-;-;1;-;2
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;-;-;-;-;-;1;-;1
"120010 BRASILEIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;-;-;-;-;-;1;-;-;-;-;-;1
"120039 PORTO WALTER";-;-;-;-;-;-;1;-;-;-;-;-;1
"120040 RIO BRANCO";-;2;-;-;-;-;-;1;-;-;-;-;3
"130120 COARI";-;1;-;-;-;-;-;-;-;2;-;-;3
"130130 CODAJAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"130250 MANACAPURU";-;-;-;-;-;-;-;1;-;-;-;-;1
"130255 MANAQUIRI";-;-;-;-;-;-;-;-;-;-;-;1;1
"130260 MANAUS";6;2;4;7;1;2;-;3;1;3;1;7;37
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;-;-;-;-;1;-;-;-;1
"140005 ALTO ALEGRE";20;-;1;-;-;-;-;-;-;-;-;-;21
"140010 BOA VISTA";-;-;-;-;-;-;1;1;-;-;2;-;4
"140045 PACARAIMA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150060 ALTAMIRA";-;1;1;1;-;-;-;-;1;-;1;1;6
"150080 ANANINDEUA";1;-;-;-;-;-;-;-;-;-;-;-;1
"150095 AURORA DO PARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150140 BELEM";3;3;1;-;-;1;-;-;1;1;1;-;11
"150145 BELTERRA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150170 BRAGANCA";-;-;-;-;-;-;-;-;-;1;1;1;3
"150180 BREVES";-;-;-;-;-;-;1;-;1;-;-;-;2
"150220 CAPANEMA";1;-;-;-;-;-;-;-;-;-;-;-;1
"150240 CASTANHAL";-;-;-;1;-;-;-;-;-;-;-;-;1
"150270 CONCEICAO DO ARAGUAIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"150276 CUMARU DO NORTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"150310 GURUPA";2;-;-;-;-;-;-;-;-;-;-;-;2
"150360 ITAITUBA";-;-;-;1;-;-;-;-;-;1;-;-;2
"150510 OBIDOS";1;-;-;-;-;-;-;1;-;-;-;-;2
"150613 REDENCAO";-;-;-;-;2;-;-;-;1;1;-;-;4
"150620 SALINOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;1
"150660 SANTA MARIA DO PARA";-;-;-;-;-;-;-;-;-;1;-;-;1
"150680 SANTAREM";-;-;-;-;-;-;1;2;1;-;-;2;6
"150720 SAO DOMINGOS DO CAPIM";-;-;-;-;-;-;-;-;-;-;1;-;1
"150730 SAO FELIX DO XINGU";-;-;-;-;-;-;-;-;1;-;-;-;1
"150808 TUCUMA";1;1;-;-;-;-;-;-;-;-;-;-;2
"150810 TUCURUI";-;-;-;-;-;-;-;-;1;-;-;-;1
"150815 URUARA";-;-;-;-;-;-;-;-;-;1;-;-;1
"150820 VIGIA";-;-;-;-;-;-;-;-;-;-;1;1;2
"150830 VISEU";-;-;-;-;-;-;4;-;-;-;-;-;4
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;-;-;-;-;-;-;-;-;1;1
