2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/acbibr.def
Work Accident Exposure to Biologic Material
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";2;-;1;3;2;-;2;2;-;5;1;1;19
"110002 ARIQUEMES";5;9;15;7;12;9;9;23;15;7;9;4;124
"110004 CACOAL";8;9;6;4;17;14;6;15;3;2;7;4;95
"110005 CEREJEIRAS";-;-;-;1;-;1;1;1;2;1;3;-;10
"110006 COLORADO DO OESTE";-;-;-;-;2;-;3;-;-;-;-;-;5
"110007 CORUMBIARA";-;-;-;-;-;1;-;-;1;-;-;-;2
"110008 COSTA MARQUES";-;3;2;-;1;-;-;3;1;1;-;1;12
"110009 ESPIGAO D'OESTE";2;-;1;1;1;2;1;-;-;1;-;-;9
"110010 GUAJARA-MIRIM";-;-;1;-;4;1;-;-;1;-;-;1;8
"110011 JARU";1;6;-;1;2;2;6;4;10;2;4;3;41
"110012 JI-PARANA";14;6;8;3;11;4;2;14;4;8;1;1;76
"110013 MACHADINHO D'OESTE";2;3;4;-;1;1;2;1;1;3;1;4;23
"110014 NOVA BRASILANDIA D'OESTE";-;1;2;2;-;1;1;1;-;-;-;1;9
"110015 OURO PRETO DO OESTE";1;1;1;2;3;2;1;2;-;2;-;-;15
"110018 PIMENTA BUENO";-;1;2;-;1;-;1;-;1;-;-;1;7
"110020 PORTO VELHO";13;11;9;27;23;15;14;22;12;17;10;19;192
"110025 PRESIDENTE MEDICI";2;1;1;-;3;-;-;2;1;-;-;-;10
"110026 RIO CRESPO";-;1;-;-;-;1;-;-;1;-;-;-;3
"110028 ROLIM DE MOURA";4;3;5;5;3;3;3;5;3;3;6;7;50
"110029 SANTA LUZIA D'OESTE";-;-;-;-;-;-;1;-;-;2;-;-;3
"110030 VILHENA";12;7;15;9;12;11;12;14;16;6;7;7;128
"110032 SAO MIGUEL DO GUAPORE";1;3;1;1;1;4;2;1;1;2;-;-;17
"110033 NOVA MAMORE";-;-;1;-;2;2;-;-;2;2;1;1;11
"110034 ALVORADA D'OESTE";-;-;-;1;1;-;1;2;-;-;1;1;7
"110037 ALTO ALEGRE DOS PARECIS";2;-;-;-;-;2;-;1;1;-;-;1;7
"110040 ALTO PARAISO";-;-;2;-;-;1;-;-;-;-;-;-;3
"110045 BURITIS";-;1;2;1;1;1;-;1;-;-;-;1;8
"110050 NOVO HORIZONTE DO OESTE";-;3;-;1;-;-;1;2;-;1;-;-;8
"110060 CACAULANDIA";1;-;-;-;-;3;1;3;-;1;-;-;9
"110070 CAMPO NOVO DE RONDONIA";-;1;3;-;1;-;-;-;-;-;1;2;8
"110080 CANDEIAS DO JAMARI";-;-;-;-;1;-;-;1;-;1;-;-;3
"110090 CASTANHEIRAS";1;1;-;-;1;1;-;-;1;-;-;-;5
"110092 CHUPINGUAIA";2;1;-;1;1;-;-;-;-;-;-;-;5
"110094 CUJUBIM";-;-;-;2;-;-;1;1;-;2;3;1;10
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;1;1;-;1;-;-;-;-;-;3
"110110 ITAPUA DO OESTE";-;-;2;-;1;1;-;-;-;-;-;-;4
"110120 MINISTRO ANDREAZZA";2;-;-;-;-;-;-;-;-;-;-;-;2
"110130 MIRANTE DA SERRA";-;-;-;1;-;-;-;-;-;1;-;-;2
"110140 MONTE NEGRO";3;-;1;1;-;-;2;-;2;-;1;-;10
"110143 NOVA UNIAO";-;-;-;-;-;-;1;1;-;-;-;-;2
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"110149 SAO FRANCISCO DO GUAPORE";3;2;2;2;3;2;-;2;2;4;-;1;23
"110150 SERINGUEIRAS";-;-;-;1;-;1;-;-;-;-;-;1;3
"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;1;-;-;-;1
"110160 THEOBROMA";-;-;-;-;-;-;1;-;-;-;-;-;1
"110170 URUPA";-;-;1;-;-;-;2;-;2;2;1;1;9
"110175 VALE DO ANARI";-;-;-;-;1;-;3;-;-;1;-;-;5
"110180 VALE DO PARAISO";-;-;-;-;-;-;-;-;-;-;-;1;1
"120001 ACRELANDIA";4;1;-;-;-;-;2;2;-;1;-;-;10
"120005 ASSIS BRASIL";-;-;2;1;-;2;-;-;1;-;1;-;7
"120010 BRASILEIA";5;3;1;1;2;1;2;6;1;2;2;1;27
"120013 BUJARI";-;-;-;1;-;-;-;-;-;-;-;-;1
"120017 CAPIXABA";-;-;-;-;1;-;-;-;-;-;-;-;1
"120020 CRUZEIRO DO SUL";15;10;12;14;8;11;16;16;7;4;13;11;137
"120025 EPITACIOLANDIA";2;1;2;2;1;1;2;1;-;-;1;1;14
"120030 FEIJO";-;1;-;-;4;1;2;-;3;-;-;1;12
"120032 JORDAO";-;-;1;1;-;1;-;2;-;-;-;-;5
"120034 MANOEL URBANO";-;1;-;-;1;-;-;-;-;2;1;-;5
"120035 MARECHAL THAUMATURGO";4;4;-;2;18;2;2;1;-;-;1;1;35
"120038 PLACIDO DE CASTRO";-;-;1;-;2;-;1;6;-;-;-;1;11
"120039 PORTO WALTER";-;-;-;-;1;-;1;-;-;-;-;-;2
"120040 RIO BRANCO";35;38;46;45;28;33;43;32;38;25;25;29;417
"120042 RODRIGUES ALVES";-;-;-;-;-;-;-;-;1;-;-;-;1
"120043 SANTA ROSA DO PURUS";-;1;-;-;-;-;-;-;-;-;1;-;2
