2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/cancbr.def
Work-Related Cancer
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"110028 ROLIM DE MOURA";-;-;-;-;-;-;-;-;-;1;-;-;1
"110040 ALTO PARAISO";1;-;-;-;-;-;-;-;-;-;-;-;1
"110080 CANDEIAS DO JAMARI";-;-;-;1;-;-;-;-;-;-;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;-;-;1;-;-;-;-;1
"120020 CRUZEIRO DO SUL";-;-;-;-;-;-;-;1;-;-;-;-;1
"130040 BARCELOS";-;-;1;-;-;1;-;-;-;-;-;-;2
"130070 BOCA DO ACRE";-;-;1;-;-;-;-;-;-;-;-;-;1
"130420 TEFE";-;1;-;-;-;-;-;-;-;-;-;-;1
"150215 CANAA DOS CARAJAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"150440 MARAPANIM";-;1;-;-;-;-;-;-;-;-;-;-;1
"170210 ARAGUAINA";-;1;1;-;1;-;-;2;1;-;-;-;6
"230240 BOA VIAGEM";-;-;-;-;-;-;-;-;1;-;-;-;1
"230440 FORTALEZA";1;-;-;-;-;-;-;-;-;3;-;-;4
"230600 IRACEMA";-;-;-;-;-;1;-;-;-;-;-;-;1
"230620 ITAICABA";-;-;-;-;-;-;-;-;-;-;1;-;1
"230690 JAGUARIBE";-;-;-;-;-;-;-;-;-;-;1;-;1
"230760 LIMOEIRO DO NORTE";-;-;-;-;1;-;-;-;-;-;-;-;1
"231050 PEDRA BRANCA";-;-;-;-;1;-;-;-;-;-;-;-;1
"231140 QUIXERAMOBIM";-;-;-;-;-;-;-;-;-;1;-;-;1
"231180 RUSSAS";-;-;-;1;-;-;1;-;-;-;4;4;10
"231310 TABULEIRO DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"240050 ALEXANDRIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"240150 BARCELONA";-;-;-;-;-;-;-;1;-;-;-;-;1
"240220 CANGUARETAMA";-;-;-;-;-;-;-;-;1;-;-;-;1
"240325 PARNAMIRIM";2;-;-;-;-;1;-;-;-;-;-;-;3
"240360 EXTREMOZ";-;-;-;-;-;-;-;-;1;-;-;-;1
"240380 FLORANIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"240420 GOIANINHA";-;-;-;-;-;-;-;-;-;-;1;-;1
"240450 GUAMARE";-;-;-;-;-;-;-;-;-;-;1;-;1
"240580 JOAO CAMARA";-;-;-;-;-;-;1;-;-;-;-;-;1
"240610 JUCURUTU";-;-;-;-;-;-;1;-;-;-;-;1;2
"240670 LAJES";-;-;1;-;-;-;-;-;-;-;-;-;1
"240720 MACAU";-;-;-;-;-;-;-;-;1;-;-;-;1
"240810 NATAL";2;-;1;-;2;-;1;-;-;2;1;-;9
"240820 NISIA FLORESTA";-;-;-;-;-;-;-;-;1;-;-;-;1
"240830 NOVA CRUZ";-;-;-;-;-;-;1;-;-;-;-;-;1
"241080 RIACHO DE SANTANA";-;-;-;-;-;-;-;1;-;-;-;-;1
"241140 SANTANA DO MATOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"241200 SAO GONCALO DO AMARANTE";-;-;-;1;-;-;-;-;-;-;-;-;1
"241220 SAO JOSE DE MIPIBU";-;-;-;-;-;-;-;-;1;-;-;-;1
"241230 SAO JOSE DO CAMPESTRE";-;-;-;-;-;-;-;-;-;-;-;1;1
"241260 SAO PAULO DO POTENGI";-;-;-;-;-;-;-;1;-;-;-;-;1
"241440 TOUROS";1;-;-;-;-;-;-;-;-;-;-;-;1
"250040 ALAGOA NOVA";-;-;3;-;-;-;-;-;-;-;-;-;3
"251080 PATOS";-;-;-;-;-;-;1;2;2;-;1;-;6
"270260 FEIRA GRANDE";-;-;-;-;-;-;-;1;-;-;-;-;1
"270430 MACEIO";-;1;-;-;-;-;-;-;-;-;-;-;1
"270800 SANTANA DO IPANEMA";-;-;-;1;-;-;-;-;-;-;-;-;1
