2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";6;6;-;-;1;1;1;-;1;2;2;-;20
"110002 ARIQUEMES";87;19;40;36;46;30;11;11;6;5;23;25;339
"110003 CABIXI";1;-;-;3;-;-;-;1;1;-;7;4;17
"110004 CACOAL";26;86;48;60;25;12;16;4;4;6;5;8;300
"110005 CEREJEIRAS";3;27;31;5;13;2;1;-;-;1;1;1;85
"110006 COLORADO DO OESTE";1;-;1;1;3;1;1;-;-;1;-;2;11
"110007 CORUMBIARA";-;1;-;-;-;-;-;-;-;-;-;-;1
"110009 ESPIGAO D'OESTE";3;-;8;4;-;1;-;2;-;-;-;3;21
"110010 GUAJARA-MIRIM";2;-;2;2;2;-;3;-;1;-;-;-;12
"110011 JARU";1;-;1;1;1;-;-;-;-;-;-;3;7
"110012 JI-PARANA";23;28;17;50;74;13;12;27;20;13;12;10;299
"110013 MACHADINHO D'OESTE";1;1;-;-;-;2;-;1;1;1;-;1;8
"110014 NOVA BRASILANDIA D'OESTE";4;3;4;1;2;1;-;1;-;1;1;2;20
"110015 OURO PRETO DO OESTE";3;2;11;4;13;4;3;1;2;3;3;-;49
"110018 PIMENTA BUENO";1;-;2;3;2;3;-;-;1;-;2;-;14
"110020 PORTO VELHO";72;88;37;81;59;73;56;57;45;40;42;66;716
"110025 PRESIDENTE MEDICI";28;21;79;67;22;21;11;10;7;11;25;20;322
"110026 RIO CRESPO";1;1;-;1;1;-;-;-;-;-;-;-;4
"110028 ROLIM DE MOURA";1;3;9;4;1;2;1;-;3;1;2;1;28
"110029 SANTA LUZIA D'OESTE";-;-;6;2;-;-;-;-;-;-;-;-;8
"110030 VILHENA";27;41;49;72;25;17;10;11;4;7;15;9;287
"110032 SAO MIGUEL DO GUAPORE";1;2;-;-;2;3;-;-;-;-;-;-;8
"110033 NOVA MAMORE";-;-;-;1;-;2;-;1;-;1;-;-;5
"110034 ALVORADA D'OESTE";-;2;2;2;-;-;-;-;2;-;1;1;10
"110037 ALTO ALEGRE DOS PARECIS";3;1;1;1;-;-;-;-;-;-;1;-;7
"110040 ALTO PARAISO";-;2;13;-;-;-;-;-;1;-;-;-;16
"110045 BURITIS";-;1;-;-;-;-;-;-;-;-;-;-;1
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;1;-;4;-;-;-;-;-;5
"110060 CACAULANDIA";1;-;-;-;-;2;1;-;-;-;1;2;7
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;2;-;-;-;-;-;-;-;2
"110080 CANDEIAS DO JAMARI";3;-;-;2;4;2;2;2;1;-;-;-;16
"110092 CHUPINGUAIA";-;1;-;1;1;-;-;3;-;-;-;-;6
"110094 CUJUBIM";-;-;2;-;2;-;-;-;-;-;-;-;4
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;2;-;-;-;-;-;-;-;-;2
"110120 MINISTRO ANDREAZZA";-;-;2;1;-;-;-;-;-;-;-;-;3
"110130 MIRANTE DA SERRA";-;-;-;1;1;-;-;-;-;-;-;1;3
"110140 MONTE NEGRO";-;-;-;4;-;-;-;-;1;2;-;-;7
"110143 NOVA UNIAO";-;2;-;1;-;-;-;-;-;-;-;-;3
"110145 PARECIS";6;51;49;31;3;-;-;1;-;3;-;-;144
"110146 PIMENTEIRAS DO OESTE";5;5;5;16;-;-;-;-;-;-;-;-;31
"110147 PRIMAVERA DE RONDONIA";-;2;2;2;-;-;-;-;-;-;1;-;7
"110148 SAO FELIPE D'OESTE";2;-;-;-;-;1;-;-;-;-;-;-;3
"110149 SAO FRANCISCO DO GUAPORE";2;-;2;1;-;-;-;-;-;-;-;-;5
"110150 SERINGUEIRAS";-;1;-;2;9;17;14;4;2;1;-;-;50
"110155 TEIXEIROPOLIS";-;-;-;2;-;-;-;-;-;-;-;-;2
"110160 THEOBROMA";1;1;-;2;-;-;-;-;-;-;-;-;4
"110170 URUPA";-;-;2;1;-;1;-;-;-;-;-;2;6
"110175 VALE DO ANARI";-;-;1;1;-;-;-;-;-;-;-;-;2
"120001 ACRELANDIA";-;-;2;2;-;-;-;1;1;-;-;2;8
"120005 ASSIS BRASIL";-;-;5;3;-;3;1;2;-;-;1;-;15
"120010 BRASILEIA";3;-;2;-;-;-;3;-;2;3;-;1;14
"120013 BUJARI";5;1;12;4;-;1;5;1;-;1;1;-;31
"120017 CAPIXABA";-;-;-;-;-;1;1;-;2;-;-;1;5
"120020 CRUZEIRO DO SUL";114;63;88;59;128;47;86;67;51;65;57;74;899
"120025 EPITACIOLANDIA";-;2;-;-;-;1;-;-;-;1;1;1;6
"120030 FEIJO";4;5;9;4;4;1;1;1;1;4;-;2;36
"120032 JORDAO";-;-;1;-;2;-;1;1;-;-;-;-;5
"120033 MANCIO LIMA";15;33;13;22;17;14;6;5;3;2;-;2;132
"120034 MANOEL URBANO";1;-;1;1;2;-;-;1;1;37;5;-;49
"120035 MARECHAL THAUMATURGO";1;1;-;2;-;-;2;1;1;1;-;2;11
"120038 PLACIDO DE CASTRO";2;1;5;-;2;-;2;3;-;-;-;-;15
"120039 PORTO WALTER";-;-;2;-;-;-;-;-;-;-;-;1;3
"120040 RIO BRANCO";152;113;694;159;94;75;66;34;29;40;50;121;1627
"120042 RODRIGUES ALVES";3;5;8;4;10;2;1;1;-;1;1;-;36
"120043 SANTA ROSA DO PURUS";-;-;-;2;-;-;3;-;-;-;-;-;5
"120045 SENADOR GUIOMARD";1;1;11;1;3;1;2;3;2;1;-;1;27
"120050 SENA MADUREIRA";1;-;2;-;3;-;-;-;2;3;1;-;12
"120060 TARAUACA";8;11;15;29;14;3;-;-;-;26;31;23;160
"120070 XAPURI";1;-;5;-;3;-;-;-;3;-;-;2;14
"120080 PORTO ACRE";2;3;20;-;1;2;-;1;-;3;1;6;39
" MUNICIPIO IGNORADO - AM";-;-;5;4;-;1;-;-;-;-;-;-;10
"130002 ALVARAES";-;-;29;45;11;4;1;2;1;-;4;-;97
"130006 AMATURA";-;-;-;-;-;-;-;-;-;-;1;-;1
"130008 ANAMA";-;-;-;-;-;-;-;-;-;1;-;-;1
"130020 ATALAIA DO NORTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"130030 AUTAZES";1;-;-;-;-;-;-;2;-;-;-;1;4
"130040 BARCELOS";-;-;-;-;1;-;-;1;-;-;-;-;2
"130050 BARREIRINHA";-;-;1;-;-;-;-;1;-;-;-;-;2
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-;-;-;1;1
"130063 BERURI";-;1;1;-;1;1;2;-;1;-;-;-;7
"130070 BOCA DO ACRE";1;2;4;-;1;-;4;-;2;-;2;1;17
"130080 BORBA";31;26;29;2;22;2;12;14;6;8;6;2;160
"130090 CANUTAMA";-;1;-;-;2;-;1;-;-;-;-;-;4
"130100 CARAUARI";5;-;-;6;3;4;11;8;-;1;1;1;40
"130110 CAREIRO";-;-;-;-;-;-;-;-;-;1;-;1;2
"130120 COARI";2;6;5;4;6;14;17;5;1;4;-;4;68
"130130 CODAJAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"130140 EIRUNEPE";1;-;-;-;1;-;1;1;-;-;-;-;4
"130150 ENVIRA";-;1;-;-;1;-;-;1;-;-;-;-;3
"130165 GUAJARA";-;-;-;1;4;-;-;1;2;-;-;-;8
"130170 HUMAITA";36;128;20;32;11;-;1;1;1;1;-;-;231
"130180 IPIXUNA";-;-;4;48;-;-;-;1;-;1;-;1;55
"130185 IRANDUBA";1;4;2;2;-;6;4;1;1;-;2;1;24
"130190 ITACOATIARA";1;1;10;13;8;6;8;4;5;-;1;-;57
"130220 JURUA";-;-;-;1;-;-;-;-;-;2;2;-;5
"130240 LABREA";-;-;-;-;-;-;-;-;-;1;-;1;2
"130250 MANACAPURU";-;2;-;1;-;1;1;1;-;1;2;-;9
"130260 MANAUS";85;101;137;159;127;101;104;68;41;30;42;58;1053
"130270 MANICORE";1;-;2;-;1;-;-;-;-;-;-;-;4
"130280 MARAA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130300 NHAMUNDA";-;-;2;-;-;1;-;-;-;-;-;-;3
"130310 NOVA OLINDA DO NORTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"130320 NOVO AIRAO";13;4;2;1;1;1;1;1;4;1;-;1;30
"130330 NOVO ARIPUANA";-;-;-;4;-;-;-;-;-;-;-;-;4
"130340 PARINTINS";-;-;-;-;2;-;-;1;-;2;-;-;5
"130350 PAUINI";-;1;-;-;-;-;1;1;-;-;1;1;5
"130353 PRESIDENTE FIGUEIREDO";-;-;-;16;5;1;1;-;1;6;1;4;35
"130356 RIO PRETO DA EVA";-;-;-;-;-;-;-;1;-;-;-;-;1
"130370 SANTO ANTONIO DO ICA";4;1;-;6;2;-;-;-;1;-;-;-;14
"130380 SAO GABRIEL DA CACHOEIRA";-;2;3;1;-;-;-;-;2;-;-;-;8
"130390 SAO PAULO DE OLIVENCA";-;1;-;-;-;-;2;-;-;-;-;-;3
"130406 TABATINGA";-;2;-;-;-;2;-;-;-;2;-;-;6
"130410 TAPAUA";1;1;-;-;-;-;1;-;-;1;4;-;8
"130420 TEFE";3;3;7;5;2;10;13;3;2;-;-;3;51
"130426 UARINI";-;-;-;-;-;-;-;-;1;-;-;-;1
"130430 URUCARA";-;-;-;-;-;-;-;1;-;-;-;1;2
"140002 AMAJARI";-;3;1;1;1;2;1;2;-;-;-;2;13
