2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Total"
"110001 ALTA FLORESTA D'OESTE";1;-;-;1
"110002 ARIQUEMES";66;1;-;67
"110004 CACOAL";6;70;-;76
"110005 CEREJEIRAS";2;-;-;2
"110012 JI-PARANA";-;6;-;6
"110013 MACHADINHO D'OESTE";1;1;-;2
"110020 PORTO VELHO";18;16;-;34
"110025 PRESIDENTE MEDICI";1;2;-;3
"110026 RIO CRESPO";-;1;-;1
"110045 BURITIS";-;1;-;1
"110060 CACAULANDIA";1;-;-;1
"110080 CANDEIAS DO JAMARI";1;-;-;1
"110092 CHUPINGUAIA";-;1;-;1
"120013 BUJARI";-;1;-;1
"120020 CRUZEIRO DO SUL";16;-;-;16
"120025 EPITACIOLANDIA";-;1;-;1
"120030 FEIJO";1;-;-;1
"120038 PLACIDO DE CASTRO";1;-;-;1
"120040 RIO BRANCO";63;37;-;100
"120042 RODRIGUES ALVES";1;-;-;1
"120080 PORTO ACRE";2;1;-;3
"130063 BERURI";-;1;1;2
"130080 BORBA";2;-;-;2
"130100 CARAUARI";5;-;-;5
"130120 COARI";2;3;-;5
"130185 IRANDUBA";-;1;-;1
"130250 MANACAPURU";-;1;-;1
"130260 MANAUS";17;19;3;39
"130320 NOVO AIRAO";-;1;-;1
"130370 SANTO ANTONIO DO ICA";-;1;-;1
"130390 SAO PAULO DE OLIVENCA";-;1;-;1
"130406 TABATINGA";-;2;-;2
"140010 BOA VISTA";4;7;-;11
"140017 CANTA";4;-;-;4
"140030 MUCAJAI";-;1;-;1
"140047 RORAINOPOLIS";11;46;-;57
"150060 ALTAMIRA";1;1;-;2
"150080 ANANINDEUA";4;2;-;6
"150140 BELEM";5;3;-;8
"150190 BUJARU";1;3;-;4
"150210 CAMETA";9;-;-;9
"150230 CAPITAO POCO";4;-;-;4
"150240 CASTANHAL";2;5;-;7
"150270 CONCEICAO DO ARAGUAIA";-;2;-;2
"150285 CURUA";1;-;-;1
"150350 IRITUIA";-;1;-;1
"150442 MARITUBA";3;11;-;14
"150460 MOCAJUBA";1;1;-;2
"150480 MONTE ALEGRE";1;-;-;1
"150510 OBIDOS";-;34;-;34
"150613 REDENCAO";1;-;-;1
"150619 RUROPOLIS";1;1;-;2
"150650 SANTA IZABEL DO PARA";7;10;-;17
"150680 SANTAREM";6;6;-;12
"150740 SAO FRANCISCO DO PARA";-;1;-;1
"160030 MACAPA";6;5;-;11
"160060 SANTANA";12;-;-;12
"160070 TARTARUGALZINHO";1;1;-;2
"170030 AGUIARNOPOLIS";6;13;-;19
"170130 ARAGOMINAS";-;1;-;1
"170210 ARAGUAINA";17;12;-;29
"170360 BRASILANDIA DO TOCANTINS";1;-;-;1
"170370 BREJINHO DE NAZARE";-;3;-;3
"170388 CARMOLANDIA";-;9;-;9
"170410 CENTENARIO";-;1;-;1
"170550 COLINAS DO TOCANTINS";15;64;2;81
