Disease Name,Cases,Location Name,Country Code,Region Type,Lattitude,Longitude,Region Boundary,TimeStampStart,TimeStampEnd,Source File
Dengue Fever,11,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Dysentery,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Encephalitis,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Enteric Fever,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Food Poisoning,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Leptospirosis,6,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Typhus Fever,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Viral Hepatitis,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Human Rabies,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Chickenpox,2,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Meningitis,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Leishmaniasis,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Dengue Fever,86,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Dysentery,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Encephalitis,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Enteric Fever,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Food Poisoning,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Leptospirosis,3,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Typhus Fever,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Viral Hepatitis,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
Human Rabies,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",29-Oct-2022 00:00:00,04-Nov-2022 00:00:00,Data/Sri Lanka 2022/en_6459f61e65d12_vol_49_no_45-english_1.pdf
