Disease Name,Cases,Location Name,Country Code,Region Type,Lattitude,Longitude,Region Boundary,TimeStampStart,TimeStampEnd
Dengue Fever,,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,3974,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,3,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,7,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,1,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,6,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,75,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,2,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,0,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,76,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,9,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,4256,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,5,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,6,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,1,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,1,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,129,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,1,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,6,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,79,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,28,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,1269,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,8,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,1,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,0,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,3,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,189,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,1,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,1,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,1,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,126,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,27,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,1030,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,13,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,0,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,2,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,11,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,60,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,24,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,1,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,1,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,96,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,6,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,389,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,1,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,0,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,1,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,4,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,38,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,3,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,2,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,0,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,19,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,2,Matale,UGA,city,0.77848,31.15692,"{'west': 31.08209, 'south': 0.64878, 'east': 31.23708, 'north': 0.83519}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,53,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,28,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,0,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,0,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,9,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,30,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,24,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,1,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,0,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,34,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,4,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,575,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,12,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,7,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,0,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,9,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,247,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,22,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,0,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,0,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,114,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,4,Galle,DEU,city,51.4822,11.97494,"{'west': 11.85534, 'south': 51.4023, 'east': 12.08903, 'north': 51.54364}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,334,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,1,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,1,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,0,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,7,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,75,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,35,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,9,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,0,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,48,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,8,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,513,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,7,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,2,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,0,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,4,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
