Disease Name,Cases,Location Name,Country Code,Region Type,Lattitude,Longitude,Region Boundary,TimeStampStart,TimeStampEnd,Source File
Dengue Fever,167,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Dysentery,4,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Encephalitis,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Enteric Fever,1,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Food Poisoning,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Leptospirosis,4,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Typhus Fever,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Viral Hepatitis,6,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Human Rabies,0,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
Chickenpox,7,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",31-May-2014 00:00:00,06-Jun-2014 00:00:00,Data/Errors/line 225 in detect_diseases/vol_41_no_23-english.pdf
